idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,doi,autores
00000000003212,True,Publicado en revista especializada,"Las luchas de los pueblos étnicos en la construcción de paz: entre resistencias, participación e incumplimientos estatales",,Revista Trabajo Social,2256-5493,2021,23,,55 - 76,10.15446/ts.v23n2.90380,"OSCAR DAVID MONTERO DE LA ROSA, JOHN EDISON SABOGAL VENEGAS"
00000000003212,True,Publicado en revista especializada,Regulaciones patrimoniales y conflictos ontológicos,España,Revista D'Arqueologia De Ponent,1131-883X,2020,30,,9 - 44,,CRISTOBAL GNECCO VALENCIA
00000000003212,True,Publicado en revista especializada,Una mirada a los procesos en torno a la educación con los pueblos indígenas en Colombia,Colombia,Voces Y Silencios,2215-8421,2019,10,1,9 - 34,10.18175/VyS10.1.2019.03,TULIO ENRIQUE ROJAS CURIEUX
00000000003212,True,Corto (Resumen),Epilogo,Colombia,Voces Y Silencios,2215-8421,2019,10,1,231 - 232,10.18175/vys10.1.2019.15,AXEL ALEJANDRO ROJAS MARTINEZ
00000000003212,True,Publicado en revista especializada,Sistema de Recuperación de Información para Apoyar la Revitalización del Nasa Yuwe,Portugal,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,1646-9895,2019,1,,407 - 422,,"TULIO ENRIQUE ROJAS CURIEUX, CARLOS ALBERTO COBOS LOZADA, JUAN CARLOS CORRALES MUNOZ, LUIS CARLOS GOMEZ FLOREZ, LUZ MARINA SIERRA MARTINEZ"
00000000003212,True,Publicado en revista especializada,Comentario al artículo de Giancarlo Marcone ¿Superando las dicotomías: el Qhapaq Ñan como ejemplo del patrimonio como proceso social¿,Chile,Chungara,0716-1182,2019,51,3,479 - 482,,CRISTOBAL GNECCO VALENCIA
00000000003212,True,Publicado en revista especializada,Development and disciplinary complicity: contract archaeology in South America under the critical gaze,Estados Unidos,Annual Review of Anthropology,0084-6570,2018,47,N / A,279 - 293,,CRISTOBAL GNECCO VALENCIA
00000000003212,True,Publicado en revista especializada,"Lenguas ancestrales de Colombia. Entre acallamientos y sobrevivencias, educaciones y escuelas",España,Ikastorratza.e-Revista de Didáctica,1988-5911,2018,N/A,,1 - 32,,MARTHA HELENA CORRALES CARVAJAL
00000000003212,True,Corto (Resumen),The vowel system of nasa yuwe,Estados Unidos,Journal of the Acoustical Society of America,1520-8524,2016,140,N/A,3106 - 3106,10.1121/1.4969699,"ESTEBAN DIAZ MONTENEGRO, TULIO ROJAS CURIEUX"
00000000003212,True,Publicado en revista especializada,A comment on ¿Internationalization for economic growth¿,Estados Unidos,American Anthropologist,0364-9873,2015,117,4,777 - 778,,CRISTOBAL GNECCO VALENCIA
00000000003212,True,Publicado en revista especializada,"Entre leyes, mingas e historia oral",Colombia,Controversia,0120-4165,2015,205,,221 - 271,,"TULIO ENRIQUE ROJAS CURIEUX, OSCAR ANDRES LOPEZ CORTES"
00000000003212,True,Publicado en revista especializada,On contract archaeology,Estados Unidos,International Journal of Historical Archeology,1573-7748,2015,19,4,687 - 698,,CRISTOBAL GNECCO VALENCIA
00000000003212,True,Publicado en revista especializada,On contract archaeology,Estados Unidos,International Journal of Historical Archeology,1092-7697,2015,19,4,687 - 698,,CRISTOBAL GNECCO VALENCIA
00000000003212,True,Publicado en revista especializada,Building a Nasa Yuwe language test collection,Estados Unidos,Lecture Notes In Computer Science,1611-3349,2015,9041,N/A,112 - 123,10.1007/978-3-319-18111-0_9,"TULIO ENRIQUE ROJAS CURIEUX, CARLOS ALBERTO COBOS LOZADA, LUZ MARINA SIERRA MARTINEZ"
00000000003212,True,Publicado en revista especializada,Notas sobre Una imagen de África,Colombia,Tabula rasa,1794-2489,2014,20,N/A,29 - 35,,CRISTOBAL GNECCO VALENCIA
00000000003212,True,Publicado en revista especializada,Integración Metodológica para el desarrollo de recursos informáticos para apoyar la enseñanza de nasa yuwe,Colombia,Gerencia Tecnologica Informatica - Gti,1657-8236,2013,12,,45 - 60,,"TULIO ENRIQUE ROJAS CURIEUX, LUZ MARINA SIERRA, ERWIN MEZA VEGA, LUZ MARINA SIERRA MARTINEZ, JORGE VILLEGAS"
