nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento
Luciano Amanda Lucía Fernandez Pérez,Fernandez Pérez L.,56656375600,9-s2.0-56656375600,,2,02/06/2015,9,12,2,10,update,"Management Science and Operations Research, Management of Technology and Innovation, Business and International Management",2015-2015,Universidad del Cauca,60051434,
Henry Castrillón,Castrillón H.,57221712521,9-s2.0-57221712521,,4,02/02/2021,44,47,2,2317,update,"Education, Infectious Diseases, Critical Care and Intensive Care Medicine, Statistics, Probability and Uncertainty, Information Systems, Microbiology (medical), Computer Science Applications, Statistics and Probability, Library and Information Sciences",2021-2022,Universidad del Cauca,60051434,
Lizeth Bermeo,Bermeo L.,57219227764,9-s2.0-57219227764,,3,06/10/2020,30,30,1,18,update,"Civil and Structural Engineering, Inorganic Chemistry, Molecular Biology, Pollution, Environmental Engineering, Waste Management and Disposal, Aquatic Science, Organic Chemistry, Geography, Planning and Development, Physical and Theoretical Chemistry, Biochemistry, Spectroscopy, Computer Science Applications, Water Science and Technology, Ecological Modeling, Catalysis",2020-2022,"Universidad del Cauca, Universitat Politècnica de Catalunya","113340876, 115237288","Departamento de Ing. Ambiental, UNESCO Chair on Sustainability"
Jennifer Erazo Martínez,Martínez J.,57677130500,9-s2.0-57677130500,,1,17/05/2022,1,1,1,2,new,Engineering (all),2016-2016,Universidad del Cauca,107923473,Grupo IDIS
Omaira Ceballos,Ceballos O.,6602134399,9-s2.0-6602134399,,3,02/12/2005,11,11,2,11,update,,2002-2005,Universidad del Cauca,104717539,Department of Internal Medicine
Willian Norbey Gurrute Quintana,Quintana W.,58086431500,9-s2.0-58086431500,,1,06/02/2023,0,0,0,2,new,Medicine (all),2023-2023,Universidad del Cauca,60051434,
Roman Stechauner Rohringer,Rohringer R.,57216928206,9-s2.0-57216928206,,5,31/05/2020,22,25,2,13,update,"Soil Science, Animal Science and Zoology, Agricultural and Biological Sciences (all), Museology, Conservation, Agronomy and Crop Science, Plant Science, Food Science, Horticulture, Veterinary (all)",2014-2022,Universidad del Cauca,60051434,
Francisco Alfredo Acosta-Argoty,Acosta-Argoty F.,57201019404,9-s2.0-57201019404,,1,10/03/2018,5,5,1,4,new,"Pediatrics, Perinatology and Child Health",2016-2016,Universidad del Cauca,104717536,Department of Pediatrics
Andrés F. Negrete G,Negrete G A.,57222143231,9-s2.0-57222143231,,1,03/03/2021,0,0,0,6,new,Computer Science (all),2020-2020,Institución Universitaria Colegio Mayor del Cauca,117795037,
Tania Guadalupe Cañizares-Hernández,Cañizares-Hernández T.,57224981970,9-s2.0-57224981970,,1,02/07/2021,0,0,0,2,new,Engineering (all),2020-2020,Universidad del Cauca,60051434,
Daniel Fernando Chávez Ruiz,Chávez Ruiz D.,57928255500,9-s2.0-57928255500,,1,21/10/2022,0,0,0,3,new,"Environmental Science (miscellaneous), Management, Monitoring, Policy and Law",2021-2021,Corporación Universitaria Comfacauca,128736839,Ingeniero Mecatrónico
Ivonne Muñoz,Muñoz I.,57201017117,9-s2.0-57201017117,,1,10/03/2018,0,0,0,6,new,"Pediatrics, Perinatology and Child Health",2015-2015,Universidad del Cauca,104717536,Department of Pediatrics
Andres Soto,Soto A.,57195534111,9-s2.0-57195534111,,1,08/09/2017,1,1,1,4,new,"Computer Science (all), Mathematics (all)",2017-2017,Fundacion Universitaria de Popayán,118671345,Intelligent Management Systems Group
Susana Bonilla,Bonilla S.,56026595800,9-s2.0-56026595800,,1,20/02/2014,103,103,1,4,update,"Artificial Intelligence, Computer Science Applications, Engineering (all)",2014-2014,Universidad del Cauca,114186199,Sector Tulcán Office 450
Juan Diego Otero Sarmiento,Otero Sarmiento J.,57195274213,9-s2.0-57195274213,,1,10/08/2017,5,5,1,3,new,"Pollution, Waste Management and Disposal",2017-2017,Universidad del Cauca,115881015,Grupo de Estudios Ambientales
John J. López,López J.,57202882733,9-s2.0-57202882733,,2,15/07/2018,0,0,0,3,update,"Mathematics (all), Algebra and Number Theory",2017-2019,Universidad del Cauca,104717531,Department of Mathematics
Siler Amador Donado,Donado S.,57193958927,9-s2.0-57193958927,,20,27/04/2017,37,40,2,32,update,"Engineering (all), Mathematics (all), Biotechnology, Education, Genetics, Molecular Biology, Computer Science (all)",2010-2022,Universidad del Cauca,108218057,Facultad de Ingeniería Electrónica y Telecomunicaciones
Fernando Aparicio Urbano-Molano,Urbano-Molano F.,55774515000,9-s2.0-55774515000,0000-0003-1074-8701,1,03/07/2013,4,4,1,2,update,"Control and Systems Engineering, Hardware and Architecture",2013-2013,Universidad del Cauca,104717552,Departamento de Telemática
Jessner Alexander Mejia,Mejia J.,57196437641,9-s2.0-57196437641,,1,14/11/2017,0,0,0,1,new,"Information Systems, Artificial Intelligence, Computer Networks and Communications",2017-2017,Fundacion Universitaria de Popayán,60108709,
Lida E. Iles,Iles L.,57219177284,9-s2.0-57219177284,,1,01/10/2020,0,0,0,2,new,Human-Computer Interaction,2009-2009,"Universidad del Cauca, Universidad del Cauca","107923473, 114460865","Grupo IDIS, Department of Systems Engineering"
Helmer Paz Orozco,Orozco H.,57220042659,9-s2.0-57220042659,,1,30/11/2020,2,2,1,4,new,"Computer Science (all), Mathematics (all)",2020-2020,Corporación Universitaria Comfacauca - Unicomfacauca,117305237,
Hernán Otoniel Fernandez Ordonex,Fernandez Ordonex H.,56453539800,9-s2.0-56453539800,,1,26/12/2014,0,0,0,0,update,Civil and Structural Engineering,2014-2014,"University of Arkansas at Little Rock, Universidad del Cauca","60001241, 60051434"," ,  "
