idcvlac,areas
0000002712,Ingeniería y Tecnología;Nanotecnología;Nanomateriales (Producción y Propiedades)
0000002712,Ingeniería y Tecnología;Ingeniería de los Materiales;Recubrimientos y Películas
0000002712,Ingeniería y Tecnología;Ingeniería de los Materiales;Cerámicos
0000002712,Ingeniería y Tecnología;Nanotecnología;Nanoprocesos (Aplicaciones a Nanoescala)
0000002712,Ciencias Naturales;Ciencias Físicas;Física de la Materia
0000916480,Ciencias Naturales;Ciencias Físicas;Física de la Materia
0000916480,Ingeniería y Tecnología;Nanotecnología;Nanomateriales (Producción y Propiedades)
0000773735,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química"
0000773735,Ingeniería y Tecnología;Ingeniería Médica;Ingeniería Médica
0000773735,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica"
0000773735,Ciencias Naturales;Ciencias Físicas;Física de Plasmas y Fluídos
0000000663,Ciencias Naturales;Ciencias Físicas;Física de Partículas y Campos
0000975885,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química"
0000975885,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación
0000975877,Ingeniería y Tecnología;Ingeniería Médica;Ingeniería Médica
0000975877,"Ingeniería y Tecnología;Ingeniería de los Materiales;Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales)"
0000975877,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica"
0000975877,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química"
0000975877,Ciencias Naturales;Matemática;Matemáticas Puras
0000975877,Ciencias Sociales;Economía y Negocios;Negocios y Management
0000419184,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías
0000419184,Ciencias Naturales;Ciencias Físicas;Física de Partículas y Campos
0000419184,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química"
0000419184,Ingeniería y Tecnología;Ingeniería Médica;Ingeniería Médica
0000251224,"Ingeniería y Tecnología;Ingeniería de los Materiales;Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales)"
0000251224,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Ingeniería de Producción
0000251224,Ciencias Naturales;Ciencias Físicas;Física de Partículas y Campos
0000251224,Ingeniería y Tecnología;Ingeniería Médica;Ingeniería Médica
0001475856,Ciencias Naturales;Ciencias Físicas;Física de Plasmas y Fluídos
0001475856,Ciencias Naturales;Ciencias Físicas;Física de Partículas y Campos
0001475856,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación
0001475856,Ciencias Naturales;Matemática;Matemáticas Aplicadas
0001634759,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química"
0001516273,Ciencias Naturales;Ciencias Físicas;Física de la Materia
0000000319,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Automatización y Sistemas de Control"
0000000319,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica"
0001542327,Ciencias Naturales;Ciencias Físicas;Física de la Materia
0001542327,Ciencias Naturales;Ciencias Físicas;Física de Partículas y Campos
0001542327,Ingeniería y Tecnología;Nanotecnología;Nanomateriales (Producción y Propiedades)
0001542327,Ingeniería y Tecnología;Nanotecnología;Nanoprocesos (Aplicaciones a Nanoescala)
0001542327,Ciencias Naturales;Ciencias Físicas;Física de Plasmas y Fluídos
0001476153,"Ingeniería y Tecnología;Ingeniería de los Materiales;Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales)"
0001476153,Ingeniería y Tecnología;Ingeniería de los Materiales;Cerámicos
0001542341,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Automatización y Sistemas de Control"
0000002720,Ciencias Naturales;Ciencias Físicas;Física de Partículas y Campos
0000708305,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química"
0000708305,Ciencias Naturales;Ciencias Físicas;Física de Partículas y Campos
0001542322,Ciencias Naturales;Ciencias Físicas;Física de la Materia
0001016520,Ciencias Naturales;Ciencias Físicas;Física de la Materia
0001016520,Ingeniería y Tecnología;Nanotecnología;Nanomateriales (Producción y Propiedades)
0001016520,Ingeniería y Tecnología;Nanotecnología;Nanoprocesos (Aplicaciones a Nanoescala)
0001016520,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Automatización y Sistemas de Control"
0001016520,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química"
0001542370,Ingeniería y Tecnología;Ingeniería Médica;Ingeniería Médica
0001542370,Ciencias Naturales;Ciencias Físicas;Física de la Materia
0001542340,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química"
0000956767,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química"
0000408018,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química"
0000773646,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica"
0000773646,Ingeniería y Tecnología;Ingeniería Mecánica;Ingeniería Aeroespacial
0000773646,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías
0000773646,Ingeniería y Tecnología;Ingeniería Mecánica;Ingeniería Mecánica
0001674023,Ingeniería y Tecnología;Nanotecnología;Nanomateriales (Producción y Propiedades)
0001674023,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica"
0000378631,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías
0000378631,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química"
0000378631,"Ingeniería y Tecnología;Ingeniería de los Materiales;Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales)"
0000378631,Ingeniería y Tecnología;Ingeniería de los Materiales;Recubrimientos y Películas
0000378631,Ingeniería y Tecnología;Ingeniería Mecánica;Ingeniería Mecánica
0000378631,Ciencias Naturales;Ciencias Físicas;Física de Plasmas y Fluídos
0000036919,Ciencias Naturales;Ciencias Físicas;Física de la Materia
0001494646,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías
0001368173,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones"
0001535173,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones"
0000074802,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones"
0000074802,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías
0000074802,Humanidades;Idiomas y Literatura;Idiomas Específicos
0000074802,Humanidades;Otras Humanidades;Otras Humanidades
0000074802,Humanidades;Otras historias;Otras Historias Especializadas
0001417846,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación
0001417846,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones"
0001606175,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones"
0000894796,Ciencias Naturales;Ciencias Biológicas;Ecología
0000894796,"Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Agronomía"
0000894796,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)"
0001364982,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías
0001361780,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías
0001361780,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)"
0001637782,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones"
0001368229,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Información y Bioinformática
0001368229,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación
0000992089,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones"
0000992089,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación
