idcvlac,categoria,nombre,nombre_citaciones,nacionalidad,sexo
0000002712,Investigador Senior ,Gilberto Bolaños Pantoja,"BOLAÑOS PANTOJA, GILBERTO",Colombiana,Masculino
0000916480,No Aplica,Adriana Isabel Figueroa García,"FIGUEROA GARCÍA, ADRIANA ISABEL",Colombiana,Femenino
0000773735,No Aplica,Andrea Jovanna Ortega Rodríguez,"RODRÍGUEZ, A. J. O.",Colombiana,Femenino
0000000663,No Aplica,Carlos Alberto Rincón López,"RINCÓN LÓPEZ, CARLOS ALBERTO",Colombiana,Masculino
0000975885,No Aplica,Carlos Andres Mendez Hurtado,"HURTADO, C. A. M.",Colombiana,Masculino
0000975877,No Aplica,Carlos Augusto Andrade Eraso,"ANDRADE ERASO, CARLOS AUGUSTO",Colombiana,Masculino
0000419184,Investigador Junior ,César Augusto Quinayas Burgos,"QUINAYAS BURGOS, CÉSAR AUGUSTO",Colombiana,Masculino
0000251224,Investigador Junior ,Clara Eugenia Goyes López,"GOYES LÓPEZ, CLARA EUGENIA",Colombiana,Femenino
0001475856,No Aplica,Eduardo Castillo Castillo,"CASTILLO CASTILLO, EDUARDO",Colombiana,Masculino
0000168829,No Aplica,Harrison Javier Moreno Castro,"MORENO CASTRO, HARRISON JAVIER",Colombiana,Masculino
0001634759,No Aplica,Horacio Coy Diaz,"Horacio Coy Diaz, Horacio Coy, Horacio Coy-Diaz,",Colombiana,Masculino
0001516273,No Aplica,Jairo Alexander Astudillo Lagos,"ASTUDILLO LAGOS, JAIRO ALEXANDER",Colombiana,Masculino
0000862991,No Aplica,Jhon Alexander Urrutia Palacios,A. Urrutia,Colombiana,No Aplica
0000000319,No Aplica,Jhon Jairo Realpe,"REALPE , JHON JAIRO",Colombiana,Masculino
0001542327,No Aplica,Jhonatan Eduardo Martinez Muñoz,"MARTINEZ MUÑOZ, JHONATAN EDUARDO",Colombiana,Masculino
0000097358,Investigador Junior ,Johan David Ñañez Zuleta,J. N. Zuleta,Colombiana,No Aplica
0001476153,No Aplica,John Alexander Torres León,"TORRES LEÓN, JOHN ALEXANDER",Colombiana,Masculino
0001542341,No Aplica,Jorge Armando Serna Jaramillo,"SERNA JARAMILLO, JORGE ARMANDO",Colombiana,Masculino
0000002720,No Aplica,Jorge Washington Coronel García,"CORONEL GARCÍA, JORGE WASHINGTON",Colombiana,Masculino
0000708305,No Aplica,Jose Luis Ortiz Lozano,"ORTIZ, J. L.",Colombiana,Masculino
0001542322,No Aplica,JUAN CAMILO COLLAZOS URIBE,"COLLAZOS URIBE, JUAN CAMILO",Colombiana,Masculino
0001016520,No Aplica,Juan José Morales Chaves,"MORALES CHAVES, JUAN JOSÉ",Colombiana,Masculino
0001542370,No Aplica,July Alejandra Gonzalez Valladares,"GONZALEZ VALLADARES, JULY ALEJANDRA",Colombiana,Femenino
0001542340,No Aplica,Karen Viviana Perez Lujan,"PEREZ LUJAN , KAREN VIVIANA",Colombiana,Femenino
0000956767,No Aplica,Leonardo De Jesus Salazar Alarcon,"ALARCON, L. J. S.",Colombiana,Masculino
0002102334,No Aplica,Lina marcela Jaller Diaz,Lina jaller,Colombiana,Femenino
0000408018,No Aplica,Luis Fernando Echeverri Echeverri,"ECHEVERRI ECHEVERRI, LUIS FERNANDO",Colombiana,Masculino
0000773646,Investigador Junior ,Ronald Hurtado Velasco,"HURTADO VELASCO, RONALD",Colombiana,Masculino
0001674023,No Aplica,Stivens Antonio Dionizio Solarte,"DIONIZIO SOLARTE, STIVENS ANTONIO",Colombiana,Masculino
0000378631,No Aplica,Willfrand Perez Urbano,"PEREZ URBANO, WILLFRAND",Colombiana,Masculino
0000036919,Investigador Asociado ,Wilson Lopera Muñoz,"LOPERA MUÑOZ, WILSON",Colombiana,Masculino
