idcvlac,autores,nombre,lugar,verificado,fecha,editorial,isbn,volumen,paginas,palabras,areas,sectores,capitulo,libro
0000000663,CARLOS ALBERTO RINCON LOPEZ,Propiedades Mecánicas y Tribológicas de Recubrimientos Duros.,Produccion Y Caracterización de Recubrimientos Duros,False,2001,Red Cyted Viii7,Red Cyted Viii7,1,17 - 51 1,Recubrimientosa Duros;Tribologia,Ciencias Naturales;Ciencias Físicas;Física de Partículas y Campos,Desarrollo de nuevos materiales,Propiedades Mecánicas y Tribológicas de Recubrimientos Duros.,Produccion Y Caracterización de Recubrimientos Duros
0000000663,"GUSTAVO ADOLFO ZAMBRANO ROMERO, PEDRO ANTONIO PRIETO PULIDO, CARLOS ALBERTO RINCON LOPEZ, JOAN ESTEVE, ELENA MARTINEZ, NELLY CECILIA ALBA DE SANCHEZ",Propiedades Mecánicas y Tribológicas de Bicapas de W/WC Depositadas sobre Aceros para el Mejoramiento de la Adherencia de Películas de DLC.,Produccion Y Caracterización de Recubrimientos Duros,False,2001,Red Cyted Viii7,Red Cyted Viii7,1,68 - 79 1,Recubrimientos duros;Bicapas;Tribologia,Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Geociencias (Multidisciplinario),Desarrollo de nuevos materiales,Propiedades Mecánicas y Tribológicas de Bicapas de W/WC Depositadas sobre Aceros para el Mejoramiento de la Adherencia de Películas de DLC.,Produccion Y Caracterización de Recubrimientos Duros
0000419184,CESAR AUGUSTO QUINAYAS BURGOS,Análisis de señales Electrohisterográficas (EHG) para detectar cambios bioeléctricos en la actividad muscular uterina,Perspectivas de Investigación e innovación interdisciplinar,False,2018,UNIMAR,UNIMAR,,409 - 421,Parto pretermino,No Aplica,No Aplica,Análisis de señales Electrohisterográficas (EHG) para detectar cambios bioeléctricos en la actividad muscular uterina,Perspectivas de Investigación e innovación interdisciplinar
0000000319,JHON JAIRO REALPE,Prueba Libro,Prueba Libro,False,2020,Universidad del Sur Manabi,Universidad del Sur Manabi,,1 - 5 1,No Aplica,Ciencias Sociales;Economía y Negocios;Economía,No Aplica,Prueba Libro,Prueba Libro
0000036919,"AXEL HOFFMANN, J H WANG, DORIS GIRATA, WILSON LOPERA MUNOZ, PEDRO ANTONIO PRIETO PULIDO, I K SCHULLER",Persistent Photoconductivity in High-Tc Superconductors,Spectroscopy Of Superconducting Materials,False,1999,American Chemical Society,American Chemical Society,730,216 - 229,HTc-superconductors;thin films;optical properties,Ciencias Naturales;Ciencias Físicas;Física de Partículas y Campos,Desarrollo de nuevos materiales,Persistent Photoconductivity in High-Tc Superconductors,Spectroscopy Of Superconducting Materials
0000036919,WILSON LOPERA MUNOZ,On the CT Dose Index: Are we Meeting the Challenge?,World Congress on Medical Physics and Biomedical Engineering 2018,False,2019,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,53 - 56 NA,No Aplica,No Aplica,No Aplica,On the CT Dose Index: Are we Meeting the Challenge?,World Congress on Medical Physics and Biomedical Engineering 2018
0001494646,"PABLO HERNANDO RUIZ MELENJE, JULIO ARIEL HURTADO ALEGRIA",A software process line based on the Unified Process,Memorias Xxxviii Conferencia Latinoamericana En Informática,False,2012,Eafit,Eafit,,1 - 6,No Aplica,No Aplica,No Aplica,A software process line based on the Unified Process,Memorias Xxxviii Conferencia Latinoamericana En Informática
0001494646,PABLO HERNANDO RUIZ MELENJE,Guía de Tailoring del Proceso Unificado a Proyectos Específicos para las Pymes Desarrolladoras de Software,Memorias Del 5o Congreso Colombiano De Computación. Ccc2010,False,2010,Universidad Tecnologica De Bolivar,Universidad Tecnologica De Bolivar,,20 - 18,No Aplica,No Aplica,No Aplica,Guía de Tailoring del Proceso Unificado a Proyectos Específicos para las Pymes Desarrolladoras de Software,Memorias Del 5o Congreso Colombiano De Computación. Ccc2010
0001494646,PABLO HERNANDO RUIZ MELENJE,Formalizing the Software Process in Small Companies,Memorias Del 5o Congreso Colombiano De Computación. Ccc2010,False,2013,Universidad Tecnologica De Bolivar,Universidad Tecnologica De Bolivar,,91 - 94,No Aplica,No Aplica,No Aplica,Formalizing the Software Process in Small Companies,Memorias Del 5o Congreso Colombiano De Computación. Ccc2010
0001494646,"PABLO HERNANDO RUIZ MELENJE, JULIO ARIEL HURTADO ALEGRIA",A software process line based on the Unified Process,"Computing Congress (Ccc), 2012 7th Colombian",False,2012,IEEE Publications,IEEE Publications,,1 - 6,Adaptación del proceso;Mejora de Procesos Software;Proceso Unificado ;Procesos Software;Procesos de Desarrollo de Software ,No Aplica,No Aplica,A software process line based on the Unified Process ,"Computing Congress (CCC), 2012 7th Colombian"
