idcvlac,autores,nombre,tipo,nit,registro_camara,verificado,palabras,areas,sectores
0001417846,ANGELA PATRICIA VILLAREAL FREIRE,Aichaku Technology,up,1061686872-2,2021-08,False,No Aplica,No Aplica,No Aplica
0001387326,GINETH MAGALY CERON RIOS,FUNDACION DE INVESTIGACION INNOVACION Y DESARROLLO AUTONOMO PARA EL TRABAJO Y EL EMPRENDIMIENTO,up,9015033589,2020-10,False,Gestión de la innovación,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones","Productos y servicios de recreación,culturales, artísticos y deportivos, Desarrollo de programas (software) y prestación de servicios en informática"
0001499924,HELDER YESID CASTRILLON COBO,HISP Colombia,up,900831430-4,2015-03,False,No Aplica,No Aplica,No Aplica
0000170944,"JUAN PABLO MARTINEZ PULIDO, SILER AMADOR DONADO, ALEXIS OCACIONES GARCIA, ALEJANDRO ROMERO CAMPOS",SECURITIC GROUP SAS,up,900889156-0,2015-09,False,No Aplica,No Aplica,Desarrollo de programas (software) y prestación de servicios en informática
0000411884,RICHARD MARCELO IMBACHI CHAVEZ,BIOHOGAR R&D SAS,off,901708067-1,2023-04,False,aglomerados;Arquitectura;cafe;Cannabis;Innovacion;Logistica;residuos;TRL;UEES,"Ingeniería y Tecnología;Biotecnología Industrial;Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados, Ingeniería y Tecnología;Ingeniería Civil;Ingeniería de la Construcción","Construcción civil, Desarrollo de nuevos materiales, Desarrollo rural, Desarrollo Urbano, Logística de transporte, almacenamiento y comunicaciones, Productos y procesos biotecnológicos"
0000374156,"CARLOS ARTURO LEON ROA, HECTOR SAMUEL VILLADA CASTILLO",Corporación de Base Tecnologica Para el Desarrollo e Innovación Agroindustrial,off,901132423-7,2017-11,False,Almidon de yuca;Almidón termoplástico;Almidones;Biodegradable Packaging;Biodegradable;Bioplasticos;Biopolimeros;Empaques biodegradables;Fibras naturales;fibra de fique,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Desarrollo de nuevos materiales
0000374156,"HECTOR SAMUEL VILLADA CASTILLO, JOSE FERNANDO SOLANILLA DUQUE, CARLOS ARTURO LEON ROA",Zona Franca Paz - ZonaPAZ,off,901141339-4,2017-12,False,Almidon de yuca;Agrocadena;Alimentos;Desarrollo Empresarial;Empaques biodegradables;Empaques semirrigidos biodegradables;Patentes;Poscosecha,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Actividades de asesoramiento y consultoría a las empresas
0001573262,EDWIN RIVERA GOMEZ,ACUAPONIA DIGITAL S.A.S,off,901680155-8,2022-12,False,SISTEMAS ACUAPONICOS ,"Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Agricultura, Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)","Productos y servicios de recreación,culturales, artísticos y deportivos, Agricultura, pecuaria, silvicultura, explotación forestal"
0001050796,DIANA LUCINA HINCAPIE MARIN,TECNOSFERA LTDA,up,900468467-1,2011-10,False,No Aplica,"Ingeniería y Tecnología;Ingeniería Ambiental;Ingeniería Ambiental y Geológica, Ingeniería y Tecnología;Biotecnología Ambiental;Bioremediación, Biotecnología para el Diagnóstico (Chips ADN y Biosensores) en Manejo Ambiental, Ingeniería y Tecnología;Biotecnología Ambiental;Biotecnología Ambiental, Ingeniería y Tecnología;Biotecnología Ambiental;Ética Relacionada con Biotecnología Ambiental, Ingeniería y Tecnología;Ingeniería Civil;Ingeniería Estructural y Municipal, Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Ciencias del Medio Ambiente, Ciencias Naturales;Ciencias Biológicas;Ecología",No Aplica
0000456594,"PAOLA VERNAZA PINZON, INVERSIONES ACOSTA Y VERNAZA SAS, Con su unidad de Negocio MABABY, CENTRO DE GESTACIÓN Y CICLO DE VIDA",se desarrollará la base tecnológica.,up,9003436077,2010-03,True,No Aplica,"Ciencias Médicas y de la Salud;Biotecnología en Salud;Biomateriales (Relacionados con Implantes, Dispositivos, Sensores)",Salud humana
0000011410,"CARLOS HERNAN SIERRA TORRES, CLAUDIA PATRICIA ACOSTA ASTAIZA, HAROLD JOFRE BOLANOS BRAVO",Fundación InnovaGen,up,900493572-0,2012-01,True,No Aplica,"Ciencias Médicas y de la Salud;Biotecnología en Salud;Tecnología para la Identificación y Funcionamiento del ADN, Proteínas y Encimas y como Influencian la Enfermedad, Ciencias Médicas y de la Salud;Ciencias de la Salud;Epidemiología, Ciencias Médicas y de la Salud;Ciencias de la Salud;Salud Pública, Ciencias Médicas y de la Salud;Ciencias de la Salud;Ciencias Socio Biomédicas (Planificación Familiar, Salud Sexual, Efectos Políticos y Sociales de la Investigación Biomédica), Ciencias Médicas y de la Salud;Medicina Básica;Patología, Ciencias Médicas y de la Salud;Medicina Clínica;Obstetricia y Ginecología",Salud humana
0001619222,CAMILO ANDRES ALFONSO RODRIGUEZ,Novum Science SAS,up,9014125892,2020-09,True,No Aplica,No Aplica,Actividades de asesoramiento y consultoría a las empresas
0000265675,"HECTOR SAMUEL VILLADA CASTILLO, CARLOS ARTURO LEON ROA",CORPORACIÓN DE BASE TECNOLÓGICA PARA EL DESARROLLO E INNOVACIÓN AGROINDUSTRIAL,off,901132423,2017-11,False,agrocadena;Almidón de yuca;Almidón Termoplástico;base tecnológica;Bioplasticos;desarrollo empresarial;empaques biodegradables;Fibras de fique;Fibras naturales;EBT - Empresa de base tecnológica;innovación y desarrollo;Planta Piloto;Plastico flexible;Pymes;Semirrigidos;Spinoff;Technology Transfer;TRANSFERENCIA DE TECNOLOGIA,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,"Desarrollo de nuevos materiales, Productos y procesos biotecnológicos"
0000265675,"APOLINAR FIGUEROA CASAS, CARLOS ARTURO LEON ROA",CORPORACION CENTRO INTERNACIONAL DE INVESTIGACION E INNOVACION DEL AGUA,off,900443430,2011-06,False,No Aplica,"Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Oceanografía, Hidrología y Recursos del Agua","Agricultura, pecuaria, silvicultura, explotación forestal"
0000265675,"CARLOS ARTURO LEON ROA, HECTOR SAMUEL VILLADA CASTILLO, JOSE FERNANDO SOLANILLA DUQUE",ZONA FRANCA ZONAPAZ CAUCA PROYECTO AGROINDUSTRIAL SAS,off,901141584,2017-12,False,agrocadena;base tecnológica;desarrollo empresarial;innovación y desarrollo;Pymes;Spinoff;Technology Transfer;Zona Franca;TRANSFERENCIA DE TECNOLOGIA,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,"Desarrollo rural, Productos y servicios de recreación,culturales, artísticos y deportivos, Productos y procesos biotecnológicos"
