idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000523496,GUSTAVO EDUARDO CONSTAIN MORENO,"Diseño e implementación tecnopedagógica del modelo educativo para Coaching en liderazgo, emprendimiento y Oratoria profesional de LÍDERES HOLDING GROUP",Organizacional,False,,,Colombia,2015,No Aplica,Ciencias Sociales;Economía y Negocios;Negocios y Management,Actividades de asesoramiento y consultoría a las empresas
0000709786,JULLY ANDREA MORENO MARTINEZ,sMED,Organizacional,False,,,Colombia,2019,No Aplica,No Aplica,No Aplica
0000709786,JULLY ANDREA MORENO MARTINEZ,Diseño y aplicación de los indicadores del Sistema de Gestión de SST en la CRC,Organizacional,False,,,Colombia,2018,Calidad;CALIDAD;DIRECCIÓN DE PROYECTOS;PLANEACIÓN;Productividad,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Ingeniería Industrial,"Productos y servicios de recreación,culturales, artísticos y deportivos"
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALEJANDRO SERNA ESCOBAR, JUAN CARLOS ORTIZ PIMIENTA",GUÍA METODOLÓGICA PARA LA SOSTENIBILIDAD EN EMPAQUES PLÁSTICOS,Organizacional,False,,,Colombia,2020,No Aplica,No Aplica,No Aplica
0000394718,IVAN DARIO LOPEZ GOMEZ,Sello de sostenibilidad LOOP,Empresarial,False,,,Colombia,2020,No Aplica,No Aplica,No Aplica
0000024742,ANDRES FELIPE AGUILAR BURBANO,CENTRO DE EMPRENDIMIENTO Y DESARROLLO EMPRESARIAL,Organizacional,False,,,Colombia,2020,No Aplica,No Aplica,No Aplica
0001416200,JORGE ELIECER MANRIQUE JULIO,Contribución en los sistemas de vigilancia epidemiológica osteomuscular y cardiovascular,Organizacional,False,,,Colombia,2022,No Aplica,No Aplica,No Aplica
0001278266,"ROBERTH FABIAN MUNOZ ORTIZ, CARLOS SALAZAR VILLAMARIN, MARIA FERNANDA ORTIZ CABRERA, ANGELICA MARIA ZULUAGA CALLE",PROPUESTA DE CREACIÓN DE GRUPO MULTIDISCIPLINARIO BASADO EN EL DISEÑO DE UNA GUIA DE ACTIVIDAD FISCA PARA LA ATENCIÓN INSTITUCIONAL DE LOS NIÑOS Y NIÑAS EN PRIMERA INFANCIA CON RIESGO DE SOBRE PESO Y SOBREPESO PERTENECIENTES A LOS CENTROS DE DESARROLLO INFANTIL DE LA CIUDAD DE POPAYÁN DEL INSTITUTO,Organizacional,False,,,Colombia,2018,No Aplica,Ciencias Médicas y de la Salud;Ciencias de la Salud;Salud Pública,Salud humana
0000082311,LEIDY VANESSA VASQUEZ TENORIO,Estudio de Mercado en torno a una aplicación para mejorar las condiciones de vida de los pacientes amputados y con síndrome de Miembro Fantasma,Organizacional,True,,,Colombia,2020,inteligencia competitiva ;miembro fantasma ;estudio de mercado ;WOMTIC,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",No Aplica
0000082311,LEIDY VANESSA VASQUEZ TENORIO,Inteligencia Competitiva para para generación de conocimiento de alto valor estratégico que permita a la empresa GEFETIC S.A.S la toma de decisiones frente al producto VirtualLimb,Organizacional,True,,,Colombia,2020,inteligencia competitiva ;miembro fantasma ,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",No Aplica
0001342899,"DENIX ALBERTO RODRIGUEZ TORRES, GILBERTO BONILLA SANCHEZ, ROBERTO CARDONA OSPINA, DAYANA LUCIA LIZCANO HERRERA, OSCAR MAURICIO PABON SERRANO",Innovación organizacional para la construcción de ciudadanía y fortalecimiento de la cultura política democrática,Organizacional,True,,,Colombia,2018,Ciudadanía;Democracia,Humanidades;Otras Humanidades;Otras Humanidades,Educación
0000896314,"JUAN FERNANDO LEON CANO, EDWARD JAVIER ORDONEZ",Análisis bibliométrico en acciones colectivas para la construcción de paz,Organizacional,True,,,Colombia,2020,No Aplica,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria","Edición, impresión, reproducción y grabación industriales de diarios, revistas, libros, discos, ca"
0000896314,EDWARD JAVIER ORDONEZ,Innovación en el proceso y sistema de la editorial de la Universidad del Pacífico.,Organizacional,True,,,Colombia,2020,No Aplica,No Aplica,"Edición, impresión, reproducción y grabación industriales de diarios, revistas, libros, discos, ca"
0000896314,EDWARD JAVIER ORDONEZ,1,Organizacional,False,,,Colombia,2019,No Aplica,No Aplica,No Aplica
0000004900,"INGRID SELENE TORRES ROJAS, YULI SIDNEY GARCES BOLANOS, DANIEL ANTONIO LEON BLANCO","La Regulación Emocional desde la metodología M-Learning, en los niños y niñas del grado transición en Popayán-Cauca (I. E. La Pamba)",Empresarial,False,,,Colombia,2022,Educación emocional;Regulación Emocional;M-Learning;Primera infancia ,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",Educación
