idcvlac,autores,nombre,tipo,verificado,lugar,fecha,editorial,isbn,volumen,paginas,palabras,areas,sectores
0000002712,"GILBERTO BOLANOS PANTOJA, CARLOS ANDRADE, JESUS CABRERA",Diagnóstico de Enfermedades por Caracterización Eléctrica del ADN,Libro resultado de investigación,False,España,2012,Editorial Académica Española,3659021695,,,ADN humano;Diagnóstico de Enfermedades;Caracterización Eléctrica ,"Ciencias Médicas y de la Salud;Biotecnología en Salud;Tecnología para la Identificación y Funcionamiento del ADN, Proteínas y Encimas y como Influencian la Enfermedad, Ingeniería y Tecnología;Nanotecnología;Nanomateriales (Producción y Propiedades)",No Aplica
0000916480,ADRIANA ISABEL FIGUEROA GARCIA,Magnetic Nanoparticles. A study by synchrotron radiation and RF transverse susceptibility,Libro resultado de investigación,False,Suiza,2015,"Springer Publishing Company, Inc.",978-3-319-07093-3,,,No Aplica,No Aplica,No Aplica
0000975877,"CARLOS AUGUSTO ANDRADE ERASO, JESUS ANTONIO CABRERA MONCAYO, GILBERTO BOLANOS PANTOJA",Diagnóstico de Enfermedades por Caracterización Eléctrica del ADN: El ADN como herramienta de diagnóstico clínico y como material para la creación de sensores orgánicos y biotransistores,Libro resultado de investigación,False,España,2012,EDITORIAL ACADEMICA ESPAÑOLA,3659021695,,,No Aplica,No Aplica,No Aplica
0001475856,EDUARDO CASTILLO CASTILLO,Comunicaciones por Líneas de Potencia en Banda Estrecha: Teoría y Práctica,Libro resultado de investigación,False,Colombia,2019,Ediorial Universidad Del Cauca,978-958-732-346-7,,,No Aplica,Ciencias Naturales;Ciencias Físicas;Física de Partículas y Campos,No Aplica
0000773646,"JESUS DAVID GONZALEZ LLORENTE, RONALD HURTADO VELASCO, SERGIO ANDRES SANCHEZ SANJUAN, DAVID ORLANDO RODRIGUEZ DUARTE, ANDRES JAVIER RAMBAL VECINO",Obtención de energía solar y su uso eficiente en la orientación de pequeños satélites,Libro resultado de investigación,True,Colombia,2016,Fondo de Publicaciones Universidad Sergio Arboleda,978-958-8866-94-9,,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",No Aplica
0001368173,"ANTONIO FERNANDEZ MARTINEZ, ALEX ARMANDO TORRES BERMUDEZ",Gobierno de las tecnologías de la información (TI) en instituciones de educación superior caso unicomfacauca,Libro resultado de investigación,True,Colombia,2018,Editorial Universidad Del Cauca,978-958-732-340-5,,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001361780,"LILIANA VARGAS AGREDO, CLARA LUCIA BURBANO GONZALEZ",Reflexiones Sobre la Salvaguardia de las procesiones de Semana Santa Popayán(Colombia) y Andalucia (España),Libro resultado de investigación,True,Colombia,2019,Editorial Universidad Tecnológica de Pereira,978-958-722-373-6,,,B-Learning;Patrimonio;Mediaticas Educativas;Recursos de Informacion y comunicacion RIC;Salvaguardia,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",No Aplica
0001361780,CLARA LUCIA BURBANO GONZALEZ,"Desafios de la Actualidad, en la valoracion de competitividad, Desarrollo, Bienestar e innovacion, social para la investigacion",Otro libro publicado,False,Colombia,2020,CEALA,978-65-00-01193-7,,,Aprendizaje Colaborativo;B-Learning;Espacios Virtuales de Enseñanza y Aprendizaje;Mediaticas Educativas,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",No Aplica
0001361780,CLARA LUCIA BURBANO GONZALEZ,CAVA 2019. Un dialogo sobre inclusion en America Latina- Uso de las Mediaciones Tecnologias en relacion al aprendizaje Colabortivo de la Tematica de la Narracion,Libro pedagógico y/o de divulgación,False,Colombia,2019,CAVA 2019,978-958-56791-9-1,,,No Aplica,No Aplica,No Aplica
0001361780,CLARA LUCIA BURBANO GONZALEZ,"REDEC. Rol de la Educacion frente los desafios sociales - Reflexiones Integradoras en propuestas de formación universitaria (Unicomfacauca/Colombia - Universidad Mayor/Chile), mediadas por Recursos de Información y Comunicación (RIC), un caso enfocado al proceso de internacionalización del Currícul",Otro libro publicado,False,Colombia,2018,REDEC,978-9942-784-54-4,,,Aprendizaje Colaborativo;Espacios Virtuales de Enseñanza y Aprendizaje,No Aplica,No Aplica
0001361780,"CLARA LUCIA BURBANO GONZALEZ, CRISTIAN BARRIA HUIDOBRO, DIANA CAROLINA BURBANO GONZALEZ","Tecnologias del Aprendizaje y conocimiento (TAC), Ecologias del Aprendizaje, en la actual sociedad en Red; competencias Tecno pedagogicas en Educacion",Libro resultado de investigación,True,España,2017,Editorial Académica Española,978-3-639-84247-0,,,Aprendizaje Colaborativo;Mediaticas Educativas;Pedagogia -Didactica - Curriculo;Recursos de Informacion y comunicacion RIC;Tecnologías del Aprendizaje y conocimiento ;Tecnologías de la Información y comunicacio ,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,No Aplica
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, WILMAR YESID CAMPO MUNOZ",Redes de datos sobre plataforma Juniper,Libro resultado de investigación,True,Colombia,2016,Editorial Kinesis,978-958-8952-32-1,,,No Aplica,No Aplica,No Aplica
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, JOSE LUIS ARCINIEGAS HERRERA",Arquitectura para el despliegue de servicios interactivos de TV móvil,Libro resultado de investigación,True,Colombia,2018,Universidad del Cauca,978-958-732-315-3,,,Arquitectura,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001365599,"GUSTAVO ANDRES URIBE GOMEZ, BERND BLOBEL, DIEGO MAURICIO LOPEZ GUTIERREZ",System architectures and ontologies applied to health information systems,Libro resultado de investigación,True,Colombia,2019,Editorial Universidad Del Cauca,978-958-732-362-7,,,No Aplica,No Aplica,No Aplica
0000523496,GUSTAVO EDUARDO CONSTAIN MORENO,Diseño De Ambientes Digitales Para El Aprendizaje Autonomo : Incorporación De Agentes Inteligentes Y Escenarios De Trabajo Colaborativo,Libro resultado de investigación,False,Colombia,2008,Universidad Nacional Abierta y a Distancia,978-958-651-481-1,1,172,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,RECURSOS EDUCATIVOS ABIERTOS: Una oportunidad para la inclusión,Libro resultado de investigación,True,Colombia,2016,Tecnológico Comfenalco,978-958-58944-9-5,,,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,RECURSOS EDUCATIVOS AUMENTADOS: Una oportunidad para la inclusión,Libro resultado de investigación,True,Colombia,2016,Tecnológico Comfenalco,978-958-59656-0-7,,,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,Tendencias en educación en y para la diversidad apoyada en las TIC,Libro resultado de investigación,True,Colombia,2018,Tecnológico Comfenalco,978-958-56891-8-3,,,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,Jóvenes visionando el futuro desde la investigación formativa:,Otro libro publicado,False,Colombia,2017,Sello Editorial Tecnològico Comfenalco,978-958-59845-3-0,,,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,Promoviendo la inclusión en la globalidad,Otro libro publicado,False,Argentina,2017,ECO - UNT,978-987-45745-8-9,,,No Aplica,No Aplica,No Aplica
0000374920,JAIR MENDOZA CEBALLOS,Teleinformatica Basica,Libro resultado de investigación,False,Colombia,2002,Prado & Duarte Corporacion,9583354325,,,Telecomunicaciones;Redes de Datos;Informatica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0000374920,JAIR MENDOZA CEBALLOS,Microprocesadores Y Microcontroladores,Libro resultado de investigación,False,Colombia,2003,Prado & Duarte Corporacion,9583354333,,,Microcontroladores,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Hardware y Arquitectura de Computadores, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0000374920,JAIR MENDOZA CEBALLOS,Estudie Y Triunfe,Libro pedagógico y/o de divulgación,False,Colombia,2003,Jair Mendoza,958-33-5099-0,,,Estrategias didacticas;Pedagogia,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",No Aplica
0000374920,JAIR MENDOZA CEBALLOS,Unix Básico,Otro libro publicado,False,Colombia,2003,Jair Mendoza,9583354341,,,No Aplica,No Aplica,No Aplica
0000170944,JUAN PABLO MARTINEZ PULIDO,Gestión de la seguridad en el desarrollo de software,Otro libro publicado,False,Colombia,2019,Sello Editorial Unicomfacauca,978-958-56791-3-9,,,Aplicaciones;Seguridad;Desarrollo,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001492988,"KATERINE MARCELES VILLALBA, SILER AMADOR DONADO, MARIA ALEJANDRA ZUNIGA GARZON",Protección de datos anónima y portable,Libro resultado de investigación,True,Colombia,2020,Editorial Académica Española,978-620-0-39324-1,,,Anonimato;redes;RASPBERRY PI;seguridad en las redes inalámbricas;Seguridad informática,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001492988,"JUAN JOSE CAIZA NARVAEZ, KATERINE MARCELES VILLALBA",Aminorar una brecha comunicacional con Beeth-Eart: Una herramienta inclusiva para personas sordas,Libro resultado de investigación,True,Colombia,2020,Editorial Académica Española,978-6200410139,,,Aprendizaje;Salud ;Tamizaje auditivo;Inclusión,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001492988,"KATERINE MARCELES VILLALBA, ANA MARIA VILLANI VILLANI, JUAN CAMILO CANDO DELGADO",Herramienta educativa para la gestión de proyectos informáticos,Libro resultado de investigación,False,España,2022,Editorial Académica Española,978-620-3-88707-5,,,Gestión de proyectos informáticos;Educación Superior;Investigación,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001492988,"KATERINE MARCELES VILLALBA, JUAN JOSE CAIZA NARVAEZ, SILER AMADOR DONADO",Diseño De Entorno Con Tecnologías Emergentes Para Ciberseguridad,Libro resultado de investigación,False,España,2022,Editorial Académica Española,978-620-3-88611-5,,,Investigación;sistema de gestión de seguridad;Tecnologías Emergentes;Arquitectura de Ciberseguridad,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001492988,"KATERINE MARCELES VILLALBA, SILER AMADOR DONADO, YEISON ISAAC LLANTE LUCIO, SANTIAGO ORDONEZ TUMBO",SELECCIÓN DE ANTECEDENTES CONCEPTUALES DE UN MARCO DE CIBERSEGURIDAD,Libro resultado de investigación,False,España,2023,Editorial Académica Española,978-620-2-11413-4,,,Alfabetizacion;Arquitectura de Ciberseguridad;Blockchain;Ciberseguridad;IDS;Inteligencia artificial;Investigación;IoT;sistema de gestión de seguridad,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001492988,"KATERINE MARCELES VILLALBA, ELKIN FABER ORTIZ MARTINEZ, DAVID ARMANDO BENAVIDES ZUNIGA",LA REALIDAD A TRAVÉS DE UN MÓVIL,Libro resultado de investigación,False,España,2023,Editorial Académica Española,978-620-2-11416-5,,,Alfabetizacion;Apps;Colaborativo,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001492988,"KATERINE MARCELES VILLALBA, SILER AMADOR DONADO, MICHELLE DAYANA ROMERO LOPEZ, ALEXANDER MAMPOTES PIPI",Sistema Unificado de Amenazas basado en dispositivos de bajo costo,Libro resultado de investigación,True,España,2019,Editorial Académica Española,978-613-9-46530-9,,,Seguridad informática;redes;sistema de gestión de seguridad;Sistema unificado de amenazas,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0000438456,LINA URIBE,Pertinencia De La Educacion Tecnologica En Contextos Regionales. Una Aproximacion Al Contexto Del Departamento Del Cauca,Libro resultado de investigación,False,Colombia,2006,INSTITUTO TECNOLOGICO DE COMFACAUCA,958-33-9185-9,1,153,EDUCACION TECNOLOGICA,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)","Actividades de asesoramiento y consultoría a las empresas, Educación, Mercado de trabajo y mano de obra"
0000438456,LINA URIBE,Acceso a la Educación Superior en Colombia: Política Pública y Resultados (2002-2010),Libro resultado de investigación,True,Colombia,2013,Institución Universitaria Tecnológica de Comfacauca,978-958-99756-2-6,,,EDUCACION SUPERIOR;Access to Higher Education,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",No Aplica
0000900893,"MARIA ISABEL VIDAL CAICEDO, ELEONORA PALTA VELASCO, KATERINE MARCELES VILLALBA",Smart Drip System: Un Sistema de Riego Autónomo Propuesta de un sistema de riego automatizado con IoT,Libro resultado de investigación,True,Colombia,2020,EDITORIAL ACADEMICA ESPAÑOLA,6200392676,,,Arquitectura de Software;Cities and towns;Gestión del Conocimiento ;Programacion,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0000900893,MARIA ISABEL VIDAL CAICEDO,Ecosistema virtual gamificado de Francisco José de Caldas,Libro resultado de investigación,True,España,2020,EDITORIAL ACADEMICA ESPAÑOLA,978-620-2-81105-7,,,Entornos 3D;escenario de gamificación;Recorridos Virtuales 3D,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001383681,MAURICIO ANDRES MOSQUERA RIOS,Estrategia de aprendizaje basada en herramientas web 2.0 en el ámbito universitario,Libro resultado de investigación,True,Colombia,2017,Editorial Unicauca,978-958-732-252-1,,,aprendizaje;e-learning;tic;web 2.0,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0000826820,"ANGIE GUERRERO ZAMORA, LUIS ERVIN PRADO ARELLANO, ANGELA ROCIO SEVILLA ZUNIGA","Cartas al general Melo: guerra, política y sociedad en la Nueva Granada, 1854. Transcripción, estudio preliminar y notas críticas",Libro resultado de investigación,False,Colombia,2022,Editorial Universidad Del Rosario,978-958-784819-9,,,No Aplica,Humanidades;Historia y Arqueología;Historia de Colombia,No Aplica
0000826820,LUIS ERVIN PRADO ARELLANO,"Rebeliones En La Provincia. La Guerra De Los Supremos En Las Provincias Suroccidentales Y Nororientales Granadinas, 1839 - 1842",Libro resultado de investigación,False,Colombia,2007,Editorial Facultad De Humanidades Universidad Del Valle,978-958-98168-5-1,0,402,No Aplica,No Aplica,No Aplica
0000826820,"LUIS ERVIN PRADO ARELLANO, DAVID FERNANDO PRADO VALENCIA",Laureano López Y Joaquín Mosquera Recuerdos De Dos Payaneses Sobre La Guera De Independencia Y La Disolución De Colombia,Libro resultado de investigación,True,Colombia,2012,Division Editorial Y De Publicaciones Uis Universidad Industrial De Santander,978-958-8777-02-3,0,197,No Aplica,No Aplica,No Aplica
0000826820,"LUIS ERVIN PRADO ARELLANO, DAVID FERNANDO PRADO VALENCIA, LAURA HELENA RAMIREZ TOBAR","Diarios de la Guerra de mediados de siglo en las provincias del Cauca, 1851-8154",Libro resultado de investigación,False,Colombia,2014,Editorial Universidad Del Cauca,986-958-732-142-5,,,No Aplica,No Aplica,No Aplica
0000826820,LUIS ERVIN PRADO ARELLANO,"Narraciones contemporáneas de la guerra por la federación en el Cauca (1859-1863). Transcripción, estudio preeliminar y notas críticas",Libro resultado de investigación,True,Colombia,2017,Editorial Universidad Del Rosario,978-958-738-848-0,,,No Aplica,No Aplica,No Aplica
0000001761,"DAVID FERNANDO PRADO VALENCIA, LUIS ERVIN PRADO ARELLANO",Diarios de las guerras de mediados de siglo en las provincias del Cauca,Libro resultado de investigación,True,Colombia,2014,Universidad del Cauca,978-958-732-142-5,,,No Aplica,No Aplica,No Aplica
0000001761,"DAVID FERNANDO PRADO VALENCIA, LUIS ERVIN PRADO ARELLANO",Laureano López Y Joaquín Mosquera Recuerdos De Dos Payaneses Sobre La Guera De Independencia Y La Disolución De Colombia,Libro resultado de investigación,True,Colombia,2012,Division Editorial Y De Publicaciones Uis Universidad Industrial De Santander,978-958-8777-02-3,0,197,No Aplica,Humanidades;Historia y Arqueología;Historia,No Aplica
0000139617,"ANGIE GUERRERO ZAMORA, LUIS ERVIN PRADO ARELLANO, ANGELA ROCIO SEVILLA ZUNIGA","Cartas al general Melo: guerra, política y sociedad en la Nueva Granada, 1854. Transcripción, estudio preliminar y notas críticas",Libro resultado de investigación,False,Colombia,2021,Editorial Universidad Del Rosario,9789587848205,,,No Aplica,Humanidades;Otras historias;Otras Historias Especializadas,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,Imaginario De La Intolerancia En Colombia,Libro resultado de investigación,False,Colombia,1995,Apolo,958-95762-0-6,0,133,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,"Estado, Sociedad Y Periferias En Colombia. El Caso De La Amazonia Colombiana: Una Perspectiva Histórica",Otro libro publicado,False,Colombia,1996,Apolo,958-95762-1-4,0,133,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,Paz Y Democracia En Colombia Al Final Del Milenio,Otro libro publicado,False,Colombia,1998,Antropos,958-95762-2-2,0,225,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,Historia Política De Colombia,Otro libro publicado,False,Colombia,2000,Antropos,958-33-1758-6,0,290,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,Historias Del Sur,Otro libro publicado,False,Colombia,2002,Antropos,958-33-3459-6,0,213,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,Carlos Albán Y Su Tiempo,Libro resultado de investigación,False,Colombia,2002,Feriva,958-33-3237-2,0,213,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,El golpe de Estado en Venezuela,Libro resultado de investigación,False,Colombia,2003,Antropos,958-33-5046-7.,0,243,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,La Biografía,Otro libro publicado,False,Colombia,2007,Diseño Gráfico e Impresiones,978-958-44-0510-4,0,287,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,Razón De Estado,Otro libro publicado,False,Colombia,2007,Diseño Gráfico e Impresiones,978-958-44-0661-3,0,162,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,Historia De La Transición A La Democracia En Chile,Libro resultado de investigación,False,Colombia,2007,Diseño Gráfico e Impresiones,978-958-44-1124-2,0,208,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,Historia Comparada De La Doctrina De La Seguridad Nacional: Chile-Colombia,Libro resultado de investigación,False,Colombia,2009,Antropos,978-958-44-5066-1,0,328,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,El Golpe De Estado En Honduras,Libro resultado de investigación,False,Colombia,2010,Ántropos Ltda,978-958-44-7589-3,0,290,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,Reflexiones sobre las memorias,Libro resultado de investigación,True,Colombia,2020,Ediciones Antropos,978-958-48-9365-9,,,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,Palabras al atardecer (Un discurso contra el neoliberalismo),Libro resultado de investigación,True,Colombia,2020,Ediciones Antropos,978-958-48-9363-5,,,No Aplica,No Aplica,No Aplica
0001479719,EDGAR DE JESUS VELASQUEZ RIVERA,Aspectos teóricos de la autobiografía,Libro resultado de investigación,True,Colombia,2020,Ediciones Antropos,978-958-48-9364-2,,,No Aplica,No Aplica,No Aplica
0000002006,LAURA HELENA RAMIREZ TOBAR,"Diarios de las guerras de mediados de siglo en las provincias del Cauca, 1851 y 1854",Libro resultado de investigación,False,Colombia,2014,Universidad del Cauca,978-958-732142-5,,,No Aplica,No Aplica,No Aplica
0000312304,MARCELA PIAMONTE CRUZ,"Escuelas y Pedagogías Afrocolombianas del río, el valle y la montaña",Libro resultado de investigación,False,Colombia,2010,Editorial Universidad Del Cauca,978-958-732-041-1,,,Historia regional;Etnoeducación Afrocolombiana,No Aplica,No Aplica
0001351820,WILIAN GIOVANI JIMENEZ ESCOBAR,Antes de la Ciencia: Filosofía Natural en Popayán (1767-1808),Libro resultado de investigación,False,Colombia,2020,Editorial Instituto Colombiano de Antropología e Historia ICANH,978-958-8852-92-8,,,No Aplica,Humanidades;Historia y Arqueología;Historia,No Aplica
0000709786,JULLY ANDREA MORENO MARTINEZ,Recubrimientos duros sobre acero deherramientas de corte industrial,Libro resultado de investigación,False,España,2012,Editorial Académica Española,978-3-8484-6207-0,,,No Aplica,No Aplica,No Aplica
0000709786,JULLY ANDREA MORENO MARTINEZ,Recubrimientos duros sobre acero de herramientas de corte industrial,Libro resultado de investigación,False,España,2012,No Aplica,978-3-8484-6207,1,120,Sputtering;Recubrimientos duros;aceros,Ingeniería y Tecnología;Ingeniería Mecánica;Ingeniería Mecánica,Actividades en el campo de las nanotecnologías y desarrollo de nanoproductos
