idcvlac,nombre,activa
0000002712,Fabricación y Caracterización de Materiales Superconductores de Alta Temperatura Crítica,Si
0000002712,Fotoconductividad en Materiales Semiconductores,Si
0000002712,Fabricación y Caracterización de Películas Gruesas con Materiales Superconductores de Alta Temperatura Crítica,Si
0000002712,Fabricación de Multicapas y Recubrimientos Duros,Si
0000002712,Transiciones de Fase,Si
0000002712,Superconductividad,No
0000002712,Fabricación de Películas Gruesas y Materiales en Bloque con Superconductores de Alta Temperatura Crítica,No
0000002712,Fabricación y Caracterización de Junturas Josephson con el sistema Superconductor YBa2Cu3O7-x,No
0000002712,Dopaje con Plata de Junturas Josephson con el sistema superconductor YBa2Cu3O7-x,No
0000916480,Spintronics,Si
0000916480,Materiales magnéticos,Si
0000916480,Técnicas avanzadas de caracterizacion de materiales,Si
0000000663,Recubrimientos Duros,No
0000975877,Desarrollo de spin-off tecnologicas,Si
0000975877,Sensorica y monitoreo remoto,Si
0000975877,Desarrollo de producto,Si
0000419184,Robotica medica,Si
0000251224,Procesamiento Láser de Materiales,Si
0000251224,Biomateriales,Si
0000251224,Estudio de interacción entre fotones y superficies,Si
0000251224,Materiales para Dispositivos Optoelectrónicos,Si
0000251224,Gestión Tecnológica y Materiales,Si
0000251224,Eficiencia Energética y Energías Alternativas,Si
0001475856,Redes eléctricas,Si
0001475856,Power line Communications,Si
0001475856,Materiales en forma de Película Delgada,Si
0001475856,Redacción y presentación de Patentes,Si
0000168829,Materiales,Si
0001516273,Magnetismo,Si
0001516273,Fabricación y caracterización del material en bloque TbMnO3 dopada con Al,Si
0001516273,Fabricación y caracterización de peliculas delgadas de KNbO3 dopada con Co crecida por la tecnica magnetron sputtering RF,Si
0001516273,propiedades eléctricas y magnéticas del material en bulk KNbO3 dopada con Co,Si
0001516273,propiedades mecanicas de peliculas delgadas de Hidroxiapatita crecidas por la tecnica magnetron sputtering RF,No
0000000319,Control e Instrumentacion Electrónica,Si
0000000319,Materiales Magnéticos y Propiedades Magnéticas,Si
0001542327,Recubrimientos Duros,Si
0001542327,Nanomateriales,Si
0001542327,Fabricación y Caracterización de Películas Delgadas de Dioxido de Vanadio,No
0001542327,Fabricación y caracterización de materiales multiferroicos,Si
0001542327,Nuevos Materiales,Si
0001542327,Caracterizacion Electrica de Materiales,Si
0001542327,Fabricación de películas delgadas con superconductores de alta temperatura crítica,Si
0001476153,Física de la Materia Condensada -- Recubrimientos Duros,No
0001476153,Física de Plasmas y Descargas Eléctricas,No
0001476153,Valoración y utilización de desechos en la producción de materiales,Si
0001542322,peliculas delgadas,Si
0001542322,Superconductividad,Si
0001542322,Coexistencia superconductividad y ferromagnetismo,Si
0001542322,Magnetismo,Si
0001016520,Moleculas Magnéticas,Si
0001016520,Nanotecnología,Si
0001016520,microelectrónica,Si
0001016520,Control,Si
0001016520,Física de muy bajas temperaturas,Si
0001016520,Física de la Materia Condensada,Si
0001542370,Recubrimientos duros para aplicaciones biomédicas,No
0000773646,Consumo de energía,Si
0000773646,Determinación y control de orientación de pequeños satélites,Si
0000773646,Materiales,No
0000773646,Consumo de combustibles,No
0000773646,Sistemas embebidos,Si
0000773646,Sistemas Reconfigurables y FPGAs,Si
0000773646,Diseño electrónico,Si
0001674023,Investigación y Desarrollo,Si
0000378631,"Matería, Energía y Sostenibilidad Ambiental-MESA",Si
0000378631,Tratamientos Térmicos,Si
0000378631,Semiconductores,No
0000378631,Aplicaciones tecnológicas de plasma,No
0000378631,Nanotubos de Carbono,No
0000378631,Desarrollo de Nuevos Materiales,No
0000378631,Nanotecnología,No
0000036919,"Crecimiento y caracterización de peliculas, multicapas y dispositivos basados en óxidos superconductores",No
0000036919,Crecimiento y caracterización de materiales óxidos en forma de capa delgada,Si
0000036919,Elaboración y caracterización física de nuevos materiales en forma de capa delgada,No
0001494646,Ingeniería del Software,Si
0001368173,Infraestructura y Servicios de Telecomunicaciones,Si
0001368173,Gobierno y Gestión de TI,Si
0001368173,Desarrollo de Software,Si
0001368173,TIC en Educación,Si
0001417846,Interacción Humano Computador,Si
0001417846,Diseño emocional,Si
0001417846,Usabilidad,Si
0001606175,Desarrollo de Software,Si
0001606175,Gobierno y Gestión de las TI,Si
0000894796,Sostenibilidad ambiental,Si
0000894796,Producción  agropecuaria sustentable,Si
0001361780,Aseguramiento de Calidad en Redes de comunicacion,Si
0001361780,aseguramiento de la calidad en redes de comunicacion,Si
0001361780,Tecnología Educativa,Si
0001361780,Seguridad informática y TIC,Si
0001637782,Informatica Educativa,Si
0000333816,Desarrollo de Software,Si
0000333816,Mecatrónica,Si
0000333816,Enfoque CTS+I,Si
0000333816,Monitor de Laboratorio,No
0000333816,Instrumentacion Cientifica,Si
0000333816,Materia Condensada,Si
0000333816,Sostenibilidad ambiental,Si
0000333816,TECNOLOGÍA AGRO AMBIENTAL,Si
0001462299,Desarrollo de Software,Si
0001462299,Sostenibilidad Ambiental,Si
0001462299,PRODUCCION Y TRANSFORMACION AGROPECUARIA SUSTENTABLE,Si
0001438029,Industria de software,Si
0000178423,INTELIGENCIA COMPUTACIONAL,Si
0001353314,Servicios Avanzados de Telecomunicaciones,Si
0001380892,TIC'S,Si
0001387326,e-salud,Si
0001387326,Servicios Avanzados en Telecomunicaciones,Si
0001387326,e-commerce,Si
0001387326,Desarrollo rural y sostenible,Si
0001387326,Emprendimiento,Si
0001387326,Televisión Digital Interactiva,Si
0001387326,Soberania alimentaría,Si
0001387326,Ciencia de Datos,Si
0001387326,Ingeniería de Software,Si
0001365599,Redes computacionales aplicadas,Si
0001365599,eSalud,Si
0001365599,Sistemas Empotrados,No
0001365599,Dispositivos Móviles,Si
0001365599,Sistemas basados en conocimiento,Si
0000523496,Tecnologías emergentes,Si
0000523496,Gestión de Sistemas,Si
0000523496,Ambientes Virtuales de Aprendizaje,Si
0000523496,Interacción Humano-Computador,Si
0001499924,Web Science,Si
0001499924,Health Informatics,Si
0001499924,Ingeniería de Software,Si
0001499924,Interfaz Humano Cerebral,Si
0001499924,Seguridad Informática,Si
0001499924,Machine Learning,Si
0000374865,Tecnologias de la informacion y la comunicacion,Si
0001253220,Telecomunicaciones,Si
0001253220,Desarrollo de Software,Si
0000374920,TIC en la Educación,Si
0000374920,Investigacion Docente,No
0000374920,Trabajo Colaborativo,No
0000374920,Redes de Nueva Generacion,No
0000374920,Ambientes Virtuales Colaborativos,No
0000374920,Robotica,Si
0000374920,Robotica Colaborativa,No
0000374920,Uso Industrial de la SANSEVIERIA TRIFASCIATA,Si
0000212440,Sistemas Empresariales de Información,Si
0000212440,Desarrollo de Software,No
0000212440,Sistemas Autónomos,No
0000212440,Sublínea Desarrollo de Software,Si
