idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000975877,"CARLOS AUGUSTO ANDRADE ERASO, ANDRES EDUARDO MANTILLA ZARATE, JORGE ANDRES PRADA MEJIA, GERMAN CASTILLO SALAMANCA, LUZ ADRIANA PLAZAS PEMBERTHY, PEDRO LEON RIVERA WICHES, SISTEMA DE MONITOREO PERMANENTE DE PRESIÓN - TEMPERATURA EN FONDO DE POZO",MULTIPLE O SERIAL EN TIEMPO REAL,Otro,False,HERRAMIENTA PT DIRECCCIONAL,,Colombia,2016,No Aplica,No Aplica,No Aplica
0000975877,"CARLOS AUGUSTO ANDRADE ERASO, DAVID ARMANDO REVELO LUNA, ANDRES EDUARDO MANTILLA ZARATE, GERSON SAUL PEREZ MORA, GERMAN CASTILLO SALAMANCA, ALVARO PRADA VELASQUEZ, JORGE ANDRES PRADA MEJIA",SISTEMA Y MÉTODO PARA MEDICIÓN DEL CONTENIDO DE AGUA O CORTE DE AGUA EN MEZCLA DE PETRÓLEO/GAS-AGUA,Otro,False,SMART WATER CUT,,Colombia,2015,No Aplica,No Aplica,No Aplica
0000378631,WILLFRAND PEREZ URBANO,Nanotubos de carbono de multicapa,Otro,False,,,Colombia,2006,Nanotecnología;Nanotubos de carbono;PAPVD,"Ingeniería y Tecnología;Ingeniería de los Materiales;Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales), Ciencias Naturales;Ciencias Físicas;Física de Partículas y Campos",No Aplica
0000523496,"GUSTAVO EDUARDO CONSTAIN MORENO, MANUEL JOSE SANTIAGO PAJAJOYO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA",GAMOTION,Otro,False,GAMOTION,,Colombia,2019,No Aplica,No Aplica,Educación
0000523496,"GUSTAVO EDUARDO CONSTAIN MORENO, MANUEL JOSE SANTIAGO PAJAJOYO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA",SISTEMA MOOC CATEDRA DE PAZ,Otro,False,SISTEMA MOOC CATEDRA DE PAZ,,Colombia,2020,No Aplica,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",Educación
0000523496,"GUSTAVO EDUARDO CONSTAIN MORENO, MANUEL JOSE SANTIAGO PAJAJOYO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA",PLATAFORMA SOFTWARE OBSERVATORIO FILOSÓFICO VIRTUAL,Otro,False,PLATAFORMA SOFTWARE OBSERVATORIO FILOSÓFICO VIRTUAL,,Colombia,2020,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones, Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",Desarrollo de programas (software) y prestación de servicios en informática
0000523496,GUSTAVO EDUARDO CONSTAIN MORENO,Simulador de Física General,Otro,False,,,Colombia,2005,No Aplica,No Aplica,No Aplica
0000212440,JOSE WILDEMAN ORDONEZ VALVERDE,Apicultura de Alto Valor,Otro,False,,,Colombia,2007,Agropecuario;Organización de Información;Sistema de Información;Sistemas Integrales;Apicultura;Sistemas de Información Geográficos,"Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Agronomía","Agricultura, pecuaria, silvicultura, explotación forestal, Desarrollo de programas (software) y prestación de servicios en informática, Desarrollo rural"
0000267244,"NELSON VIVAS QUILA, HORACIO RENE BADOS","Evaluación del comportamiento productivo y resistencia a varroa de 3 reinos de abejas Apis mellifera, seleccionadas de los apiarios del Cauca y una introducida",Otro,False,,,Colombia,2004,No Aplica,Ciencias Agrícolas;Ciencias Veterinarias;Ciencias Veterinarias,No Aplica
0000347485,"SANDRA MORALES VELASCO, NELSON VIVAS QUILA","Creacción de un escenario de investigación , con el fin de integrar investigacion, conservación y producción",Otro,False,,,Colombia,2004,Ecologia;Desarrollo sostenible,Ciencias Naturales;Ciencias Biológicas;Ecología,"Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000347485,SANDRA MORALES VELASCO,Creación de Un Arboretum en ñla Facultad de Ciencias Agropecuarias,Otro,False,,,Colombia,2005,Materias Primas;Planificación,Ciencias Naturales;Ciencias Biológicas;Ecología,"Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000347485,"SANDRA MORALES VELASCO, NELSON VIVAS QUILA","ASPECTOS REPRODUCCITIVO DEL Helix aspersa, como opcion de zoocria en la Facultad de Ciencias Agropecuarias",Otro,False,,,Colombia,2004,PRODUCCION,Ciencias Naturales;Ciencias Biológicas;Ecología,"Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000347485,"SANDRA MORALES VELASCO, NELSON VIVAS QUILA, JHON FREDDY GUTIERREZ SOLIS",Diseño de un Biofiltro con Poaceaes para la fitodepuración de aguas en sistemas agropecuarios,Otro,False,,,Colombia,2018,AGUAS;AMBIENTE;Remoción;Porcicultura,Ciencias Agrícolas;Otras Ciencias Agrícolas;Otras Ciencias Agrícolas,"Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000374156,HECTOR SAMUEL VILLADA CASTILLO,Formulación de Proyectos- Ministerio de Agricultura y Desarrollo Rural,Base de datos de referencia para investigacion,False,,,Colombia,2008,No Aplica,No Aplica,No Aplica
0000374156,HECTOR SAMUEL VILLADA CASTILLO,Buenas Prácticas de Formulación de Proyectos,Base de datos de referencia para investigacion,False,,,Colombia,2007,No Aplica,No Aplica,No Aplica
0000374156,HECTOR SAMUEL VILLADA CASTILLO,Seminario Internacional de Agroindustria,Otro,False,,,Colombia,2012,No Aplica,No Aplica,No Aplica
0001380950,FREDY EDUARDO LOPEZ DAZA,24 Diagnósticos de trapiches paneleros pilotos,Otro,False,24 Diagnósticos de trapiches paneleros pilotos,Contrato de Consultoria N° 223,Colombia,2007,No Aplica,No Aplica,No Aplica
