idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000773735,"ANDREA JOVANNA ORTEGA RODRIGUEZ, LEIDY PAOLA DORADO MUNOZ, GILBERTO BOLANOS",Sistema de Adquisición y Monitoreo de Señales Eléctricas Generadas en la Actividad Cerebral,Industrial,False,,,Colombia,2005,actividad cerebral;procesamiento de señales;señales biomédicas,"Ingeniería y Tecnología;Ingeniería Médica;Ingeniería Médica, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",Fabricación de equipos de instrumentación médico
0000773646,RONALD HURTADO VELASCO,Controlador de Temperatura CTC-f1,Industrial,True,,,Colombia,2006,No Aplica,No Aplica,No Aplica
0000773646,"DAVID MAGIN FLOREZ RUBIO, RONALD HURTADO VELASCO",DINAMÓMETRO EMULADOR DE CONDICIONES DE RODAMIENTO Y MÉTODO DE OBTENCIÓN DE VARIABLES DE DESEMPEÑO,Industrial,True,,,Colombia,2018,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",No Aplica
0000378631,"WILLFRAND PEREZ URBANO, LUIS FELIPE IDROBO",Fotodetectores,Industrial,False,,,Colombia,2003,Optica;Semiconductores;Silicio Poroso;Fotodiodos;Fotodetectores;Silicio,"Ciencias Naturales;Ciencias Físicas;Física atómica, Molecular y Química, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",Fabricación de material electrónico y de aparatos y equipos de comunicación
0000378631,"WILLFRAND PEREZ URBANO, LUIS FELIPE IDROBO",Fuente de corriente controlada,Industrial,False,,,Colombia,2003,Micropocesadores;Fuente de corriente;Proceso Electroquímico;Silicio Poroso;Comunicación serial,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica, Ingeniería y Tecnología;Ingeniería de los Materiales;Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales)","Fabricación de máquinas, aparatos y materialies eléctricos"
0001462299,"EDGAR MATALLANA SANCHEZ, EVER GREGORIO MARTINEZ ROMERO",Microplanta automatizada para producción de probioticos,Industrial,False,,,Colombia,2022,Abono orgánico;Aguas residuales;Impacto ambiental,Ingeniería y Tecnología;Biotecnología Ambiental;Biotecnología Ambiental,"Captación, tratamiento y distribución de agua, limpieza urbana, aguas residuales y actividades conexas"
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,"Arquitectura para el despliegue de servicios interactivos de TV Móvil, apoyada en sistemas de Recomendaciones y Búsquedas Semántica",Industrial,True,,,Colombia,2013,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001387326,GINETH MAGALY CERON RIOS,PLATAFORMA OFFLINE PARA LA CREACIO ́N DE FORMULARIOS CON CONTENIDOS MULTIMEDIA PARA PRUEBAS TIPO PRE-SABER (ICFES),Industrial,False,,,Colombia,2019,No Aplica,No Aplica,Desarrollo de programas (software) y prestación de servicios en informática
0001727629,"MICHAEL STIVENS PARDO BURBANO, VICTOR HUGO PINTO RODRIGUEZ, JULIAN FERNANDO MUNOZ ORDONEZ",Punto ecológico inteligente: EcologIA,Industrial,False,,,Colombia,2021,Deep Learning;Convolutional Neural Networks;Classification of Solid Waste;Smart Ecological Point ,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0000709786,JULLY ANDREA MORENO MARTINEZ,Implementación de un sistema de mejora continua Kaizen aplicado al área de colisión del Taller SMI Automotriz,Servicios,True,,,Colombia,2018,No Aplica,No Aplica,No Aplica
0000709786,JULLY ANDREA MORENO MARTINEZ,Banco de Calibración medidores de gas,Industrial,True,,,Colombia,2017,No Aplica,No Aplica,No Aplica
0000709786,"DANNY LORENA IMBACHI, JULLY ANDREA MORENO MARTINEZ",Máquina Clasificadora de Café por tamaño,Industrial,True,,,Colombia,2018,Cafe;Simulación;Productividad,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Ingeniería Industrial,"Fabricación de máquinas, aparatos y materialies eléctricos"
0000411884,"RICHARD MARCELO IMBACHI CHAVEZ, ANA LORENA URBANO BOJORGE",Sistema de refrigeracion para biologicos,Industrial,True,,,Colombia,2007,refrigeracion,Ingeniería y Tecnología;Ingeniería Médica;Ingeniería Médica,Fabricación de equipos de instrumentación médico
0000411884,"RICHARD MARCELO IMBACHI CHAVEZ, ANA LORENA URBANO BOJORGE",Lampara de fototerapia,Industrial,True,,,Colombia,2006,Fototerapia,Ingeniería y Tecnología;Ingeniería Médica;Ingeniería Médica,Fabricación de equipos de instrumentación médico
0000411884,"RICHARD MARCELO IMBACHI CHAVEZ, MARIA CAMILA AYALA GIRON, GUSTAVO PEREZ GUERRERO, YINET VANESA HOYOS BOLANOS, SANDRO MAURICIO RAMOS VELASCO",Bioproducto en Bloque BCC para bioconstruccion,Industrial,False,,,Colombia,2022,Arquitectura;Innovacion;Logistica;residuos;TRL;UEES,"Ingeniería y Tecnología;Biotecnología Industrial;Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados","Agricultura, pecuaria, silvicultura, explotación forestal"
0000411884,"RICHARD MARCELO IMBACHI CHAVEZ, MARIA CAMILA AYALA GIRON, GUSTAVO PEREZ GUERRERO, YINET VANESA HOYOS BOLANOS, SANDRO MAURICIO RAMOS VELASCO",Bioproducto de Teja para bioconstruccion,Industrial,False,,,Colombia,2022,Arquitectura;Innovacion;Logistica;residuos;TRL;UEES,"Ingeniería y Tecnología;Biotecnología Industrial;Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados","Agricultura, pecuaria, silvicultura, explotación forestal"
0000411884,"SANDRO MAURICIO RAMOS VELASCO, RICHARD MARCELO IMBACHI CHAVEZ, BIOHOGAR",EDIFICACIÓN AMIGABLE CON EL MEDIO AMBIENTE. DISEÑO DE UN MATERIAL CEMENTANTE,Industrial,False,,,Colombia,2023,Arquitectura;residuos;TRL;UEES;Innovacion,"Ingeniería y Tecnología;Biotecnología Industrial;Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados, Ingeniería y Tecnología;Ingeniería Civil;Ingeniería de la Construcción","Construcción civil, Desarrollo de nuevos materiales, Desarrollo rural, Desarrollo Urbano"
0000411884,RICHARD MARCELO IMBACHI CHAVEZ,Prototipo de Bicicleta electrica de doble tracción,Industrial,True,,,Colombia,2019,e-bike,No Aplica,No Aplica
