idcvlac,nombre,fecha
0000002712,"Becario V Convocatoria de COLCIENCIAS,Ministerio de Ciencia, Tecnología e Innovación",1996
0000002712,"Reconocimiento por la Fundación del Colegio de Promoción Social de Juventudes de Cristo Obrero en ipiales (Nariño),GOBERNACION DEL DEPARTAMENTO DE NARIÑO",1991
0000002712,"Tesis de Magister Meritoria,UNIVERSIDAD DEL VALLE",1992
0000002712,"Tesis de Doctorado Laureada,UNIVERSIDAD DEL VALLE",2000
0000002712,"Tesis de Pregrado Meritoria,UNIVERSIDAD DEL CAUCA",2015
0000002712,"Tesis de Pregrado Laureada,UNIVERSIDAD DEL CAUCA",2014
0000002712,"Tesis de pregrado meritoria ,UNIVERSIDAD DEL CAUCA",2020
0000916480,"Mejor Estudiante de la Facultad de Ciencias Exactas Naturales y de la Educación,UNIVERSIDAD DEL CAUCA",2004
0000916480,"Mejor Estudiante de la Facultad de Ciencias Exactas Naturales y de la Educación,UNIVERSIDAD DEL CAUCA",2006
0000916480,"Becaria del Programa de Becas de Verano del Laboratorio Nacional de Luz Sincrotron, Campinas, SP, Brasil,Laboratorio Nacional de Luz Sincrotron, Campinas, SP, Brasil",2006
0000916480,"Medalla ""Sergio Arboleda"",UNIVERSIDAD DEL CAUCA",2008
0000916480,"Beca JAE (Junta de amplación de estudios) para la realización de doctorado,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS CSIC",2008
0000916480,"Premio al mejor póster,ASOCIACION DE USUARIOS DE SINCROTRON DE ESPAÑA",2011
0000773735,"Matrícula de honor,UNIVERSIDAD DEL CAUCA",2002
0000975877,"Matricula de honor,UNIVERSIDAD DEL CAUCA",2006
0000975877,"Tesis Laureada,UNIVERSIDAD DEL CAUCA",2008
0000975877,"Mencion Honorifica,UNIVERSIDAD DEL CAUCA",2011
0000419184,"Segundo Puesto - Quinta Olimpiada de Robótica GRIAL,UNIVERSIDAD PONTIFICIA BOLIVARIANA",2003
0000419184,"Tercer Puesto en la Primera Olimpiada de Robótica ATI,UNIVERSIDAD DEL CAUCA",2003
0000419184,"Primer Puesto en la Primera Olimpiada Nacional de Robótica con el robot autónomo Escorpio. ECIBOT,ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO",2004
0000419184,"Segundo Puesto Primera Olimpiada Nacional de Robótica con el robot autónomo Tarcobot. ECIBOT,ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO",2004
0000419184,"Primer puesto en el concurso de Robotica movil ROBORODENTIA con el robot SCORPIO,Polytechnic State University California",2005
0000419184,"Tercer puesto  en la VIII Olimpiada de Robotica A+D  en la categoria sumo autonomo con el robot SENSHUKEN,UNIVERSIDAD PONTIFICIA BOLIVARIANA",2006
0000419184,"Primer puesto en el Torneo Ciudad Robotica en la categoria sumo autonomo 3Kg con el robot K3TENEBRIUS,Asociación Colombiana de Robótica",2007
0000251224,"Mejor Mural presentado en el XX Congreso Nacional de Física,UNIVERSIDAD DEL QUINDÍO",2003
0000251224,"Primer Puesto en la VI Escuela Nacional de Física de Materia Condensada,UNIVERSIDAD DE ANTIOQUIA",2004
0000251224,"Tesis de Doctorado Laureada,UNIVERSIDAD DEL VALLE",2006
0000251224,"Beca Colciencias,Ministerio de Ciencia, Tecnología e Innovación",2003
0000251224,"Ganadora Tercer Lugar Trabajo de Investigación Presentado en el X ENO y Primera Conferencia Andina y del Caribe en Óptica y sus Aplicaciones,UNIVERSIDAD DEL VALLE",2006
0000251224,"Calificación Global Excelente 2008,PONTIFICIA UNIVERSIDAD JAVERIANA - PUJ - SEDE CALI",2009
0000251224,"Primero puesto X Premio nacional al Inventor Colombiano 2020 - Modalidad Investigación,Organización Mundial de la Propiedad Intelectual OMPI",2021
0000168829,"Mención Honorifica,UNIVERSIDAD DEL CAUCA",2016
0001516273,"Tesis Laureada,UNIVERSIDAD DEL CAUCA",2014
0001516273,"Micrografía Ganadora en el Concurso Internacional de Micrografía científica,Revista Nano Ciencia y Tecnología",2014
0001542327,"Exoneración Matricula Maestría por Buen rendimiento,UNIVERSIDAD DEL CAUCA",2014
0001542327,"Exoneración Matricula Maestría por Buen rendimiento,UNIVERSIDAD DEL CAUCA",2015
0001542327,"Exoneración Matricula Maestría por Buen rendimiento,UNIVERSIDAD DEL CAUCA",2015
0001476153,"Tesis Laureada-Estudio de fundentes alternativos para la elaboración de gres porcelánico,UNIVERSIDAD DEL VALLE",2013
0001476153,"Estimulo Académico,2013,UNIVERSIDAD DEL VALLE",2013
0001016520,"Matricula de Honor,UNIVERSIDAD DEL CAUCA",2004
0001016520,"Matricula de Honor,UNIVERSIDAD DEL CAUCA",2006
0000378631,"Mención Honorífica,UNIVERSIDAD DEL CAUCA",2003
0000378631,"Felicitación,UNIVERSIDAD DEL CAUCA",2020
0000036919,"Beca de Colciencias,Ministerio de Ciencia, Tecnología e Innovación",1995
0000036919,"Tesis Meritoria,UNIVERSIDAD DEL VALLE",2006
0001494646,"LACCIR Short Stays Program Awards 2010,The Latin American and Caribbean Collaborative ICT Research,Pontificia Universidad De Chile",2010
0001494646,"Ganador Beca 02A - 2015 Doctorados Nacionales,Red de formación de talento humano para la innovación social y productiva en el departamento del Cauca - InovAcción Cauca,UNIVERSIDAD DEL CAUCA",2015
0001494646,"Mejor proyecto de doctorado - Simposio de maestría y doctorado  ,Sociedad Colombiana de Computación",2017
0001368173,"Coordinador de la Red Colombiana de Semilelros de Investigación Nodo Cauca,Fundacion Red Colombiana de Semilleros de Investigacion RedColsi -  Nodo Bucaramanga",2016
0001368173,"Delegado Institucional Mesa Sur pacífico de Investigación ,Asociación Colombiana De Instituciones De Educación Superior con formación Técnica Profesional, Tecnológica o Universitaria",2020
0001535173,"GANADORES DEL CONCURSO A CIENCIA CIERTA POR EL PROYECTO ""SISTEMA DE INFORMACIÓN PARA EL ACUEDUCTO SAN ROQUE"",Ministerio de Ciencia, Tecnología e Innovación",2013
0001535173,"Egresado Destacado 2016- Programa Ingeniería de Sistemas ,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",2016
0000074802,"PLACA Y CERTIFICACION POR OCUPAR EL PRIMER PUESTO DURANTE LA PONENCIA NACIONAL E INTERNACIONAL, SOBRE EL TRABAJO: SITIO WEB Y ACTUALIZACION SISTEMA DE INFORMACION PARA LA APICOLA EL VENTANAL DE TUNIA-PIENDAMO-CAUCA-COLOMBIA,ESCUELA DE POLICÍA SIMÓN BOLÍVAR DE TULUÁ",2016
0000894796,"Premio nacional  mejor investigación biología vegetal 52 congreso ACCB,Asociación Colombiana De Ciencias Biológicas - A.C.C.B",2017
0000894796,"Distincion Unicomfacauca egresado destacado en investigaciones 2017,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",2017
0000894796,"Distincion Docente Investigador Unicomfacauca,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",2017
0001361780,"Edición Especial,Redie",2012
0001361780,"OEA un estudio comparativo del aprendizaje de los estudiantes de  programa de ingenierias de sistemas utilizando ambientes virtuales Blearning con el modelo pedagógico traficional ,UNIVERSIDAD SANTIAGO DE CALI",2013
0001361780,"Jornada de fortalecimiento de las competencias de los pares academicos de la educación superior,Ministerio De Educación Nacional - Mineducación",2013
0001361780,"Curso de actualización en la docencia ,UNIVERSIDAD SANTIAGO DE CALI",2013
0001361780,"Cualificación en competencias clave para el ejercicio docente en Tic,UNIVERSIDAD SANTIAGO DE CALI",2013
0001361780,"Realización y Gestión de la Especialización en Tecnologías de la Información y la Comunicación en Educacion,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",2015
0001361780,"REDACCIÓN Y ESTRUCTURACIÓN DEL DOCUMENTO DE LA ESPECIALIZACIÓN EN EDUMATICA,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA",2014
0001361780,"Expositora del Proyecto Parque Ecotematico FUP, en la Sexta semana Social FUP 2012,FUNDACION UNIVERSITARIA DE POPAYAN",2012
0001361780,"Estructuración de Libro Metricas de Aprendizaje en Seguridad Informatica,Universidad Mayor",2018
0001361780,"Investigador Junior - Colciencias,FUNDACION UNIVERSITARIA DE POPAYAN",2018
0001361780,"Par Evaluador de Proyectos de Investigación - Universidad Tecnologica de Pereira,UNIVERSIDAD TECNOLÓGICA DE PEREIRA",2019
0001361780,"La Universidad de Guadalajara a traves del Centro Universitario del Norte, hace constar la realizacion del diseño del Plan Curricular, Diseño Instruccional, Desarrollo Tecnologico, haciendo uso de la plataforma de aprendizaje Moodle y la Implementacion de,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",2020
0001361780,"La Universidad de Guadalajara a traves del Centro Universitario del Norte, hace constar el desarrollo del Modulo I: ""Entornos virtuales de Enseñanza (EVEA), del Diplomado en innovacion de procesos de Gestión Educativa por medio del Uso de TIC, establecido,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",2020
0001361780,"Desempeño y compromiso, contribuyendo al cumplimiento oportuno y eficaz de los objetivos institucionales, demostrando liderazgo y capacidad de ejecución.,ESCUELA MILITAR DE AVIACIÓN MARCO FIDEL SUAREZ EMAVI",2021
0000333816,"Mejor Docente,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",2014
0001674493,"Certificado de Reconocimiento ,Universidad Nacional Pedro Ruiz Gallo",2016
0001674493,"Egresado destacado,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",2019
0001462299,"Premio Planeta azul 2017,Banco de Occidente",2017
0001353314,"Resolución por 4° Puesto en la 3° Maratón de Desarrollo de Aplicaciones Móviles Comcel, Nokia  ,UNIVERSIDAD DEL CAUCA",2006
0001353314,"Resolución 2° Puesto en la Maratón de Desarrollo de Aplicaciones Móviles Comcel, Nokia ,UNIVERSIDAD DEL CAUCA",2007
0001353314,"Nominación a Mejor Artículo en Congreso Internacional CLIHC 2011: ""Diseñando Interfaces Gráficas Usables de Aplicaciones en Entornos de TDi""",2011
0001353314,"Mención de Honor proyecto de grado,Institución Universitaria Colegio Mayor del Cauca",2016
0001387326,"Por su desempeño destacado en la investigación y desarrollo,PROYECTAMOS: CONSULTORÍAS Y SERVICIOS INTEGRALES SAS",2021
0001365599,"Matricula de Honor,UNIVERSIDAD DEL CAUCA",2003
0001365599,"Media Matricula de Honor,UNIVERSIDAD DEL CAUCA",2004
