idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,plataforma,ambiente,palabras,areas,sectores
0000773735,"ANDREA JOVANNA ORTEGA RODRIGUEZ, LEIDY PAOLA DORADO MUNOZ",Monitoreo de Señales Eléctricas Generadas en la Actividad Cerebral,Computacional,False,,,Colombia,2005,Windows,LabView,No Aplica,"Ingeniería y Tecnología;Ingeniería Médica;Ingeniería Médica, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",Desarrollo de programas (software) y prestación de servicios en informática
0000419184,CESAR AUGUSTO QUINAYAS BURGOS,EDUBOT,Otra,False,EDUBOT,,Colombia,2020,,,No Aplica,No Aplica,No Aplica
0000000319,JHON JAIRO REALPE,dfdafdf,Computacional,False,,,No Aplica,2020,,,No Aplica,No Aplica,No Aplica
0000000319,JHON JAIRO REALPE,Analisis 1,Multimedia,False,,,Colombia,2020,Analisis 1,Analisis 1,No Aplica,No Aplica,No Aplica
0000773646,"RONALD HURTADO VELASCO, JESUS DAVID GONZALEZ LLORENTE",Visualizador de campo magnético terrestre,Computacional,False,CP 3555,IN.BG.086.17.003,Colombia,2017,,,No Aplica,"Ciencias Naturales;Otras Ciencias Naturales;Otras Ciencias Naturales, Ingeniería y Tecnología;Ingeniería Mecánica;Ingeniería Aeroespacial, Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Geociencias (Multidisciplinario), Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Meteorología y Ciencias Atmosféricas",No Aplica
0000773646,"RONALD HURTADO VELASCO, JESUS DAVID GONZALEZ LLORENTE",Simulador de control manual de orientación de un CubeSat por ruedas de reacción,Computacional,False,Simulador de control manual de orientación de un CubeSat por ruedas de reacción,0208-2013,Colombia,2016,,,No Aplica,"Ingeniería y Tecnología;Ingeniería Mecánica;Ingeniería Aeroespacial, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Automatización y Sistemas de Control, Ciencias Naturales;Otras Ciencias Naturales;Otras Ciencias Naturales",No Aplica
0000378631,"WILLFRAND PEREZ URBANO, LUIS FELIPE IDROBO",Porous Silicon,Computacional,False,,,Colombia,2003,Visual Basic 6.0,,Fuente de corriente;Silicio Poroso;Proceso Electroquímico;Comunicación serial,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica, Ingeniería y Tecnología;Ingeniería de los Materiales;Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales)",Desarrollo de programas (software) y prestación de servicios en informática
0001368173,"ALEX ARMANDO TORRES BERMUDEZ, PLATAFORMA DE GESTIÓN Y PROMOCIÓN DE LA INVESTIGACIÓN FORMATIVA EN UNICOMFACAUCA",ZONA NORTE,Computacional,False,,,Colombia,2017,"El software cuenta con un alto nivel de innovación permitiendo gestionar todo el proceso de investigación de la zona norte a partir de tres grandes ejes: Promoción de la Investigación Formativa, Formación en Investigación. y Actividades conjuntas de trabajo de Red. Permite gestionar estos ejes y está diseñada en base a esta propuesta de evaluación con un enfoque ABP (Aprendizaje Basado en Proyectos), como parte de la estrategia pedagógica aplicada dentro de los procesos y proyectos de aula desarrollados durante cada semestre académico en cada uno de los programas ofrecidos en la zona norte",,No Aplica,No Aplica,No Aplica
0001535173,ANDERSON PECHENE TUNUBALA,SISTEMA DE INFORMACIÓN PARA EL ACUEDUCTO SAN ROQUE V2,Computacional,False,SISTEMA DE INFORMACIÓN PARA EL ACUEDUCTO SAN ROQUE V2,,Colombia,2015,,,No Aplica,No Aplica,No Aplica
0001606175,ANYELA MARCELA RIVERA MERA,Gestión Documental de Archivos,Computacional,False,,002,Colombia,2014,,,No Aplica,No Aplica,No Aplica
0000894796,"BIBIANA PATRICIA MONTOYA BONILLA, JULIO EDUARDO MEJIA MANZANO, DAVID ARMANDO REVELO LUNA",SISTEMA DE MONITOREO REMOTO PARA CULTIVOS EN INVERNADERO,Computacional,False,,CONVENIO 300 DE 2016,Colombia,2019,,,No Aplica,"Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Agricultura","Productos y servicios de recreación,culturales, artísticos y deportivos, Agricultura, pecuaria, silvicultura, explotación forestal"
0000894796,"BIBIANA PATRICIA MONTOYA BONILLA, FRANCISCO JAVIER OBANDO VIDAL, JULIO EDUARDO MEJIA MANZANO",Sistema de informacion de procesamiento de imagenes y visualizacion de NDVI georreferenciado,Computacional,False,,CONVENIO 300 DE 2016,Colombia,2019,,Mathlab,No Aplica,"Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Agricultura","Agricultura, pecuaria, silvicultura, explotación forestal"
0001361780,CLARA LUCIA BURBANO GONZALEZ,LectoEduca,Computacional,False,LectoEduca,,Colombia,2019,Se utiliza ambientes de aprendizaje virtual como proceso de mediación pedagógica con estudiantes,El ambiente de aprendizaje se trabajo la plataforma moodle para organizar el objeto de aprendizaje y los recursos de apoyo,Aprendizaje Colaborativo;B-Learning;Espacios Virtuales de Enseñanza y Aprendizaje;Juegos Serios;La técnica ;Mediaticas Educativas,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Educación
0001361780,"JULIO EDUARDO MEJIA MANZANO, CLARA LUCIA BURBANO GONZALEZ",JUEGO LÚDICO PARA LA TEMÁTICA ¿ROBOTS APLICADOS A LA LOGÍSTICA¿ - VERSION 2.0,Computacional,True,,,Colombia,2019,PHP,Lenguaje C,Aprendizaje Colaborativo;B-Learning;Espacios Virtuales de Enseñanza y Aprendizaje;Juegos Serios;Mediaticas Educativas,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Educación
0001361780,CLARA LUCIA BURBANO GONZALEZ,Piensa Seguro APP,Computacional,False,,,Colombia,2021,Se desarrollo en un ambiente virtual de aprendizaje (AVA),Plataforma educativa Virtual,Aprendizaje Colaborativo;B-Learning;Espacios Virtuales de Enseñanza y Aprendizaje;Mediaticas Educativas;Seguridad;Seguridad Informatica;Sistema software,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Educación
0001361780,CLARA LUCIA BURBANO GONZALEZ,Juego Ludico,Computacional,False,Juego Ludico,,Colombia,2019,LMS - Moodle,Modalidad B-Learning,Aprendizaje Colaborativo;B-Learning;Espacios Virtuales de Enseñanza y Aprendizaje,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,No Aplica
