idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,doi,autores
00000000002156,True,Publicado en revista especializada,Sedimentability of Flocculent Particles in Highly Colored Low Turbidity Water Coagulated with FeCl3 + PAC Versus PAC,No Aplica,TecnoLógicas,2256-5337,2021,24,51,1789 - 1800,10.22430/22565337.1789,LADY SUSANA MONTENEGRO ARBOLEDA
00000000004257,True,Revisión (Survey),Ateroesclerosis incursionando en el campo de un nuevo método diagnóstico,Colombia,Logos Ciencia & Tecnología,2422-4200,2018,11,1,197 - 200,,JHAN SEBASTIAN SAAVEDRA TORRES
00000000004257,True,Corto (Resumen),Cancer and mitochondrial function,Colombia,Revista De La Facultad De Medicina,0120-0011,2017,66,1,83 - 86,10.15446/revfacmed.v66n1.59898,"MARIA VIRGINIA PINZON FERNANDEZ, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON, WILMER JAIR DIAZ CORDOBA"
00000000004257,True,Publicado en revista especializada,Thyroid Dysfuntion and Heart Failure: mechanisms and associations,Colombia,Current Heart Failure Reports,1546-9530,2017,14,1,48 - 58,10.1007/s11897-017-0312-5,HERNANDO VARGAS URICOCHEA
00000000004257,True,Publicado en revista especializada,Prevalencia de Anemia en pacientes hospitalizados en el hospital universitario San José de Popayán,Colombia,Repertorio de Medicina y Cirugia,0121-7372,2017,26,,1 - 5,dx.doi.org/10.1016/j.reper.2017.02.003,"CAMILO ALFONSO VALLEJO CASTILLO, FRANKLIN JAIRO CORREA HENRIQUEZ"
00000000004257,True,Publicado en revista especializada,Cryptococcal Cerebellitis in No-VIH Patient,Colombia,Colombia Medica,1657-9534,2017,48,2,94 - 97,,TOMAS OMAR ZAMORA BASTIDAS
00000000004257,True,Publicado en revista especializada,Concordance between the TIRADS ultrasound criteria and the BETHESDA cytology criteria on the nontoxic thyroid nodule,Polonia,Thyroid Research,1756-6614,2017,10,1,1 - 9,10.1186/s13044-017-0037-2,"HERNANDO VARGAS URICOCHEA, IVONNE ALEJANDRA MEZA CABRERA, JORGE AUGUSTO HERRERA CHAPARRO"
00000000004257,True,Publicado en revista especializada,Riesgo para infecciones de transmisión sexual o VIH en adolescentes,Colombia,Revista De La Facultad Ciencias De La Salud,0124-308X,2017,19,1,20 - 26,,"MARIA VIRGINIA PINZON FERNANDEZ, PAOLA VERNAZA PINZON"
00000000004257,True,Revisión (Survey),Riesgo cardiovascular en artritis reumatoidea: revisión narrativa,Colombia,Revista De La Facultad Ciencias De La Salud,0124-308X,2017,19,,27 - 33,,NELSON ADOLFO LOPEZ GARZON
00000000004257,True,Publicado en revista especializada,Perfil bacteriológico de superficies y equipos en un servicio de Fisioterapia,España,Fisioterapia,0211-5638,2017,40,2,59 - 64,10.1016/j.ft.2017.06.001,LILIANA CALDAS ARIAS
00000000004257,True,Publicado en revista especializada,Riesgo Cardiovascular en Artritis Reumatoidea,Colombia,Revista De La Facultad Ciencias De La Salud,0124-308X,2017,19,01,27 - 33,2538-9971,NELSON ADOLFO LOPEZ GARZON
00000000004257,True,Publicado en revista especializada,"Diagnóstico retardado de mielopatía por HTLV-1, ¿Hay hallazgos Tempranos?",Colombia,Acta Neurológica Colombiana,0120-8748,2017,33,2,115 - 118,10.22379/24224022142,TOMAS OMAR ZAMORA BASTIDAS
00000000004257,True,Revisión (Survey),El rol de VEGF en la angiogénesis fisiológica y tumoral,Colombia,Revista Medicina,0120-5498,2017,39,3,190 - 209,,"JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON"
00000000004257,True,Publicado en revista especializada,Relación Neutófilos -linfocitos en bacteriemia en pacientes adultos que ingresan al servicio de urgencias,Colombia,Repertorio de Medicina y Cirugia,0121-7372,2017,27,,1 - 6,10.1016/j.reper.2017.08.003,CAMILO ALFONSO VALLEJO CASTILLO
00000000004257,True,Publicado en revista especializada,HÍGADO GRASO NO ALCOHÓLICO EN CONSULTA DE GASTROENTEROLOGÍA,Colombia,Repertorio de Medicina y Cirugia,0121-7372,2017,26,4,225 - 230,10.1016/j.reper.2017.10.005,FREDY HERNAN CALAMBAS
00000000004257,True,Caso clínico,"Carcinomatosis meníngea, un desafío diagnóstico. Reporte de caso",Colombia,Revista De La Facultad Ciencias De La Salud,0124-308X,2018,20,1,46 - 49,,"TOMAS OMAR ZAMORA BASTIDAS, HAROLD JOFRE BOLANOS BRAVO, MANUEL FELIPE CACERES ACOSTA, STEPHANY ARIAS LINTHON"
00000000004257,True,Publicado en revista especializada,HIPERPLASIA LINFOIDE NODULAR,Colombia,Acta Médica Colombiana,0120-2448,2018,43,1,22 - 25,,FREDY HERNAN CALAMBAS
00000000004257,True,Publicado en revista especializada,Efficacy and safetyof insuline glargine 300 UI/ml versus 100 UI/mlin diabetes mellitus: a comprehensive review of the literature,Estados Unidos,Journal of Diabetes Research,2314-6753,2018,2018,,1 - 28,10.1155/2018/2052101,HERNANDO VARGAS URICOCHEA
00000000004257,True,Publicado en revista especializada,Frecuencia de ANCA positivo en una población con síntomas clínicos sugestivos de enfermedad autoinmune y la interferencia de ANA en su interpretación,Colombia,Reumatologia Clinica,1699-258X,2018,1284,,1 - 7,10.1016/j.reuma.2018.09.007,"ANA ISABEL OSPINA CAICEDO, MARIA CONSUELO ROMERO SANCHEZ, MARIO FERNANDO BENAVIDES SOLARTE, LEIDY VIVIANA PARRA IZQUIERDO, LEIDY LORENA CHILA MORENO, AMANDA VILLA ALZATE, JOSE IGNACIO ANGARITA CESPEDES, WILSON ARMANDO BAUTISTA MOLANO, VERONICA SOFIA ROMERO ALVAREZ, JUAN MANUEL BELLO GUALTERO"
00000000004257,True,Publicado en revista especializada,GLIOSARCOMA IN A YOUNG PATIENT WITH NEUROFIBROMATOSIS TYPE 1,Colombia,Case Reports,2462-8522,2018,4,2,91 - 98,10.15446/cr.v4n2.68234,"TOMAS OMAR ZAMORA BASTIDAS, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON, MARIA VIRGINIA PINZON FERNANDEZ"
00000000004257,True,Caso clínico,Post-polio syndrome report of two cases,Colombia,Case Reports,2462-8522,2018,4,2,145 - 154,10.15446/cr.v4n2.68235,"TOMAS OMAR ZAMORA BASTIDAS, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON, MARIA VIRGINIA PINZON FERNANDEZ"
00000000004257,True,Revisión (Survey),Cancer and mitochondrial function,Colombia,Revista De La Facultad De Medicina,0120-0011,2018,66,1,83 - 86,,"LUISA FERNANDA ZUNIGA CERON, JHAN SEBASTIAN SAAVEDRA TORRES"
00000000004257,True,Caso clínico,Gastroschisis. Case report and management in primary care services,Colombia,Case Reports,2462-8522,2018,4,1,10 - 18,,"LUISA FERNANDA ZUNIGA CERON, JHAN SEBASTIAN SAAVEDRA TORRES"
00000000004257,True,Publicado en revista especializada,Derrame pleural asociado al uso de ácido Valproico,Colombia,Acta Médica Colombiana,0120-2448,2017,42,1,68 - 71,,"TOMAS OMAR ZAMORA BASTIDAS, RICHARD FERNANDO IMBACHI IMBACHI"
00000000004257,True,Revisión (Survey),Cancer y Mitocondria: un aspecto central para el desarrollo y crecimiento tumoral,Colombia,Revista Medicina,0120-5498,2017,39,1,17 - 35,,"CAROLINA SALGUERO BERMUDEZ, ANDRES FELIPE OLAYA CASTANEDA, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON"
00000000004257,True,Corto (Resumen),¿Ser o no ser? La aterosclerosis un proceso infeccioso,Bulgaria,Morfolia,2011-9860,2017,9,3,69 - 74,,"PAOLA ANDREA YASNO NAVIA, JHAN SEBASTIAN SAAVEDRA TORRES, MARIA VIRGINIA PINZON FERNANDEZ, NELSON ADOLFO LOPEZ GARZON, CAROLINA SALGUERO BERMUDEZ, LUISA FERNANDA ZUNIGA CERON, WILMER JAIR DIAZ CORDOBA"
00000000004257,True,Caso clínico,"Neurocysticercosis, unusual manifestations",Colombia,Revista De La Facultad De Medicina,0120-0011,2016,64,3,561 - 564,10.15446/revfacmed.v64n3.53471,JHAN SEBASTIAN SAAVEDRA TORRES
00000000004257,True,Corto (Resumen),Factors Associated with HIV testing in two cities in Colombia,Canadá,Canadian Journal of Infectious Diseases and Medical Microbiology,1918-1493,2013,24,A,100B - 100B,,MARIA VIRGINIA PINZON FERNANDEZ
00000000004257,True,Publicado en revista especializada,"Factores sociodemográficos, conocimientos y comportamientos relacionados con sífilis y VIH en población desplazada de Colombia",Colombia,Revista Cubana de Salud Publica,0864-3466,2013,39,3,52 - 63,1561-3127,"MARIA VIRGINIA PINZON FERNANDEZ, JAIME GALINDO QUINTERO, HECTOR FABIO MUESES MARIN"
00000000004257,True,Publicado en revista especializada,Seroconversión postvacunal contra el antígeno de superficie del virus de hepatitis B en estudiantes de enfermería,Colombia,Revista De La Facultad Ciencias De La Salud,0124-308X,2013,15,,12 - 16,,LILIANA CALDAS ARIAS
00000000004257,True,Publicado en revista especializada,HIV testing and Counselling in Colombia: Local Experience on Two Different Recruitment Strategies to Better Reach Low Socioeconomic Status Communities,Colombia,AIDS Research and Treatment,2090-1259,2014,2014,,1 - 7,,"MARIA VIRGINIA PINZON FERNANDEZ, JAIME GALINDO, BEATRIZ ALVARADO LLANO, JORGE MARTINEZ CAJAS, HECTOR FABIO MUESES MARIN"
00000000004257,True,Revisión (Survey),BACTERIAS-BIOFILMS Y RESISTENCIA ANTIMICROBIANA,Colombia,Revista De La Facultad Ciencias De La Salud,0124-308X,2015,17,1,20 - 27,,LILIANA CALDAS ARIAS
00000000004257,True,Publicado en revista especializada,"Estado Nutricional del Yodo. Implicación de la posibilidad de anticuerpos antitiroideos y posible autoinmunidad tiroidea en una población escolar declarada ""libre de desordenes por deficiencia de Yodo""",Colombia,Revista Medicina,0120-5498,2015,37,2,122 - 139,,"HERNANDO VARGAS URICOCHEA, BEATRIZ EUGENIA BASTIDAS SANCHEZ"
00000000004257,True,Revisión (Survey),Epidemiología del cancer de tiroides,Colombia,Revista Medicina,0120-5498,2015,37,2,140 - 163,,"HERNANDO VARGAS URICOCHEA, IVONNE ALEJANDRA MEZA CABRERA, VALENTINA AGREDO DELGADO"
00000000004257,True,Publicado en revista especializada,Cáncer de tiroides e indicadores de Tiroidectomía. Experiencia de 10 años en el departamento del Cauca,Colombia,Revista Medicina,0120-5498,2015,37,2,109 - 121,,"HERNANDO VARGAS URICOCHEA, VALENTINA AGREDO DELGADO"
00000000004257,True,Publicado en revista especializada,An Epidemiologic analysis of diabetes in Colombia,Colombia,Annals of Global Health,2214-9996,2015,81,6,742 - 753,,HERNANDO VARGAS URICOCHEA
00000000004257,True,Publicado en revista especializada,Sintomatologia asociada a neurocisticercosis en personas del area urbana y periurbana del municipios de Coyaima del departamento del Tolima y posibles variables asociadas,Colombia,Revista Med,1909-7700,2016,24,2,8 - 22,10.18359/rmed.2626,"TOMAS OMAR ZAMORA BASTIDAS, LUIS REINEL VASQUEZ A"
00000000004257,True,Publicado en revista especializada,Infección por el virus linfotrópico humano de células T tipo 1 (HTLV-1) y paraparesia espástica,Colombia,Iatreia,2011-7965,2016,30,2,146 - 159,,"TOMAS OMAR ZAMORA BASTIDAS, ROSA AMALIA DUENAS CUELLAR"
00000000004257,True,Publicado en revista especializada,"4 Epidemiología de la cisticercosis humana en pacientes de consulta neurológica en Popayán, Cauca. Revista Medicina de la Academia Nacional de Medicina de Colombia",Colombia,Revista Medicina,0120-5498,2016,38,4,305 - 315,,"TOMAS OMAR ZAMORA BASTIDAS, LUIS REINEL VASQUEZ A, JULIO C GIRALDO, VICTOR HUGO VIVAS VELASCO"
00000000004257,True,Revisión (Survey),The Role of Platelet and its Interaction with Aspirin,Colombia,Revista De La Facultad De Medicina,0120-0011,2016,64,2,351 - 363,10.15446/revfacmed.v64n2.53789,LUISA FERNANDA ZUNIGA CERON
00000000004257,True,Corto (Resumen),El sedentarismo es un gran factor de riesgo para la aparición de enfermedades crónicas no transmisibles,Bulgaria,Morfolia,2011-9860,2016,8,2,38 - 43,,PAOLA ANDREA YASNO NAVIA
00000000004257,True,Corto (Resumen),La abrumadora evidencia en la patología cardiovascular,Bulgaria,Morfolia,2011-9860,2016,8,2,25 - 37,,"PAOLA ANDREA YASNO NAVIA, LUISA FERNANDA ZUNIGA CERON, ANGELA PATRICIA MEDINA ORTEGA, WILMER JAIR DIAZ CORDOBA, DAVID LOPEZ VALENCIA, JHAN SEBASTIAN SAAVEDRA TORRES"
00000000004257,True,Publicado en revista especializada,"Chemo-enzymatic synthesis of site-specific isotopically labeled nucleotides for use in NMR resonance assignment, dynamics and structural characterizations",Estados Unidos,Nucleic Acids Research,1362-4962,2016,44,6,1 - 10,10.1093/nar/gkv1333,CAROLINA SALGUERO BERMUDEZ
00000000004257,True,Caso clínico,Compromiso de ganglios basales en Dengue Hemorrágico,Colombia,Revista Medicina,0120-5498,2016,38,3,264 - 272,,"TOMAS OMAR ZAMORA BASTIDAS, CAMILO CORTES MORA"
00000000004257,True,Revisión (Survey),Los probióticos: microorganismos vivos que previenen enfermedades en adultos y niños,Colombia,Revista Medicina,0120-5498,2016,38,3,247 - 263,,"CAROLINA SALGUERO BERMUDEZ, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON, NANCY DORA MARIN AGUDELO"
00000000004257,True,Caso clínico,Posprandial Glucagon Reductions Correlate to Reductions in Postprandial Glucose and Glycated Hemoglobin with Lixisenatide Treatment in Type 2 Diabetes Mellitus : A pos Hoc Analysis,Colombia,Diabetes Therapy,1869-6961,2016,7,3,583 - 590,10.1007/s13300-016-0179-6,HERNANDO VARGAS URICOCHEA
00000000004257,True,Publicado en revista especializada,Clasificación practica de la enfermedad renal crónica 2016: una propuesta,Colombia,Repertorio de Medicina y Cirugia,0121-7372,2016,25,3,1 - 5,10.1016/j.reper.2016.10.003,"CAMILO ALFONSO VALLEJO CASTILLO, JAIME ARTURO JOJOA JOJOA"
00000000004257,True,Caso clínico,Panhipopituitarismo secundario a metástasis del sistema nervioso central por un adenocarcinoma broncogénico,Colombia,Acta Médica Colombiana,0120-2448,2018,43,2,115 - 118,,"JOVANI OSORNO SERNA, MANUEL FELIPE CACERES ACOSTA, JUAN DAVID CACERES GONZALEZ, JAIME ANDRES CALLE RAMIREZ, MIGUEL IGNACIO ROLDAN PEREZ, JUAN PAULO SANDOVAL MESA"
00000000004257,True,Publicado en revista especializada,HIV testing and Counselling in Colombia: How to reach most at risk population?,Canadá,Canadian Journal of Infectious Diseases and Medical Microbiology,1918-1493,2013,24,A,100A - 100B,,"MARIA VIRGINIA PINZON FERNANDEZ, JAIME GALINDO QUINTERO"
00000000004257,True,Publicado en revista especializada,"Historia del bocio endémico, desde Sheng Nung hasta los programas de yodación de la sal en Latinoamérica",Colombia,Revista Ces Medicina,2215-9177,2018,32,2,167 - 177,10.21615/ cesmedicina.32.2.10,"MARIA VIRGINIA PINZON FERNANDEZ, HERNANDO VARGAS URICOCHEA"
00000000004257,True,Revisión (Survey),Ateroesclerosis incursionando en el campo de un nuevo método diagnóstico,Colombia,Logos Ciencia & Tecnología,2145-549X,2019,11,1,197 - 200,10.22335/rlct.v11i1.714,"JHAN SEBASTIAN SAAVEDRA TORRES, MARIA VIRGINIA PINZON FERNANDEZ, NELSON ADOLFO LOPEZ GARZON, LUISA FERNANDA ZUNIGA CERON"
00000000004257,True,Revisión (Survey),Mecanismos de patogenicidad y respuesta inmune de la infección por Chlamydia trachomatis y su relación con cancer cervical,Colombia,Revista Ces Medicina,2215-9177,2019,33,1,51 - 59,10.21615/cesmedicina.32.3.6,"MARIA VIRGINIA PINZON FERNANDEZ, LILIANA CALDAS ARIAS, DIANA SOFIA IBARRA GIMBUEL, CRISTHIAN VALENCIA MESA"
00000000004257,True,Revisión (Survey),Metas de control de la presión arterial e impacto sobre desenlaces cardiovasculares en pacientes con diabetes mellitus tipo 2: un análisis crítico de la literatura,España,Clinica e Investigacion en Arteriosclerosis,0214-9168,2019,31,1,31 - 47,10.1016/j.arteri.2018.07.001,"HERNANDO VARGAS URICOCHEA, MANUEL FELIPE CACERES ACOSTA"
00000000004257,True,Revisión (Survey),Riesgos de ser un astronauta: héroes del espacio,Colombia,Revista Medicina,2389-8356,2019,41,1,47 - 62,,NELSON ADOLFO LOPEZ GARZON
00000000004257,True,Corto (Resumen),Endotoxins and the importance of procalcitonin,Colombia,Revista De La Facultad De Medicina,0120-0011,2019,67,1,169 - 170,,JHAN SEBASTIAN SAAVEDRA TORRES
00000000004257,True,Publicado en revista especializada,Manejo de drenaje percutáneo guiado por imágenes en un hospital de tercer nivel,Colombia,Revista Colombiana de Cirugia,2011-7582,2019,34,,29 - 36,,"CATALINA ISABEL QUILINDO GIRALDO, CARLOS MAXIMILIANO PRIARONE"
00000000004257,True,Revisión (Survey),mecanismos biológicos y moleculares de la remodelación y regeneración cardiaca en el infarto agudo del miocardio,Colombia,Revista Medicina,0120-5498,2019,41,2,1 - 26,,"MARIA VIRGINIA PINZON FERNANDEZ, LUISA FERNANDA ZUNIGA CERON, JHAN SEBASTIAN SAAVEDRA TORRES, NELSON ADOLFO LOPEZ GARZON"
00000000004257,True,Corto (Resumen),Carta al editor: El Desarrollo Del Cultivo De La Quinua,Colombia,Revista Medicina,2389-8356,2019,41,1,65 - 67,,JHAN SEBASTIAN SAAVEDRA TORRES
00000000004257,True,Publicado en revista especializada,Efficacy and safety on the second generation basal insulin analogs type 2 diabetes mellitus: a critical appraisal,Colombia,Diabetes and Metabolic Syndrome: Clinical Research and Reviews,1878-0334,2019,13,2019,2126 - 2141,10.1016/j.dsx.2019.05.001,HERNANDO VARGAS URICOCHEA
00000000004257,True,Revisión (Survey),"Síndrome de Brugada. Aspectos fisiopatológicos, clínicos y su asociación con enfermeddaes infecciosas",Colombia,Iatreia,0121-0793,2019,32,3,217 - 231,10.17533/udea.iatreia.19,NELSON ADOLFO LOPEZ GARZON
00000000004257,True,Publicado en revista especializada,"Síndrome de Brugada. Aspectos fisiopatológicos, clínicos y su asociación a enfermedades infecciosas",Colombia,Iatreia,0121-0793,2019,32,3,217 - 231,10.17533/udea.iatreia.19,NELSON ADOLFO LOPEZ GARZON
00000000004257,True,Publicado en revista especializada,"CONSENSO COLOMBIANO DE ATENCIÓN, DIAGNÓSTICO Y MANEJO DE LA INFECCIÓN POR SARS-COV-2/COVID 19 EN ESTABLECIMIENTOS DE ATENCIÓN DE LA SALUD. RECOMENDACIONES BASADAS EN CONSENSO DE EXPERTOS E INFORMADAS EN LA EVIDENCIA suplemento 1",Colombia,Infectio,0123-9392,2020,24,3,1 - 120,10.22354/in.v24i3.851,"CARLOS HUMBERTO SAAVEDRA TRUJILLO, HERNANDO VARGAS URICOCHEA"
00000000004257,True,Publicado en revista especializada,"Trobolísis endovenosa en ACV isquémico: experiencia en un hospital de Popayán, Cauca",Colombia,Acta Neurológica Colombiana,0120-8748,2020,36,1,11 - 17,10.22379/24224022272.,"CARLOS ERNESTO CABRERA VELASCO, TOMAS OMAR ZAMORA BASTIDAS, HERNANDO VARGAS URICOCHEA"
