idgruplac,verificado,tipo,capitulo,lugar,fecha,libro,isbn,volumen,paginas,editorial,autores
00000000001995,True,Capítulo de libro,Factores sociodemográficos y número de comorbilidades médicas asociadas al funcionamiento cognitivo en una muestra de adultos mayores de Cartagena,Colombia,2020,Abordaje del envejecimiento desde la neuropsicología cognitiva,978-958-5114-08-1,,61 - 82,Editorial Bonavanturiana,LINA MARIA LOPEZ ROA
00000000015873,True,Capítulo de libro,"Povos Indígenas e Ensino Superior: Bolívia, Colômbia e Equador",Brasil,2021,"Debates contemporâneos sobre a região andina: política, economia e sociedade",978-65-89284-04-8,,27 - 40,claec,"TIAGO FRANCO DE PAULA, ELIZABETH RUANO IBARRA"
00000000004672,True,Capítulo de libro,Popayán,Colombia,2018,Caficultura y desarrollo local caucano: una mirada a ocho municipios,978-958-732-336-8,,21 - 36,Universidad del Cauca,GABRIELA GOMEZ VALENCIA
00000000015873,True,Capítulo de libro,Ação política e acesso ao ensino superior brasileiro: narrativas de jovens indígenas,Argentina,2021,Desenvolvimento e desigualdades na América Latina: dilemas de longo curso.,978-65-86319-06-4,,187 - 212,Consejo Latinoamericano De Ciencias Sociales Clacso,"VICTORIA GAMA MIRANDA, ELIZABETH RUANO IBARRA"
00000000015873,True,Capítulo de libro,La minería y las garantías de los derechos fundamentales al agua y a la participación ciudadana en el Cauca,Colombia,2021,La Socioecología de la Complejidad. Nuevas visiones para la comprensión del espacio y el cambio de políticas en América Latina,978-958-5134-62-1,,95 - 113,Usc Universidad Santiago De Cali Editorial,"BARBARA GONZALEZ MEDINA, EILIN JULIET CERON CERON, INGRID VANESSA MATEUS MONTENEGRO"
00000000004672,True,Capítulo de libro,Economía social y solidaria: aproximaciones conceptuales,Colombia,2017,"Desarrollo rural territorial, economía campesina y caminos solidarios",978-958-732-281-1,,99 - 133,Editorial Universidad Del Cauca,YULIETH KARINA MERA PAZ
00000000004672,True,Capítulo de libro,"Economías campesinas, comercialización y organización social",Colombia,2017,"Desarrollo rural territorial, economía campesina y caminos solidarios",978-958-732-281-1,,73 - 96,Editorial Universidad Del Cauca,"YULIETH KARINA MERA PAZ, MARIA ISABEL SANCHEZ"
00000000004672,True,Capítulo de libro,"Territorio, economía campesina y cambio agrícola: elementos para un abordaje de las trasformaciones de la agricultura campesina",Colombia,2017,"Desarrollo rural territorial, economía campesina y caminos solidarios",978-958-732-281-1,,45 - 69,Editorial Universidad Del Cauca,DANIEL SNEYDER CAMPO ZAMBRANO
00000000000625,True,Capítulo de libro,EVALUACION DE ENSILADO DE AVENA CHIHUAHUA PARA VACAS EN PASTOREO EN UN SISTEMA DE PRODUCCIÓN DE LECHE EN PEQUEÑA ESCALA EN EL ALTIPLANO CENTRAL DE MÉXICO,España,2017,Renaturalización vs. Ruralización (Rewilding vs. Re-farming),978-84-16989-59-1,,222 - 227,Sociedad Española Para el Estudio de los Pastos,VICTOR ANDRES BURBANO MUNOZ
00000000004407,True,Capítulo de libro,Entre la redistribución y el reconocimiento:algunos efectos de la política de acción afirmativa en el departamento del cauca,Colombia,2014,"Diversidad, Desigualdades Sociales:El Decir De La Filosofía",978-607-96457-0-0,,35 - 55,Samava,RAUL HERNANDO CORTES LANDAZURY
00000000004672,True,Capítulo de libro,"Ciudadanía, desarrollo y universidad: Una mirada desde la economía política",Colombia,2016,"Universidad, derechos, ciudadanías y pueblos indígenas",978-958-732-179-1,,61 - 76,Editorial Universidad Del Cauca,CARLOS CORREDOR JIMENEZ
00000000004672,True,Capítulo de libro,"Territorio, lugar y ecología política: voces campesinas en el Cauca",Colombia,2013,Estudios De Suelo Interculturalidad Y Sujetos En Resistencia,978-958-46-2534-2-,,81 - 101,Sentipensar Editores,CARLOS CORREDOR JIMENEZ
00000000004407,True,Capítulo de libro,"geografía , institucionalización y gobernanza. Un caso de Ssostenibilidad Hidrica al suroccidente de Colombia",Colombia,2019,Los desafíos de España y Colombia en la gobernanza hídrica del siglo XXI,9788413087153,,193 - 219,"Thomson Reuters Reuters, Aranzadi",RAUL HERNANDO CORTES LANDAZURY
00000000004407,True,Capítulo de libro,"Colombia: ¿hidrogeneración, conflicto o cohesión? Un análisis de grafos a una estrategia de crecimiento económico",México,2020,"SEGURIDAD HÍDRICA Y ALIMENTARIA Problemas globales, acciones locales",978-607-98868-2-0,,81 - 102,Universidad Autónoma Chapingo,"LINA MARCELA GONZALEZ JURADO, RAUL HERNANDO CORTES LANDAZURY, YANETH ELISA ESCALANTE ESCALANTE"
00000000002191,True,Capítulo de libro,EVALUACIÓN DE ARRASTRE DE SUELO Y NUTRIENTES POR ESCORRENTÍA SUPERFICIAL EN DOS AGROECOSISTEMAS DENTRO DE UNA ZONA DE AMORTIGUACIÓN PARAMUNA,Colombia,2009,"Fragmentación y coberturas vegetales de ecosistemas andinos,departamento del cauca",978-958-732-009-1,,207 - 223,Sello Editorial Universidad del cauca,"FERNANDO ANDRES MUNOZ GOMEZ, EDIER HUMBERTO PEREZ, APOLINAR FIGUEROA CASAS"
00000000002191,True,Capítulo de libro,EVALUACIÓN DE LA SUSCEPTIBILIDAD A LA EROSIÓN EN DOS AGROECOSISTEMAS ALTOANDINOS EN LA CUENCA DEL RIO PALACÉ,Colombia,2009,"Fragmentación y coberturas vegetales de ecosistemas andinos,departamento del cauca",978-958-732-009-1,,285 - 299,Sello Editorial Universidad del cauca,"FERNANDO ANDRES MUNOZ GOMEZ, EDIER HUMBERTO PEREZ, APOLINAR FIGUEROA"
00000000007601,True,Capítulo de libro,PENSAR LA CIUDADANIA UNIVERSAL DESDE LA CONDICION HUMANA Y LA ACTIVA PARTICIPACION DEMOCRATICA,Colombia,2017,INVESTIGACION Y PEDAGOGIA,978-958-8819-52-5,,116 - 127,Ediciones Universidad Industrial De Santander,"DENIX ALBERTO RODRIGUEZ TORRES, GILBERTO BONILLA SANCHEZ, ROBERTO CARDONA OSPINA"
00000000015873,True,Capítulo de libro,Iniciativas de memorias desde los territorios,Colombia,2021,Construcción de paz y desarrollo sostenible: una mirada desde los derechos humanos y el derecho internacional de los conflictos armados,978-958-53101-6-2,,175 - 192,"Escuela Superior de Guerra ¿General Rafael Reyes Prieto""",BARBARA GONZALEZ MEDINA
00000000015873,True,Capítulo de libro,Infancias y educación: la cátedra de emprendimiento en colegios de Popayán,Colombia,2020,La construcción de la Paz,9789588614434,,296 - 320,Uniautónoma del Cauca,"OSCAR ALVARADO MUNOZ, ELIZABETH RUANO IBARRA, WILFRED FABIAN RIVERA MARTINEZ"
00000000015873,True,Capítulo de libro,"Plan de orientación y acción tutorial, una estrategia en procesos socio-afectivos de la infancia",Colombia,2020,"Construcciones, aportes y elaboraciones en educación infantil",978-958-5583-56-6,,179 - 197,Universidad Santiago de Cali,INGRID SELENE TORRES ROJAS
00000000015873,True,Capítulo de libro,SISTEMAS LOCALES DE JUSTICIA: UNA ESTRATEGIA DE FOMENTO A LA ADMINISTRACIÓN DE JUSTICIA TERRITORIAL EN EL DEPARTAMENTO DEL CAUCA,Colombia,2020,La construcción de la Paz,978-958-8614-43-4,,439 - 462,Corporación Universitaria Autónoma del Cauca,WILLIAM DARIO CHARA ORDONEZ
00000000015873,True,Capítulo de libro,Características sociodemográfcas desde la permanencia estudiantil en licenciaturas de tres contextos universitarios de Colombia,Colombia,2020,Gestión del Conocimiento Perspectiva Disciplinaria,978-980-433-016-2,,649 - 662,Fondo Editorial Universitario de la Universidad Nacional Experimental Sur del Lago Jesús María Semprúm,INGRID SELENE TORRES ROJAS
00000000015873,True,Capítulo de libro,EL ROL DE LAS INSTITUCIONES DE EDUCACIÓN SUPERIOR DEL CAUCA EN LA CONSTRUCCIÓN DE PAZ TERRITORIAL,Colombia,2020,La construcción de la Paz,978-958-8614-43-4,,241 - 271,Corporación Universitaria Autónoma del Cauca,"WILLIAM DARIO CHARA ORDONEZ, JOHN ALEXANDER CASTILLO GARCES"
00000000015873,True,Capítulo de libro,"Un balance al proceso de restitución de tierras, ¿Qué ha pasado en el Cauca?",Colombia,2020,La construcción de la Paz,-978-958-8614-43-4,,463 - 499,UAEM-UNIAUTONOMA,BARBARA GONZALEZ MEDINA
00000000015873,True,Capítulo de libro,"Globalización, ética de mercado y derechos humanos",Colombia,2020,"Filosofía práctica en Iberoamérica. Comunidad política, justicia social y derechos humanos",978-958-5147-19-5,,83 - 104,Usc Universidad Santiago De Cali Editorial,WILLIAM BERNARDO MACIAS OROZCO
00000000004672,True,Capítulo de libro,Cajibío,Colombia,2018,Caficultura y desarrollo local caucano: una mirada a ocho municipios,978-958-732-336-8,,5 - 20,Universidad del Cauca,GABRIELA GOMEZ VALENCIA
00000000015873,True,Capítulo de libro,"Repertórios dos movimentos de mulheres indígenas em Abya Yala: comparando Bolívia, Brasil, Colômbia e Venezuela",Colombia,2020,"AMÉRICA LATINA NO SÉCULO XXI: desigualdades, democracia e desenvolvimento.",978-65-5868-311-7,,44 - 58,CRV,"ELIZABETH RUANO IBARRA, LARISSA FERRO, ELAINE MOREIRA"
00000000015873,True,Capítulo de libro,EL ESTUDIO DE LA ORGANIZACIÓN SOLIDARIA EN COLOMBIA Y SU CONTEXTO DE DIVERSIDAD,Colombia,2020,Redes de solidaridad y organizaciones en contextos de diversidad,9786587396200,,18 - 44,Editora Artemis,"LINA JULIANA ROBAYO CORAL, WILSON NOE GARCES AGUILAR"
00000000015873,True,Capítulo de libro,Principales Problemas de la Aplicación del Derecho con Enfoque Diferencial en Colombia,Colombia,2020,DIVERSIDADES Y DERECHOS DIFERENCIADOS,978-958-5134-56-0,,165 - 184,Usc Universidad Santiago De Cali Editorial,"JULIAN DAVID GUACHETA TORRES, INGRID SELENE TORRES ROJAS"
00000000015873,True,Capítulo de libro,"CONSTRUCCIÓN DE PAZ TRANSFORMADORA E INCLUSIVA DE LA MUJER EN EL POST ACUERDO A TRAVÉS DE TÉCNICAS CREATIVAS, ARTÍSTICAS Y VIVENCIALES",Colombia,2020,La construcción de la Paz,9789588614434,,179 - 213,Corporación Universitaria Autónoma del Cauca,ANGELICA MARIA ANICHIARICO GONZALEZ
00000000015873,True,Capítulo de libro,ELEMENTOS PARA POTENCIALIZAR EL EMPRENDIMIENTO JUVENIL COMO CONTRIBUCIÓN A UNA PAZ SOSTENIBLE,Colombia,2020,La construcción de la Paz,9789588614434,,358 - 382,Sello Editorial Uniautónoma del Cauca,"SAUL JESUS PULIDO, ELIZABETH TORO CHALA, MARTHA ACOSTA RANGEL, WILLIAM BERNARDO MACIAS OROZCO"
00000000015873,True,Capítulo de libro,ESCUELAS AGROAMBIENTALES DEL COMITÉ DE INTEGRACIÓN DEL MACIZO COLOMBIANO-CIMA. UNA APUESTA EDUCATIVA POPULAR PARA LA PAZ DURADERA,Colombia,2020,La construcción de la Paz,978-958-8614-43-4,,321 - 357,Editorial de la Corporación Universitaria Autónoma del Cauca,"WILLIAM BERNARDO MACIAS OROZCO, GUSTAVO ADOLFO ALEGRIA FERNANDEZ"
00000000001014,True,Capítulo de libro,Dinámicas y tensiones de la lectura y la escritura a través del curriculo,Colombia,2013,Por La Escritura,978-958-58053-0-9,,53 - 78,GAMAR EDITORES,MARY EDITH MURILLO FERNANDEZ
00000000007601,True,Capítulo de libro,"Determination of the Appropriation Level in the Collaborative Work, a Challenge in Distance Education Focused on E-learning",Colombia,2018,Human-Computer Interaction,978-3-030-05269-0,,128 - 142,"Springer Publishing Company, Inc.","PAULA ANDREA MORA PEDREROS, CONCEPCION BARREDA RAMIREZ, GUSTAVO EDUARDO CONSTAIN MORENO"
00000000007601,True,Capítulo de libro,"Determination of the Appropriation Level in the Collaborative Work, a Challenge in Distance Education Focused on E-learning",Colombia,2018,Communications in Computer and Information Science,978-3-030-05269-0,,21 - 32,"Springer Publishing Company, Inc.","GUSTAVO EDUARDO CONSTAIN MORENO, CONCEPCION BARREDA RAMIREZ, PAULA ANDREA MORA PEDREROS"
00000000007601,True,Capítulo de libro,Del pensamiento divergente a la transformación socio-cultural de los territorios desde una perspectiva ambiental,Colombia,2018,Revolución en la Formación y la Capacitación para el Siglo XXI,978-958-56686-1-4,,585 - 592,Instituto Antioqueño de Investigación,"CESAR FELIPE HENAO VILLA, DEYSER GUTIERREZ ALVAREZ"
00000000010589,True,Capítulo de libro,"TRADICIÓN ORAL DE LAS PROCESIONES CHIQUITAS DE SEMANA SANTA EN POPAYÁN,COMO ESTRATEGÍA DE SALVAGUARDÍA DEL PATRIMONIO CULTURAL INMATERIAL",Colombia,2019,REFLEXIONES SOBRE LA SALVAGUARDIA DE LAS PROCESIONES DE SEMANA SANTA. POPAYÁN ( COLOMBIA) Y ANDALUCIA ( ESPAÑA),978-958-722-373-6,,49 - 69,UNIVERSIDAD TECNOLÓGICA DE PEREIRA,DIANA CAROLINA BEDOYA FERNANDEZ
00000000010589,True,Capítulo de libro,"EL USO DE OBJETOS VIRTUALES DE APRENDIZAJE (OVA), COMO ESTRATEGIA DE SALVAGUARDIA DE LAS PROCESIONES DE SEMANA SANTA EN POPAYÁN",Colombia,2019,REFLEXIONES SOBRE LA SALVAGUARDIA DE LAS PROCESIONES DE SEMANA SANTA. POPAYÁN ( COLOMBIA) Y ANDALUCIA ( ESPAÑA),9789587223736,,71 - 90,EDITORIAL UTP,"CLARA LUCIA BURBANO GONZALEZ, LILIANA VARGAS AGREDO"
00000000010589,True,Capítulo de libro,Assessment of Vulnerability Index Applied to Churches of 18th Century in the Historic Center of Popayan (Colombia),Italia,2019,RESILIENCE AND SUSTAINABILITY OF CITIES IN HAZARDOUS ENVIRONMENTS,978-88-903183-1-3,,331 - 335,GVES Napoli ¿ New York,"PILAR ORTIZ CALDERON, MARIA ISABEL TURBAY VARONA"
00000000006505,True,Capítulo de libro,Un método colaborativo para determinar el alcance de líneas de productos software,Colombia,2018,21st Conferencia Iberoamericana en Software Engineering (CIbSE 2018),978-1-5108-6937-0,,573 - 580,Curran Associates,MARTA CECILIA CAMACHO OJEDA
00000000010589,True,Capítulo de libro,Social opinion of monuments vulnerability in historical cities,Reino Unido,2019,"Science and Digital Technology for Cultural Heritage - Interdisciplinary Approach to Diagnosis, Vulnerability, Risk Assessment and Graphic Information Models",9780429345470,,221 - 227,CRC Press,"MARIA ISABEL TURBAY VARONA, ROCIO ORTIZ CALDERON, PILAR ORTIZ CALDERON, JULIA BENITEZ, ANA MARIA TIRADO"
00000000010589,True,Capítulo de libro,"Imaginarios Sociales de originarios y avecindados en Santa Cruz Acalpixca, Xochimilco",Colombia,2020,Imaginarios sociales. Cuatro aproximaciones desde las identidades y los espacios.,9789585583658,,37 - 60,Usc Universidad Santiago De Cali Editorial,KELLY GIOVANNA MUNOZ BALCAZAR
00000000010589,True,Capítulo de libro,"Cambio climático: adaptación de la vivienda rural vereda Imbili del concejo comunitario alto río Mira y frontera, Tumaco Nariño",Colombia,2020,Resiliencia Urbana : una mirada académica desde el Pacífico,978-958-5583-51-1,,165 - 208,Usc Universidad Santiago De Cali Editorial,"LORENA VILLAQUIRAN LOPEZ, MARIA ISABEL TURBAY VARONA"
00000000010589,True,Capítulo de libro,"Río Molino y su condición de riesgo por inundación, Popayán-Colombia",Colombia,2020,LA INNOVACIÓN EN LAS SOLUCIONES INTEGRALES PARA EL DESARROLLO SOSTENIBLE - TOMO I,978-958-53404-0-4,,44 - 60,EDITORIAL TEINCO,LORENA VILLAQUIRAN LOPEZ
00000000010741,True,Capítulo de libro,EFFECT OF GIBERELIC ACID ON THE GERMINATION OF Vaccinium meridionale Sw. SEEDS,Brasil,2021,Tópicos integrados em botânica,978-65-5706-693-5,,11 - 21,ATENA,"SANDRA LORENA LOPEZ QUINTERO, CARLOS AUGUSTO MARTINEZ MAMIAN, XIMENA ANDREA RUIZ ERAZO"
00000000006505,True,Capítulo de libro,"Hero Test: Instrumento portable e interactivo de tamizaje auditivo, basado en metodología SUM",Colombia,2019,Serious Applications of Technology in Games and Health,978-958-5119-63-5,,137 - 147,Pontificia Universidad Javeriana,"KATERINE MARCELES VILLALBA, ASTRID ADRIANA ANACONA JIMENEZ, GABRIEL ELIAS CHANCHI GOLONDRINO"
00000000006505,True,Capítulo de libro,Disminuyendo la brecha comunicacional con Beeth - Ear,Colombia,2019,Serious Applications of Technology in Games and Health,978-958-5119-63-5,,127 - 137,Pontificia Universidad Javeriana,"JUAN JOSE CAIZA NARVAEZ, KATERINE MARCELES VILLALBA"
00000000006505,True,Capítulo de libro,Serious game for learning sign language in Colombia,Colombia,2019,Serious Applications of Technology in Games and Health,978-958-5119-63-5,,51 - 61,Pontificia Universidad Javeriana,"GABRIEL ELIAS CHANCHI GOLONDRINO, KATERINE MARCELES VILLALBA, SEBASTIAN PIMENTEL GONZALEZ, OSCAR DAVID IMBACHI SAMBONI"
00000000006505,True,Capítulo de libro,Identifying Collaborative Aspects During Software Product Lines Scoping,Estados Unidos,2019,SPLC '19: Proceedings of the 23rd International Systems and Software Product Line Conference - Volume B,978-1-4503-6668-7,,98 - 105,Association for Computing Machinery,"FRANCISCO ALVAREZ RODRIGUEZ, MARTA CECILIA CAMACHO OJEDA"
00000000010589,True,Capítulo de libro,SALVAGUARDIA DE LAS PROCESIONES DE SEMANA SANTA EN POPAYÁN -COLOMBIA Y SEVILLA - ESPAÑA FRENTE A LOS PROCESOS DE GLOBALIZACIÓN,Colombia,2019,REFLEXIONES SOBRE LA SALVAGUARDIA DE LAS PROCESIONES DE SEMANA SANTA. POPAYÁN ( COLOMBIA) Y ANDALUCIA ( ESPAÑA),9789587223736,,19 - 47,EDITORIAL UTP,LILIANA VARGAS AGREDO
