idgruplac,curso,fecha,acto,programa
00000000000095,Introduccon a la Epidemiologia Clinica,2010-03-05,01,Rotación electiva estudiantes de Internado
00000000003369,ETNOBOTANICA Y RECURSOS FITOGENETICOS,2008-04-01,2008-I,MAESTRIA EN CIENCIAS REC FITOGENET NEOTROPIC
00000000003369,METODOS INTERDISCIPLINARIOS,2006-01-17,12345,Doctorado Interinstitucional en Ciencias Ambientales
00000000003369,NATURALEZA Y CULTURA,2014-09-03,53943,Doctorado Interinstitucional en Ciencias Ambientales
00000000003369,"Biodiversidad y medicina: fármacos, fitofármacos y plantas medicinales",2019-11-06,19,DOCTORADO EN ETNOBIOLOGIA Y ESTUDIOS BIOCULTURALES
00000000003369,La agroecología en la agricultura tradicional,2021-02-02,02,DOCTORADO EN ETNOBIOLOGIA Y ESTUDIOS BIOCULTURALES
00000000003369,Hacia un humanismo ampliado: aspectos de la intersección entre humanidades y biología,2021-02-02,02,DOCTORADO EN ETNOBIOLOGIA Y ESTUDIOS BIOCULTURALES
00000000003369,Patrimonio zoocultural etnobiológico,2019-10-16,19,DOCTORADO EN ETNOBIOLOGIA Y ESTUDIOS BIOCULTURALES
00000000003369,Interculturalidad y diálogo de saberes: reflexiones metodológicas,2019-11-26,19,DOCTORADO EN ETNOBIOLOGIA Y ESTUDIOS BIOCULTURALES
00000000003369,II curso de etnomicología: métodos de investigación en etnomicología,2020-01-22,22,DOCTORADO EN ETNOBIOLOGIA Y ESTUDIOS BIOCULTURALES
00000000003369,Territorio y Reitalización Biocultural,2018-06-24,2418,DOCTORADO EN ETNOBIOLOGIA Y ESTUDIOS BIOCULTURALES
00000000003369,MEDIO AMBIENTE Y CULTURA,2006-03-21,12345,DOCTORADO EN GESTION AMBIENTAL
00000000003369,DESARROLLO Y GESTION AMBIENTAL SOCIOCULTURAL,2007-04-10,2007-I,DOCTORADO EN GESTION AMBIENTAL
00000000004638,Seminario de Investigación II,2016-11-16,5555,Doctorado en Ciencias Ambientales
00000000004638,Seminario de Investigación I,2015-11-02,5555,Doctorado en Ciencias Ambientales
00000000008150,Fundamentos Matemáticos,2007-11-23,"084, C.S:",Doctorado en Ingeniería Telemática
00000000008150,Combinatoria Aditiva I,2012-01-10,Acuerdo XX,Doctorado en Ciencias Matemáticas
00000000008150,Teoría de Números Algebraica,2012-01-10,Acuerdo XX,Doctorado en Ciencias Matemáticas
00000000008150,Teoría de Números II,2016-08-12,16586,Doctorado en Ciencias Matemáticas
00000000008150,Combinatoria Aditiva II,2016-08-12,16586,Doctorado en Ciencias Matemáticas
00000000008150,Campos Finitos I,2016-08-12,16586,Doctorado en Ciencias Matemáticas
00000000008150,Campos Finitos II,2016-08-12,16586,Doctorado en Ciencias Matemáticas
00000000008150,Teoría de Números I,2016-08-12,16586,Doctorado en Ciencias Matemáticas
00000000008150,ALGEBRA HOMOLOGICA,2008-05-14,Acuerdo346,Doctorado en Matemáticas
00000000008150,GRUPOS Y ALGEBRAS DE LIE,2008-05-14,Acuerdo346,Doctorado en Matemáticas
00000000008150,ALGEBRA COMPUTACIONAL,2008-05-14,Acuerdo346,Doctorado en Matemáticas
00000000008150,ALGEBRA CONMUTATIVA,2008-05-14,Acuerdo346,Doctorado en Matemáticas
00000000008150,COMBINATORIA,2008-05-14,Acuerdo346,Doctorado en Matemáticas
00000000008150,TEORIA ADITIVA DE NUMEROS,2008-05-14,Acuerdo346,Doctorado en Matemáticas
00000000008150,TOPICOS DE ALGEBRA,2008-05-14,Acuerdo346,Doctorado en Matemáticas
00000000002178,Seminario de Investigación IV,2010-06-15,Resolución,Doctorado en Antropología
00000000002178,Seminario de Investigación I -Antropología-,2011-01-09,2011-01-09,Doctorado en Antropología
00000000002178,Seminario de Investigación II,2009-06-26,2009-06-26,Doctorado en Antropología
00000000002178,Seminario de Investigación III,2009-12-16,2009-12-16,Doctorado en Antropología
00000000002178,Seminario de Investigación I,2008-12-11,2008-12-11,Doctorado en Antropología
00000000002178,Seminario de Investigación II,2010-09-01,2010-09-01,Doctorado en Ciencias Ambientales
00000000002178,Electiva I : Seminario Naturaleza Cultura,2011-08-31,2011-08-31,Doctorado en Ciencias Ambientales
00000000002178,Electiva I,2008-12-04,2008-12-04,Doctorado en Ciencias Ambientales
00000000002178,Electiva I - Naturaleza cultura - permanente -,2009-12-16,2009-12-16,Doctorado en Ciencias Ambientales
00000000001014,"Seminario de doctorado: Cultura, Lenguaje y Comunicación",2014-04-01,001,Doctorado en Educación
00000000002127,Electroquímica Supremolecular,2016-06-01,080,Doctorado en Ciencias - Química
00000000003212,Análisis del Discurso,2005-11-16,5291,Doctorado en Antropología
00000000003212,Seminario Complementario - Elementos de Investigación Lingüística,2009-10-26,7838,DOCTORADO EN LINGÜÍSTICA
00000000004639,Epistemología de las Ciencias Humanas y Sociales,2009-10-17,CADE-Pasto,Doctorado en Ciencias de la Educación
00000000003965,Seminario II de investigación,2015-12-10,145,Doctorado en Ciencias Agrarias
00000000003965,Seminario I en investigación,2015-06-09,ID50220152,Doctorado en Ciencias Agrarias
00000000002153,Seminario de Investigación,2008-10-28,MEN7224,Doctorado en Ciencias de la Electrónica
00000000002153,Seminario de Investigación,2014-07-14,MEN10402,Doctorado en Ciencias de la Electrónica (R)
00000000018223,"CURSO BASES DE DATOS DE ALTO IMPACTO EN INVESTIGACIÓN, ANTIPLAGIO Y CITACIÓN",2022-11-17,17-11-22,Doctorado en Educación
00000000015675,Modelado y simulación de sistemas ambientales.,2020-10-22,22102020,Doctorado en Ciencias Ambientales
00000000015675,Data Analysis in Network Management,2020-03-18,18032020,Doctorado en Telemática
00000000000694,Seminario de Investigación II,2008-04-08,Ac. 025,Doctorado en Ciencias de la Electrónica
00000000008159,Seminario Interdisciplinario I,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Seminario de Investigación I,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Seminario de Investigación II,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Teoria General de Sistemas,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Topicos Avanzados en Ciencias Ambientales I,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Topicos Avanzados en Ciencias Ambientales II,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Metodos de Investigación Interdisciplinaria,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Topicos Avanzados en Ciencias Ambientales III,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Electiva I,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Electiva II,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Investigación III,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Tesis,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Seminario Interdisciplinario II,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Investigación II,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Manejo de datos ambientales,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008159,Investigación I,2007-11-23,085 2007,Doctorado en Ciencias Ambientales
00000000008160,Servicios en Televisión Digital Interactiva,2010-07-05,084,Doctorado en Ingeniería Telemática
00000000008160,Servicios de e-Salud,2010-07-05,084,Doctorado en Ingeniería Telemática
00000000008160,Plataformas Ubicuas,2010-07-05,084,Doctorado en Ingeniería Telemática
00000000008160,Arquitecturas para entrega de Servicios,2010-07-05,084,Doctorado en Ingeniería Telemática
00000000008160,Integración de Procesos Empresariales a través de Internet,2007-11-23,084,Doctorado en Ingeniería Telemática
00000000008160,Sistemas de Información Geográfica,2007-11-23,084,Doctorado en Ingeniería Telemática
00000000008160,Servicios Móviles,2007-11-23,084,Doctorado en Ingeniería Telemática
00000000008160,Servicios en Redes de Próxima Generación,2007-11-23,084,Doctorado en Ingeniería Telemática
00000000008160,Introducción a la Investigación Científica,2007-11-23,084,Doctorado en Ingeniería Telemática
00000000002191,Teoria General de Sistemas,2015-07-20,001,Doctorado en Ciencias Ambientales
00000000001162,Pensamiento Latinoamericano,2012-11-15,02-2012,DOCTORADO EN CIENCIAS SOCIALES. NIÑEZ Y JUVENTUD
00000000001162,Pensamiento Latinoamericano,2005-11-16,5291,Doctorado en Antropología
