idgruplac,curso,fecha,acto,programa
00000000000095,Revisiones sietematicas y Colaboracion Cochrane,2010-06-01,2811,Especialización en Pediatría
00000000000095,Diseños en investigación Clínica,2010-09-06,AFI,Especialización en Pediatría
00000000000095,Busqueda Bibliografica en bases de datos biomedicas,2010-06-01,2811,Especialización en Pediatría
00000000000095,Pregunat estructurada y bases de datos,2010-06-01,2811,Especialización en Pediatría
00000000000095,Taller de escritura Médica,2012-07-30,Res 081/20,Especialización en Pediatría
00000000003369,TERRITORIO Y BIODIVERSIDAD,2015-06-09,104621,Maestria en Biologia
00000000003369,Etnobotanica Aplicada a recursos fitogeneticos,2008-04-25,2007,MAESTRIA EN RECURSOS FITOGENETICOS
00000000004638,Conservación de alimentos,2011-03-01,2011,CIENCIAS AGROPECUARIAS - AREA AGRARIA
00000000004638,Química Analítica Avanzada (II Cohorte),2013-01-12,10202,Maestría en Ciencias Química
00000000004638,Química Analítica Avanzada (I Cohorte),2011-03-01,10202,Maestría en Ciencias Química
00000000008150,Álgebra Homológica,2002-08-28,Acuerdo 10,Maestría en Matemáticas
00000000008150,Álgebra Local,2002-08-28,Acuerdo 10,Maestría en Matemáticas
00000000008150,Teoría Aditiva de Números,2002-08-28,Acuerdo 10,Maestría en Matemáticas
00000000008150,Tópicos de Combinatoria,2002-08-28,Acuerdo 10,Maestría en Matemáticas
00000000008150,Álgebra Conmutativa,2002-08-28,Acuerdo 10,Maestría en Matemáticas
00000000008150,Álgebra Computacional,2002-08-28,Acuerdo 10,Maestría en Matemáticas
00000000008150,Combinatoria,2002-08-28,Acuerdo 10,Maestría en Matemáticas
00000000008150,Teoría Combinatoria de Números,2002-08-28,Acuerdo 10,Maestría en Matemáticas
00000000008150,Teoría Analítica de Números,2002-08-28,Acuerdo 10,Maestría en Matemáticas
00000000008150,Teoria de Numeros I,2009-11-18,Acuerdo081,Maestría en Ciencias Matemáticas
00000000008150,COMBINATORIA ADITIVA I,2009-11-18,Acuerdo081,Maestría en Ciencias Matemáticas
00000000008150,Teoria de NUmeros II,2009-11-18,Acuerdo081,Maestría en Ciencias Matemáticas
