idgruplac,verificado,tipo,nombre,lugar,fecha,disponibilidad,institucion,autores
00000000007096,True,Organizacional,iNNpulsa Productividad Dobleclick,Colombia,2020,Restringido,FIDEICOMISOS SOCIEDAD FIDUCIARIA FIDUCOLDEX,WILFRED FABIAN RIVERA MARTINEZ
00000000007096,True,Organizacional,iNNpulsa Productividad_SUNSET,Colombia,2020,No restringido,FIDEICOMISOS SOCIEDAD FIDUCIARIA FIDUCOLDEX,WILFRED FABIAN RIVERA MARTINEZ
00000000007096,True,Organizacional,iNNpulsa Productividad Creazion,Colombia,2020,No restringido,FIDEICOMISOS SOCIEDAD FIDUCIARIA FIDUCOLDEX,WILFRED FABIAN RIVERA MARTINEZ
00000000007096,True,Organizacional,iNNpulsa Productividad BitBang,Colombia,2020,No restringido,FIDEICOMISOS SOCIEDAD FIDUCIARIA FIDUCOLDEX,WILFRED FABIAN RIVERA MARTINEZ
00000000005833,True,Empresarial,INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN EL DESARROLLO DEL PLAN DE GESTIÓN DE MANTENIMIENTO DE MAQUINARIA Y EQUIPOS EN SUPER E & CIA S.A.S,Colombia,2020,Restringido,Super E & CIA S.A.S,"LIDIER JAVIER VIDAL COBO, JHON ALEXANDER GUERRERO NARVAEZ"
00000000005833,True,Empresarial,INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN DISEÑO E IMPLEMENTACIÓN DEL PLAN DE MANEJO Y MITIGACIÓN DE RUIDO - PMMR Y EL PLAN DE MANEJO Y MITIGACIÓN DE MATERIAL PARTICULADO - PMMMP DEL PROCESO PRODUCTIVO DESARROLLADO POR EMPAQUES DEL CAUCA S.A,Colombia,2019,Restringido,Empaques del Cauca S.A.,"JOHANA PATRICIA ASTUDILLO GUTIERREZ, JHON ALEXANDER GUERRERO NARVAEZ"
00000000005833,True,Empresarial,"INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN LA PLANIFICACIÓN, CONTROL Y SUPERVISIÓN DEL AHORRO Y USO EFICIENTE DE ENERGÍA ELÉCTRICA EN EL PROCESO PRODUCTIVO DE SACOS DE FIQUE",Colombia,2019,Restringido,Empaques del Cauca S.A.,"JHON ALEXANDER GUERRERO NARVAEZ, JOHANA PATRICIA ASTUDILLO GUTIERREZ"
00000000007096,True,Organizacional,iNNpulsa Productividad SERATIC,Colombia,2020,Restringido,FIDEICOMISOS SOCIEDAD FIDUCIARIA FIDUCOLDEX,WILFRED FABIAN RIVERA MARTINEZ
00000000008431,True,Organizacional,Innovaciones en el ámbito organizacional de la Fundación Red Emprendedoras Popayán,Colombia,2020,Restringido,Colegio Mayor Del Cauca - Institución Universitaria,"EDUARDO ANDRES CONCHA CERON, MARIA EUGENIA SALDARRIAGA SALAZAR, MARIA DEL MAR LONDONO ORDONEZ"
00000000008431,True,Organizacional,DISEÑO E IMPLEMENTACION DE PLAN ESTRATÉGICO ORGANIZACIONAL EN LA EMPRESA SISGAR INGENIERÍA METALMECANICA DE LA CIUDAD DE POPAYÁN,Colombia,2016,No restringido,SISGAR INGENIERÍA METALMECANICA,MARIA EUGENIA SALDARRIAGA SALAZAR
00000000016547,True,Organizacional,Análisis bibliométrico en acciones colectivas para la construcción de paz,Colombia,2020,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,"JUAN FERNANDO LEON CANO, EDWARD JAVIER ORDONEZ"
00000000016879,False,Organizacional,CENTRO DE EMPRENDIMIENTO Y DESARROLLO EMPRESARIAL,Colombia,2020,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,ANDRES FELIPE AGUILAR BURBANO
00000000015873,False,Empresarial,Reconocimiento del MEN de la Renovación de registro calificado del Programa de Licenciatura en Educación Infantil,Colombia,2018,Restringido,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,INGRID SELENE TORRES ROJAS
00000000007276,False,Empresarial,desarrollo de snacks con probióticos,Colombia,2021,Restringido,SEGURIDAD ALIMENTARIA DE OCCIDENTE S A S,JESUS EDUARDO BRAVO GOMEZ
00000000010553,False,Organizacional,"Mejoramiento en la calidad y consistencia de los cafés de especialidad a través de procesos de innovación en las etapas de cultivo, beneficio y comercialización que desarrolla la Federación Campesina del Cauca FCC, en la zona centro del departamento del Cauca - Junio 15 de 2022 a octubre 15 de 2022",Colombia,2022,Restringido,Federación Campesina del Cauca,"DIDIER RUBEN CORDOBA LOZADA, WILFRED FABIAN RIVERA MARTINEZ"
00000000016879,False,Organizacional,Centro de emprendimiento y desarrollo empresarial (CEDE),Colombia,2020,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,CAMILO OVIEDO PERDOMO
00000000008431,False,Organizacional,Innovación de las prácticas docentes y de estudiantes de las Instituciones Educativa César Negret Velasco de la Ciudad de Popayán,Colombia,2021,Restringido,Colegio Mayor Del Cauca - Institución Universitaria,"WILLINGTON BENITEZ CHARA, MARIA EUGENIA SALDARRIAGA SALAZAR, DIANA MARCELA MONTILLA VALENCIA, LUISA FERNANDA LOSADA ARTUNDUAGA"
00000000018223,False,Organizacional,Diseño y aplicación de los indicadores del Sistema de Gestión de SST en la CRC,Colombia,2018,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,JULLY ANDREA MORENO MARTINEZ
00000000005833,False,Organizacional,"DESARROLLO DE UN MÉTODO PARA LA SELECCIÓN, PRIORIZACIÓN Y EVALUACIÓN DE PROYECTOS DE INNOVACIÓN Y DESARROLLO",Colombia,2022,Restringido,Empaques del Cauca S.A.,JHON ALEXANDER GUERRERO NARVAEZ
00000000007096,False,Organizacional,Modelo de negocio y sostenibilidad para el CDT Creatic,Colombia,2019,No restringido,Corporación Centro de Desarrollo Tecnológico Cluster CreaTIC,CESAR DANIEL ERIC SAMBONI ADRADA
00000000015873,False,Empresarial,Ecoestación,Colombia,2017,Restringido,INNOVACCIÓN CAUCA,INGRID SELENE TORRES ROJAS
