idgruplac,nombre,aval
00000000002156,UNIVERSIDAD DEL CAUCA,Avalado
00000000002184,UNIVERSIDAD DEL CAUCA,Avalado
00000000019510,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,Avalado
00000000000095,UNIVERSIDAD DEL CAUCA,Avalado
00000000021890,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,Avalado
00000000004806,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,Avalado
00000000003369,UNIVERSIDAD DEL CAUCA,Avalado
00000000003369,Universidad Nacional Autónoma De Honduras,No Avalado
00000000003369,UNIVERSIDAD NACIONAL DE COLOMBIA,No Avalado
00000000003369,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,No Avalado
00000000004638,UNIVERSIDAD DEL CAUCA,Avalado
00000000008150,UNIVERSIDAD DEL CAUCA,Avalado
00000000008150,UNIVERSIDAD DE ANTIOQUIA,Avalado
00000000008150,UNIVERSIDAD DE NARIÑO,Avalado
00000000008150,UNIVERSIDAD DEL VALLE,Avalado
00000000004277,UNIVERSIDAD DEL CAUCA,Avalado
00000000002178,UNIVERSIDAD DEL CAUCA,Avalado
00000000009075,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000010009,UNIVERSIDAD DEL CAUCA,Avalado
00000000001221,UNIVERSIDAD COOPERATIVA DE COLOMBIA,Avalado
00000000001221,Alcaldia Municipal De Popayan,No Avalado
00000000007096,Corporación Centro de Desarrollo Tecnológico Cluster CreaTIC,Avalado
00000000007096,TOTEMS LIMITADA,Avalado
00000000015254,SERVICIO NACIONAL DE APRENDIZAJE SENA,Avalado
00000000017064,UNIVERSIDAD DEL CAUCA,Avalado
00000000008591,UNIVERSIDAD DEL CAUCA,Avalado
00000000006312,UNIVERSIDAD DEL CAUCA,Avalado
00000000003625,CENTRO REGIONAL DE PRODUCTIVIDAD E INNOVACIÓN DEL CAUCA CREPIC,Avalado
00000000003625,UNIVERSIDAD DEL CAUCA,Avalado
00000000000619,UNIVERSIDAD DEL CAUCA,Avalado
00000000001014,UNIVERSIDAD DEL CAUCA,Avalado
00000000020815,Fundación InnovaGen,Avalado
00000000008151,UNIVERSIDAD DEL CAUCA,Avalado
00000000008155,UNIVERSIDAD DEL CAUCA,Avalado
00000000002127,UNIVERSIDAD DEL CAUCA,Avalado
00000000003212,UNIVERSIDAD DEL CAUCA,Avalado
00000000004639,UNIVERSIDAD DEL CAUCA,Avalado
00000000003965,UNIVERSIDAD DEL CAUCA,Avalado
00000000005833,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,Avalado
00000000002153,UNIVERSIDAD DEL CAUCA,Avalado
00000000008431,Colegio Mayor Del Cauca - Institución Universitaria,Avalado
00000000009220,UNIVERSIDAD DEL CAUCA,Avalado
00000000007399,UNIVERSIDAD DEL CAUCA,Avalado
00000000018223,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000015675,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000008156,UNIVERSIDAD DEL CAUCA,Avalado
00000000021496,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,Avalado
00000000002141,UNIVERSIDAD DEL CAUCA,Avalado
00000000014080,UNIVERSIDAD DEL CAUCA,Avalado
00000000015256,UNIVERSIDAD DEL CAUCA,Avalado
00000000000694,UNIVERSIDAD DEL CAUCA,Avalado
00000000000668,UNIVERSIDAD DEL CAUCA,Avalado
00000000002726,UNIVERSIDAD DEL CAUCA,Avalado
00000000008159,UNIVERSIDAD DEL CAUCA,Avalado
00000000008160,UNIVERSIDAD DEL CAUCA,Avalado
00000000006693,UNIVERSIDAD DEL CAUCA,Avalado
00000000007827,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000008516,Colegio Mayor Del Cauca - Institución Universitaria,Avalado
00000000010741,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000010589,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000017651,UNIVERSIDAD DEL CAUCA,Avalado
00000000003853,UNIVERSIDAD DEL CAUCA,Avalado
00000000002146,UNIVERSIDAD DEL CAUCA,Avalado
00000000002191,UNIVERSIDAD DEL CAUCA,Avalado
00000000004407,UNIVERSIDAD DEL CAUCA,Avalado
00000000000625,UNIVERSIDAD DEL CAUCA,Avalado
00000000002140,UNIVERSIDAD DEL CAUCA,Avalado
00000000005369,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,Avalado
00000000001162,UNIVERSIDAD DEL CAUCA,Avalado
00000000008372,UNIVERSIDAD DEL CAUCA,Avalado
00000000007847,UNIVERSIDAD DEL CAUCA,Avalado
00000000010563,UNIVERSIDAD DEL CAUCA,Avalado
00000000012484,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000016547,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000016547,UNIVERSIDAD SANTIAGO DE CALI,No Avalado
00000000015758,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,Avalado
00000000008153,UNIVERSIDAD DEL CAUCA,Avalado
00000000002192,UNIVERSIDAD DEL CAUCA,Avalado
00000000004257,UNIVERSIDAD DEL CAUCA,Avalado
00000000008489,Colegio Mayor Del Cauca - Institución Universitaria,Avalado
00000000016879,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000015901,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,Avalado
00000000015901,UNIVERSIDAD DE ZARAGOZA,No Avalado
00000000015142,SERVICIO NACIONAL DE APRENDIZAJE SENA,Avalado
00000000012288,UNIVERSIDAD DEL CAUCA,Avalado
00000000010553,Colegio Mayor Del Cauca - Institución Universitaria,Avalado
00000000002145,UNIVERSIDAD DEL CAUCA,Avalado
00000000002145,Universidad De Valladolid,No Avalado
00000000005500,UNIVERSIDAD DEL CAUCA,Avalado
00000000012834,UNIVERSIDAD DEL CAUCA,Avalado
00000000002159,UNIVERSIDAD DEL CAUCA,Avalado
00000000004672,UNIVERSIDAD DEL CAUCA,Avalado
00000000003792,UNIVERSIDAD DEL CAUCA,Avalado
00000000005361,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,Avalado
00000000002157,UNIVERSIDAD DEL CAUCA,Avalado
00000000007099,UNIVERSIDAD DEL CAUCA,Avalado
00000000012823,UNIVERSIDAD DEL CAUCA,Avalado
00000000010829,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000012079,UNIVERSIDAD DEL CAUCA,Avalado
00000000007276,UNIVERSIDAD DEL TOLIMA,No Avalado
00000000007276,UNIVERSIDAD DE SEVILLA,No Avalado
00000000007276,Universitat De Valencia,No Avalado
00000000007276,Centro Agropecuario Sena,No Avalado
00000000007276,UNIVERSIDAD POPULAR DEL CESAR,Avalado
00000000007276,SEGURIDAD ALIMENTARIA DE OCCIDENTE S A S,Avalado
00000000007276,QUINOA MEALS COMPANY S.A.S,Avalado
00000000007276,Universidad Autónoma De Coahuila,Avalado
00000000007276,UNIVERSIDAD DEL CAUCA,Avalado
00000000017266,UNIVERSIDAD ANTONIO NARIÑO,Avalado
00000000002142,UNIVERSIDAD DEL CAUCA,Avalado
00000000020932,HOSPITAL UNIVERSITARIO SAN JOSE POPAYAN,Avalado
00000000020932,UNIVERSIDAD DEL CAUCA,No Avalado
00000000020932,Fundación Universitaria Maria Cano,No Avalado
00000000020932,UNIVERSIDAD CATÓLICA DE MANIZALES,No Avalado
00000000020932,UNIVERSIDAD SANTIAGO DE CALI,No Avalado
00000000001995,UNIVERSIDAD DEL CAUCA,Avalado
00000000012001,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000002126,UNIVERSIDAD DEL CAUCA,Avalado
00000000000316,UNIVERSIDAD DEL CAUCA,Avalado
00000000002174,UNIVERSIDAD DEL CAUCA,Avalado
00000000006175,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,Avalado
00000000007952,UNIVERSIDAD DEL CAUCA,Avalado
00000000007952,UNIVERSIDAD DE NARIÑO,No Avalado
00000000007952,UNIVERSIDAD DEL VALLE,No Avalado
00000000006505,Colegio Mayor Del Cauca - Institución Universitaria,Avalado
00000000007601,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA,Avalado
00000000007601,KCUMEN DIGITAL SAS.,Avalado
00000000015873,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,Avalado
00000000016909,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000011727,FUNDACION UNIVERSITARIA DE POPAYAN,Avalado
00000000011727,UNIVERSIDAD DEL CAUCA,No Avalado
00000000011727,Consejo Latinoamericano De Ciencias Sociales - Clacso,No Avalado
00000000022270,AGRO360 SAS,Avalado
00000000021902,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,Avalado
00000000002175,UNIVERSIDAD DEL CAUCA,Avalado
00000000002175,UNIVERSIDAD DE ANTIOQUIA,No Avalado
00000000002175,UNIVERSIDAD NACIONAL DE COLOMBIA,No Avalado
00000000002175,UNIVERSIDAD DEL VALLE,No Avalado
00000000002175,UNIVERSIDAD DE LOS ANDES,No Avalado
00000000002175,UNIVERSIDAD DISTRITAL FRANCISCO JOSÉ DE CALDAS,No Avalado
00000000002175,"Ministerio de Ciencia, Tecnología e Innovación.",No Avalado
00000000002175,UNIVERSIDAD DE CALDAS,No Avalado
00000000019590,UNIVERSIDAD DEL CAUCA,Avalado
00000000002129,UNIVERSIDAD DEL CAUCA,Avalado
00000000001155,UNIVERSIDAD COOPERATIVA DE COLOMBIA,Avalado
00000000015570,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,Avalado
00000000015570,Corporaciión Regional De Antioquia,No Avalado
00000000011867,UNIVERSIDAD DEL CAUCA,Avalado
00000000000592,UNIVERSIDAD DEL CAUCA,Avalado
00000000002135,UNIVERSIDAD DEL CAUCA,Avalado
00000000002161,UNIVERSIDAD DEL CAUCA,Avalado
00000000002936,UNIVERSIDAD DEL CAUCA,Avalado
00000000004650,UNIVERSIDAD DEL CAUCA,Avalado
00000000008152,UNIVERSIDAD DEL CAUCA,Avalado
00000000007141,UNIVERSIDAD DEL CAUCA,Avalado
