idgruplac,verificado,tipo,nombre,lugar,fecha,isbn,editorial,autores
00000000002192,True,Libro resultado de investigación,Escuela y caficultura saberes y aprendizajes en el territorio,Colombia,2019,978-958-59594-5-3,Universidad del Cauca,OLGA LUCIA CADENA DURAN
00000000004407,True,Libro resultado de investigación,Expectativas Quebrantadas: La Cuestión Afro y la Discriminación Racial en Colombia,Colombia,2017,9789587322989,Editorial Universidad Del Cauca,"MONICA MARIA SINISTERRA RODRIGUEZ, RAUL HERNANDO CORTES LANDAZURY, RONALD ALEJANDRO MACUACE OTERO"
00000000002191,True,Libro resultado de investigación,Química de la materia orgánica de andisoles altoandinos en Colombia,Colombia,2016,978-958-732-206-4,Editorial Unicauca,"EDIER HUMBERTO PEREZ, CLAUDIA XIMENA MARTINEZ VALENCIA, ISABEL BRAVO REALPE"
00000000001995,True,Libro resultado de investigación,Contextos Temáticos E Históricos De La Fisioterapia,Colombia,2008,978-958-732-003-9,Editorial Universidad Del Cauca,MARIA VERONICA TORRES ANDRADE
00000000001995,True,Libro resultado de investigación,Pinzas Y Agarres Privilegiables En El Diseno De Una Mano Robotica,Colombia,2008,958-9451-65-9,Universidad del Cauca,"ADRIANA GUZMAN VELASCO, VERONICA TORRES"
00000000002192,True,Libro resultado de investigación,saberes y prácticas para el buen vivir,Colombia,2020,978-958-7323-726,Ediorial Universidad Del Cauca,BERNARDO JAVIER TOBAR QUITIAQUEZ
00000000012288,True,Libro resultado de investigación,Antología del Pensamiento Social en Colombia (Virtual),Colombia,2018,978-958-8920-81-8,EDITORIAL USC,"EDWARD JAVIER ORDONEZ, ALEXANDER LUNA NIETO"
00000000001995,True,Libro resultado de investigación,Inhaloterapia,Colombia,2007,958-9446-24-8,Manual moderno,ADRIANA GUZMAN VELASCO
00000000012288,True,Libro resultado de investigación,Racionalidad renovada: crítica de Emmanuel Levinas a los paradigmas epistemológicos occidentales,Colombia,2019,978-958-5421-47-9,Editorial Aula de Humanidades,JUAN CARLOS AGUIRRE GARCIA
00000000004407,True,Libro resultado de investigación,LA SOCIECOLOGÍA DE LA COMPLEJIDAD: NUEVAS VISIONES PARA LA COMPRENSIÓN DEL ESPACIO Y EL CAMBIO DE POLÍTICAS EN AMÉRICA LATINA,Colombia,2021,978-958-5134-63-8,Dike,"ARISTIDES OBANDO CABEZAS, RAUL HERNANDO CORTES LANDAZURY"
00000000015901,True,Libro resultado de investigación,Despliegue Automático de Servicios Convergentes en un entorno JAINSLEE,España,2018,978-620-2-16321-7,Editorial Académica Española,JULIAN ANDRES CAICEDO MUNOZ
00000000004407,True,Libro resultado de investigación,"Capital Social, Sociedad Civil y Desarrollo Sostenible: En Busca de las Fuentes de Progreso en el Cauca",Colombia,2010,9789587320466,Ediorial Universidad Del Cauca,RAUL HERNANDO CORTES LANDAZURY
00000000008489,True,Libro resultado de investigación,"Camuflados, asesinados por el Ejército Nacional",Colombia,2016,978-958-732-218-7,Editorial Universidad Del Cauca,ANDRES ALEJANDRO CORDOBA CALVO
00000000000316,True,Libro resultado de investigación,"Convivencia Escolar. Una perspectiva de las relaciones entre adolescentes, padres y maestros.",Colombia,2020,978-958-732-425-9,Editorial Universidad Del Cauca,LEIDY VANESSA VASQUEZ TENORIO
00000000008489,True,Libro resultado de investigación,Sociedades en Movimiento. Territorios ocultos en la historia de la ciudad,Colombia,2020,978-958-48-9755-8,Fallidos Editores,SORY ALEXANDER MORALES FERNANDEZ
00000000008489,True,Libro resultado de investigación,CIUDAD SÓNICA: EL CASO PARADIGMÁTICO DE POPAYÁN (COLOMBIA),Colombia,2020,9789587324242,Universidad del Cauca,"JULIAN ANDRES GRIJALBA OBANDO, ANDRES ALEJANDRO CORDOBA CALVO"
00000000008489,True,Libro resultado de investigación,CIUDAD SÓNICA: EL CASO PARADIGMÁTICO DE POPAYÁN (COLOMBIA),Colombia,2020,978-958-732-423-5,Editorial Universidad Del Cauca,"JULIAN ANDRES GRIJALBA OBANDO, ANDRES ALEJANDRO CORDOBA CALVO"
00000000000316,True,Libro resultado de investigación,Habitar La Piel: Una Aproximación A Las Prácticas De Modificación Corporal En El Suroccidente Colombiano,Colombia,2015,978-958-732-157-9,Editorial Universidad Del Cauca,"DEIBAR RENE HURTADO HERRERA, MARIA ANDREA SIMMONDS TABBERT, JUAN CARLOS PINO, JUAN CARLOS PINO CORREA"
00000000000316,True,Libro resultado de investigación,Motricidad Escenarios De Debate.,Colombia,2013,978-958-8695-40-2,Editorial Kinesis,"DEIBAR RENE HURTADO HERRERA, NAPOLEON MURCIA, NAPOLEON MURCIA PENA"
00000000001995,True,Libro resultado de investigación,HACIA UNA PEDAGOGÍA DEL CONTACTO EN FISIOTERAPIA,Colombia,2017,978-958-732-291-0,Editorial Universidad Del Cauca,MARIA VERONICA TORRES ANDRADE
00000000015873,True,Libro resultado de investigación,"La Perspectiva de Género, interpretaciones discursivas y sociopolíticas de la mujer y el crimen organizado ...",México,2016,9786074103946,"Innovación Editorial Lagares de México, S.A. de C.V.",NUBIA AMPARO ORTIZ GUERRERO
00000000003965,True,Libro resultado de investigación,"Diagnóstico de las prácticas postcosecha para tomate de mesa bajo cubierta en el Municipio de Balboa, Departamento del Cauca",Colombia,2009,978-958-732-033-6,Sello Editorial Universidad del Cauca,"SILVIO ANDRES MOSQUERA SANCHEZ, NEYLA ADRIANA MELLIZO, NASLY ADRIANA TROCHEZ"
00000000005833,True,Libro resultado de investigación,Herramientas VIS-NIR para estudiar la fisiología de especies vegetales,Letonia,2020,978-620-0-40136-6,Editorial Académica Española,"MIGUEL RICARDO PENA VARON, DAVID ARMANDO REVELO LUNA"
00000000005833,True,Libro resultado de investigación,Recursos educativos usables para el aprendizaje básico en robótica,Letonia,2020,978-620-0-41597-4,Editorial Académica Española,DAVID ARMANDO REVELO LUNA
00000000005833,True,Libro resultado de investigación,An Introduction to Mechanical Properties of Engineered Materials,Letonia,2020,978-620-3-19661-0,Lambert Academic Publishing,"JHON ALEXANDER GUERRERO NARVAEZ, DIEGO ANDRES CAMPO CEBALLOS"
00000000003965,True,Libro resultado de investigación,El Sentido De La Formaciòn Pràctica En Ingenierìa: Una Mirada Etnogràfica Desde La Agroindustria,Colombia,2004,958-9475-55-8,Editorial Universidad Del Cauca,"HECTOR SAMUEL VILLADA CASTILLO, DEIBAR RENE HURTADO"
00000000003965,True,Libro resultado de investigación,Agroindustria Nivel 2 Para Entorno Virtual,Colombia,2007,978-958-9451-68-7,Universidad del Cauca,"HECTOR SAMUEL VILLADA CASTILLO, REINALDO VELASCO MOSQUERA, CARLOS ANDRES CHANTRE"
00000000003965,True,Libro resultado de investigación,Leche Cruda Y Leche Pasteurizada Analisis De La Competitividad Restringida De La Cadena Lactea Formal Y La Cadena Lactea Informal En Popayan Cauca,Colombia,2007,978-958-9451-52-6,Ediorial Universidad Del Cauca,"HECTOR SAMUEL VILLADA CASTILLO, JOSE FERNANDO GRASS RAMIREZ, HAROLD ACOSTA ZULETA"
00000000002146,True,Libro resultado de investigación,El Sentido De La Formaciòn Pràctica En Ingenierìa: Una Mirada Etnogràfica Desde La Agroindustria,Colombia,2004,958-9475-55-8,Editorial Universidad Del Cauca,"HECTOR SAMUEL VILLADA CASTILLO, DEIBAR RENE HURTADO"
00000000003965,True,Libro resultado de investigación,Variables De Proceso Y Caracterizacion Fisicoquimica Microscopica Termica Y Mecanica De Almidon Agrio De Yuca Termoplastificado Por Extrusion,Colombia,2008,978-958-9451-61-8,Editorial Universidad Del Cauca,"HECTOR SAMUEL VILLADA CASTILLO, JOSE FERNANDO GRASS RAMIREZ, HAROLD ACOSTA ZULETA"
00000000003965,True,Libro resultado de investigación,"Silvia, La Suiza De América: Su Riqueza Natural, Cultural Y Económica",Colombia,2008,978-958-9451-69-4,Universidad del Cauca,"SILVIO ANDRES MOSQUERA SANCHEZ, SANDRA PATRICIA GODOY BONILLA, ALEJANDRO TOLEDO TOVAR, LUIS FELIPE CALAMBAS"
00000000003965,True,Libro resultado de investigación,Metodología para la localización y distribución de instalaciones en una planta de alimentos: estudio de caso,Colombia,2010,978-958-732-052-7,Sello Editorial Universidad del Cauca,SILVIO ANDRES MOSQUERA SANCHEZ
00000000003965,True,Libro resultado de investigación,"INICIACIÓN CIENTÍFICA Conceptualización, metodologías y buenas prácticas",Colombia,2019,978-958-5544-34-5,Editorial Politécnico Grancolombiano,"CARLOS EDUARDO DAZA OROZCO, EDUARDO ENRIQUE NORMAN ACEVEDO, GERMAN ANTONIO ARBOLEDA MUNOZ, HECTOR SAMUEL VILLADA CASTILLO, LILY MARCELA PALACIOS, HUGO PORTELA GUARIN"
00000000003965,True,Libro resultado de investigación,Fermentación de Sustrato Sólido,Colombia,2010,978-958-732-057-2,Sello Editorial Universidad del Cauca,SILVIO ANDRES MOSQUERA SANCHEZ
00000000001995,True,Libro resultado de investigación,Precripción de la actividad física en ARTRITIS REUMATOIDE,Colombia,2019,978-958-48-7165-7,Samava Ediciones,"NANCY JANNETH MOLANO TOBAR, ANDRES FELIPE VILLAQUIRAN HURTADO, RAQUEL AMALIA VELEZ TOBAR"
00000000003965,True,Libro resultado de investigación,Fisiología de la maduración de frutas,Colombia,2010,978-958-732-069-5,Sello Editorial Universidad del Cauca,SILVIO ANDRES MOSQUERA SANCHEZ
00000000001995,True,Libro resultado de investigación,Modelo de Vigilancia Epidemiológica Ocupacional para Desórdenes Musculo Esqueléticos en Trabajadores que utilizan Computador,Colombia,2018,978-958-732-312-2,Editorial Universidad Del Cauca,CRISTINA EUGENIA RESTREPO PUENTES
00000000003965,True,Libro resultado de investigación,Pasos para alcanzar la acreditación de los ensayos en un laboratorio,Colombia,2014,978-958-732-155-5,Ediorial Universidad Del Cauca,"HECTOR SAMUEL VILLADA CASTILLO, ALCY RENE CERON MOSQUERA, SUSANA CAJIAO"
00000000003965,True,Libro resultado de investigación,Polímeros: Generalidades y Tendencias de Investigación en Colombia,Colombia,2015,978-958-732-349-8,Editorial Universidad Del Cauca,"ALCY RENE CERON MOSQUERA, HECTOR SAMUEL VILLADA CASTILLO"
00000000003965,True,Libro resultado de investigación,El transporte de frutas por las carreteras del Cauca: un diagnóstico general de las operaciones de manipulación y transporte,Colombia,2016,978-958-732-208-8,Sello Editorial Universidad del Cauca,SILVIO ANDRES MOSQUERA SANCHEZ
00000000003965,True,Libro resultado de investigación,"INICIACIÓN CIENTÍFICA Conceptualización, metodologías y buenas prácticas",Colombia,2019,978-958-5544-36-9,Editorial Politécnico Grancolombiano,"LILY MARCELA PALACIOS, GERMAN ANTONIO ARBOLEDA MUNOZ, HECTOR SAMUEL VILLADA CASTILLO, HUGO PORTELA GUARIN, CARLOS EDUARDO DAZA OROZCO"
00000000000316,True,Libro resultado de investigación,Entramados. Jóvenes Y Configuración De Significaciones Imaginarias De Deseo,Colombia,2011,978-958-44-9166-4,Editorial Feriva,DEIBAR RENE HURTADO HERRERA
00000000002174,True,Libro resultado de investigación,Aviturismo y Coinnovación para el Emprendimiento,Colombia,2017,978-958-732-278-1,Universidad del Cauca,"ANDRES JOSE CASTRILLON MUNOZ, MARIA TERESA AMAYA DE CASTRO"
00000000002174,True,Libro resultado de investigación,Restauración Ecológica y Gestión colaborativa para un producto turístico de naturaleza en Cajibío-Cauca:Colombia,Colombia,2017,978-958-732-254-5,Universidad del Cauca,ANDRES JOSE CASTRILLON MUNOZ
00000000015873,True,Libro resultado de investigación,La construcción de paz,Colombia,2020,9789588614434,Corporación Universitaria Autónoma del Cauca,ANGELICA MARIA ANICHIARICO GONZALEZ
00000000003212,True,Libro resultado de investigación,Construcción de micromundos para la apropiación social del patrimonio lingüístico en comunidades Nasa y Misak,Colombia,2016,978-958-732-216-3,Editorial Universidad Del Cauca,"TULIO ENRIQUE ROJAS CURIEUX, ERWIN MEZA VEGA"
00000000003212,True,Libro resultado de investigación,Construcción de materiales educativos que apoyan la enseñanza del nasa yuwe,Colombia,2016,978-958-732-164-7,Editorial Universidad Del Cauca,"TULIO ENRIQUE ROJAS CURIEUX, LUZ MARINA SIERRA, ERWIN MEZA VEGA, CARLOS ALBERTO COBOS LOZADA, JORGE ARMANDO VILLEGAS GONZALEZ"
00000000007601,True,Libro resultado de investigación,Propuesta Pedagógica Metodológica para Generaciones con Bienestar,Colombia,2014,978-958-8614-22-9,Corporación Universitaria Autónoma del Cauca,PAULA ANDREA MORA PEDREROS
00000000003212,True,Libro resultado de investigación,Corpus Lingüístico Estudio y Aplicación en Revitalización de Lenguas Indígenas,Colombia,2017,978-958-732-242-2,Universidad del Cauca,TULIO ENRIQUE ROJAS CURIEUX
