idgruplac,lineas
00000000002156,"Calidad y potabilización de aguas;Control, diagnostico y gestión ambiental;Dinámicas de ecosistemas terrestres y acuáticos;Ecomateriales;Modelación y simulación de Procesos (modelación Ambiental);Tratamiento de aguas residuales y manejo de residuos sólidos"
00000000002184,EDUCACIÓN POPULAR Y COMUNITARIA
00000000019510,Administración y Prospectiva del Conocimiento Científico;Educación y Divulgación de la Ciencia;Micro y Nano Ciencia;Sistemas Complejos
00000000000095,Dismorfología;Investigaciones en AIEPI (Atención integrada de las enfermedades prevalentes en la Infancia);Lactancia materna y Alimentación complementaria;Metodología de la investigación;Nefrología Pediátrica;Nutrición infantil;Revisiones sistemáticas;Salud Materna y Perinatal
00000000021890,Análisis y procesamiento de datos;Construcción de software para gestión de datos;Optimización matemática de procesos industriales
00000000004806,Apropiación de las TIC;Ingeniería del Software;Inteligencia Artificial y Big Data
00000000003369,"Agrobiodiversidad y cambio climático;DESARROLLO CURRICULAR DE ETNOBOTANICA APLICADA;ETNOBIOLOGIA;ETNOBOTANICA, DIVERSIDAD Y RECURSOS FITOGENETICOS;ETNOBOTÁNICAS PARA EL ESTUDIO DE LAS PLANTAS MEDICINALES;ETNOEDUCACION Y EDUCACION AMBIENTAL;Estudios bioculturales;Métodos para la Investigación Etnobotánica"
00000000004638,"Biotecnología, Ciencias de la vida y Genómica;Calidad Medioambiental;Estandarización y validación de técnicas analíticas;Indicadores Químicos de Calidad y Seguridad agro-alimentaria;Servicios e-learning;Uso de Productos y Subproductos Agro-alimentarios"
00000000008150,Aplicaciones;Educación Matemática;Geometría Computacional;Teoría de Números;Álgebra
00000000004277,"Biotecnologia  para la producción agropecuaria;Manejo sostenible de subproductos agropecuarios;Nutrición y Sanidad  animal;Sistemas  Intergrados de producción;Uso, manejo y conservaciòn de  suelos de ladera"
00000000002178,Antropolgía Biocultural;Antropología y Género;Cultura y Desarrollo;Salud ambiental
00000000009075,Construcción de saberes y procesos de formación;Estudios del desarrollo humano y social
00000000010009,"Enseñanza de la tecnologia;Ingenieria Biomedica;Procesamiento digital de señales e imagenes;Automatización de procesos industriales;Energías renovables;Ingeniería Aeronáutica y Aviación;Instrumentación Industrial;Modelado, Simulación y Análisis de Sistemas Dinámicos"
00000000001221,"Estudios Interdisciplinares, Aplicaciones Tecnológicas y Evaluación en Psicología;Gestión de Organizaciones;Salud mental y educción, Estado  y Ciudadanía;Sujeto, Violencias y Lazo Social"
00000000007096,"Apropiación Social de la Ciencia y la Tecnología para la transformación productiva, internacionalización y acción climática;Ciudades y territorios inteligentes;Economía Circular, Bioeconomía, ecosistemas naturales, territorios sostenibles;Gestión del conocimiento y la innovación;Soberanía sanitaria y bienestar social;Soluciones TIC de alto impacto en agricultura, agricultura de precisión, agroindustria y medio ambiente;Tecnologías 4.0 para la salud, educación y el bienestar social;Tecnologías inmersivas para la educación y el entretenimiento"
00000000015254,"Aseguramiento de la calidad en la prestación de servicios de salud;Bienestar físico, Mental y Social, Salud Ambiental y Seguridad laboral;Bio y nanotecnología;Ciencias básicas;Contabilidad, finanzas y desarrollo empresarial;Desarrollo de estrategias digitales interactivas para la sensibilización sobre problemáticas del territorio;Desarrollo de tecnologías virtuales interactivas para el fomento de la apropiación patrimonial y el turismo;Desarrollo turístico territorial;Dinamización y desarrollo de nuevos mercados;Diseño y Desarrollo de aplicaciones para dispositivos móviles;Electrónica y telecomunicaciones;Gestión de mercados y estrategias de Marketing;Identidad gastronómica regional;Ingeniería de software;Ingeniería y diseño;Modelos teóricos y metodológicos de administración y gestión de Archivos;Métodos y procesos para el desarrollo de contenidos digitales como apoyo a procesos interdisciplinarios;Negociación Internacional;Negocios Verdes - Economía circular;Patrimonio Gastronómico;Promoción de la salud, prevención de la enfermedad, apoyo terapéutico y rehabilitación;Tecnologías de la Información y las Comunicaciones (TIC) en la gestión documental;Tecnologías de la información y las comunicaciones (TIC) y Herramientas 4.0 en la gestión Administrativa, Financiera, mercados y logística;Tecnologías para la prestación de los servicios de salud y ambientes simulados;Turismo Cultura y Región"
00000000017064,"Conflicto, políticas públicas y gestión social;Democracia e Instituciones Políticas;Epistemología de la Ciencia Política;Gobierno y políticas públicas;Literatura, arte e interculturalidad"
00000000008591,"CREACIÓN, COGNICIÓN MUSICAL  Y PRODUCCIÓN SONORA;MÚSICA, HISTORIA Y CONTEXTOS CULTURALES;PEDAGOGÍA, TEORÍA Y TECNOLOGÍA MUSICAL"
00000000006312,Educación Económica y Financiera;Eficiencia y Medición del Desempeño;Microfinanzas;Nueva Gestión Pública;Sistemas de Control de Gestión;Valoración de Empresas
00000000003625,Apropiación social de enfoques de Gestión de Conocimiento;Enfoques de Gestión de Conocimiento a nivel organizacional y territorial;Gestión de la innovación y la tecnología;Nuevas Formas Organizacionales de la Competitividad Regional - Dinámicas UEES
00000000000619,Bacteriología;Entomología;Infectología;Micología;Neurología Tropical;Parasitología Humana y Animal;Salud pública;Virología
00000000001014,COMPRENSIÓN Y PRODUCCIÓN DISCURSIVA;DIDÁCTICA DE LA LECTURA Y LA ESCRITURA;LECTURA Y ESCRITURA;NUEVAS TECNOLOGÍAS Y PROCESOS LECTORES Y ESCRITORES
00000000020815,Epidemiología molecular;Patología Molecular;TICs en salud
00000000008151,Espectroscopia Lidar;Interaccion laser con los materiales: EXPANSION DE FASES NORMALES CREADAS CON LASER EN HTSC;Laser y Aplicaciones;Metrología Óptica;Procesamiento Óptico Digital de Imagenes;Telecomunicaciones Opticas;Óptica Biomédica
00000000008155,Biomateriales;Materiales Electrocerámicos;Nanotecnología: Uso de las nanopartículas en la agricultura y en remediación medioambiental;Recubrimientos cerámicos e híbridos;Síntesis y Procesamiento Cerámico
00000000002127,Baterías;Desarrollo de metodologías analíticas verdes;Electroanálisis;Electroquímica de compuestos orgánicos;Electrosíntesis;Membranas
00000000003212,"Culturas, lenguas y educación;Estudios regionales, conflicto y diferencia cultural;Estudios Cognitivos y Culturales;Etnografías del patrimonio"
00000000004639,IDENTIDAD Y SOCIALIZACIÓN;PROCESOS FORMATIVOS Y CONSTRUCCIÓN CURRICULAR;SALUD Y VIDA
00000000003965,"Caracterización y desarrollo de nuevos productos derivados de biomoléculas;Desarrollo agroindustrial en productos apicolas;Manejo postcosecha y procesado mínimo de productos vegetales;Producción, caracterización y desarrollo de empaques biodegradables a partir de biomoleculas de interes agroindustrial"
00000000005833,Automatización y control;Materiales e ingeniería sostenible;Robótica e inteligencia computacional
00000000002153,Señales y Sistemas de Telecomunicaciones
00000000008431,ADMINISTRACION Y DE LAS ORGANIZACIONES Y EMPRENDIMIENTO;LINEA DE INVESTIGACION EN CIENCIAS SOCIALES
00000000009220,Culturas ancestrales - comunicación visual - diseño editorial y tipográfico;Decolonialidad;Historia del Arte y el diseño Latinoamericanos
00000000007399,Sistemas de Comunicaciones Móviles e Inalámbricos
00000000018223,Innovación e Ingeniería Aplicada a procesos;Productividad
00000000015675,Sistemas telemáticos inteligentes
