idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,autores
00000000002156,True,Revista de divulgación,"Sedimentabilidad de partículas floculentas en aguas con alto contenido de color y baja turbiedad, coaguladas con FeCl3 + PAC versus PAC",Colombia,TecnoLógicas,2256-5337,2021,24,51,,"MARIA CRISTINA LEDEZMA MUNOZ, JAVIER ERNESTO FERNANDEZ MERA, LADY SUSANA MONTENEGRO ARBOLEDA, JEFFREY ALEXANDER YANZA LOPEZ"
00000000015873,True,Revista de divulgación,Venezuela: ¿cómo entender las movilizaciones por el revocatorio?,Colombia,Razon Publica,2145-0439,2016,,,1 - 5,"SERGIO ANGEL BAQUERO, SCARLETTE NASTASSJA ROJAS SILVA"
00000000004257,True,Revista de divulgación,Intoxicación por paraquat y uso de terapias de remoción extracorpórea: reporte de 7 casos y revisión de la literatura,,Acta Colombiana de Cuidado Intensivo,0122-7262,2019,48,2,1 - 11,"DAVID ANDRES BALLESTEROS CASTRO, ANDRES MAURICIO SOTO OVIEDO, JULIAN ANDRES MURILLO PALACIOS"
00000000004257,True,Revista de divulgación,Análisis del estado nutricional del yodo en Colombia y la necesidad de modificar niveles de yodación universal de la sal,Colombia,Revista Colombiana De Endocrinologia Diabetes Metabolismo,2389-9786,2020,7,2,87 - 97,"LUIS EDUARDO RAMIREZ BEJARANO, HERNANDO VARGAS URICOCHEA"
00000000004257,True,Revista de divulgación,"Recomendaciones del panel de expertos sobre la fisiopatología, diagnóstico y tratamiento de las dislipidemias en la población adulta",Colombia,Revista Colombiana De Endocrinologia Diabetes Metabolismo,2389-9786,2020,7,1S,4 - 31,HERNANDO VARGAS URICOCHEA
00000000004257,True,Revista de divulgación,Epidemiología del hipotiroidismo en Colombia ¿en qué estamos y qué sabemos al respecto?,Colombia,Revista Colombiana De Endocrinologia Diabetes Metabolismo,2389-9786,2020,7,4,274 - 278,HERNANDO VARGAS URICOCHEA
00000000004257,True,Revista de divulgación,"Hipotiroidismo espontáneo del adulto en Colombia, es tiempo de investigar",Colombia,Revista Colombiana De Endocrinologia Diabetes Metabolismo,2389-9786,2020,7,4,1 - 3,HERNANDO VARGAS URICOCHEA
00000000004257,True,Revista de divulgación,Iodine Intake and Cancer,Estados Unidos,Universal Journal of Pharmaceutical Research,2456-8058,2021,6,3,68 - 76,HERNANDO VARGAS URICOCHEA
00000000016909,True,Revista de divulgación,Conceptualización de la función social y ecológica de la propiedad privada,Colombia,RENACER JURÍDICO,2590-6712,2018,2018,,3 - 11,JULIAN ANDRES GUTIERREZ PISSO
00000000011727,True,Revista de divulgación,La especificidad de lo rural y su funcionalidad en el sistema capitalista. El papel del campesinado y los movimientos sociales campesinos.,México,"A&H, Revista de Artes, Humanidades y Ciencias Sociales",2448-5764,2020,12,,155 - 170,KELLY GIOVANNA MUNOZ BALCAZAR
00000000011727,True,Revista de divulgación,Prosa de ficción y subjevidad: el caso de la mulata Gertrudis,Chile,Revista Laboratorio,0718-7467,2020,22,,1 - 20,ADRIANA DEL ROCIO HERNANDEZ YASNO
00000000011727,True,Revista de divulgación,Prosa de ficción y subjetividad: un proceso sociocultural en la coloni,Chile,Revista Laboratorio,0718-7467,2020,1,1,1 - 10,ADRIANA DEL ROCIO HERNANDEZ YASNO
00000000002192,True,Revista de divulgación,RedPacíficoCyT: Una propuesta de articulación interregional.,Colombia,Colombia Ciencia Y Tecnología,0120-5595,2002,19,,31 - 40,GUILLERMO ENRIQUE SANTACRUZ RUIZ
00000000002192,True,Periódico de noticias,Economia y Sociedad Colombiana,Colombia,Peródico De Pensamiento Universitario Para La Sociedad. Universidad Del Cauca.,1909-3195,2007,1,,8 - 10,OLGA LUCIA CADENA DURAN
00000000002192,True,Revista de divulgación,La maldición de las pirámides,Colombia,Peródico De Pensamiento Universitario Para La Sociedad. Universidad Del Cauca.,1909-3195,2009,4,,8 - 9,OLGA LUCIA CADENA DURAN
00000000002192,True,Periódico de noticias,Popayán una ciudad marginada. Periferias invisibles,Colombia,Diario El Liberal,0121-9022,2011,1,,7 - 7,KELLY GIOVANNA MUNOZ BALCAZAR
00000000002192,True,Revista de divulgación,"San Gregorio Atlapulco y Santa Cruz Acalpixca, la ruralidad como autoafirmación",México,La Jornada,0188-2392,2011,44,,11 - 11,KELLY GIOVANNA MUNOZ BALCAZAR
00000000002192,True,Periódico de noticias,EL SINDROME DE BURNOUT EN PROFESORES UNIVERSITARIOS DE LOS SECTORES PUBLICO Y PRIVADO,Colombia,Epidemiologia Y Salud,2250-7663,2012,1,2,19 - 24,ZAMANDA CORREA CORREA
00000000002192,True,Periódico de noticias,El café del Cauca y del Valle se exporta a todos los continentes,Colombia,Diario El Liberal,0121-9022,2014,2014,,10 - 11,JHONATAN ALEXANDER MORENO DELACRUZ
00000000002192,True,Periódico de noticias,La educación como factor de movilidad social,Colombia,Diario El Liberal,0121-9022,2014,2014,,12 - 12,JHONATAN ALEXANDER MORENO DELACRUZ
00000000002192,True,Revista de divulgación,"Construyendo territorios, construyendo geografías. Una mirada a la construcción de territorio en el corregimiento de Pance, Cali ¿ Colombia",Colombia,Entorno Geogràfico,2382-3518,2015,11,,46 - 67,"WILSON NOE GARCES AGUILAR, LINA JULIANA ROBAYO CORAL"
00000000002192,True,Revista de divulgación,Resistencia indígena y conflicto armado en el municipio de Toribio,España,Trama & Fondo,1137-4802,2017,43,,169 - 180,BERNARDO JAVIER TOBAR QUITIAQUEZ
00000000002192,True,Revista de divulgación,Carrozas carnavalescas,Colombia,Credencial Historia,0121-3296,2017,1,,9 - 16,BERNARDO JAVIER TOBAR QUITIAQUEZ
00000000002192,True,Revista de divulgación,DEPRESSION AMONG PATIENTS WITH TUBERCULOSIS IN A REGION OF PERU: A CROSS-SECTIONAL STUDY,Perú,Revista De Investigación De La Universidad Norbert Wiener,2218-9254,2019,8,,43 - 51,"CESAR ANTONIO BONILLA ASALDE, ISABEL CRISTINA RIVERA LOZADA, ORIANA RIVERA LOZADA"
00000000002192,True,Revista de divulgación,"La tercera izquierda latinoamericana: Una apuesta política-territorial para el Departamento del Cauca, Colombia",Colombia,Perspectivas,2011-7345,2019,11,1,42 - 46,JHONATAN ALEXANDER MORENO DELACRUZ
00000000011727,True,Revista de divulgación,Aprendizaje organizacional y compettitividad desde la gestión Estratégica del talento humano,Colombia,Conciencia Revista Multidisciplinaria,2256-1625,2019,9,,60 - 69,"DIANA LUCIA FRANCO MUNOZ, LAURA PATRICIA LEGARDA BURBANO, NEYLA LUCELY GOMEZ GUAMANGA"
00000000002192,True,Revista de divulgación,Apuntes sobre ambiente y cultura: para una interpretación holística de la vida,Colombia,Ruta Minera,2590-5724,2020,3,,32 - 41,OLGA LUCIA CADENA DURAN
00000000002192,True,Revista de divulgación,Democracias por venir y mundos por construir en el escenario posconflicto colombiano,Ecuador,Ecuador Debate,2528-7761,2020,20,,125 - 137,BERNARDO JAVIER TOBAR QUITIAQUEZ
00000000002192,True,Revista de divulgación,"Spatiality, temporality and ontology. Constraints for the restitution of indigenous peoples territorial rights in Colombia",Reino Unido,Alternautas. (Re)Searching Development: The Abya Yala Chapter,2057-4924,2020,7,1,47 - 61,YIRA CARMINA LAZALA SILVA HERNANDEZ
00000000002192,True,Revista de divulgación,Construcción de la Escala de Bienestar Psicológico para niños en instituciones educativas públicas del Perú,,FIDES ET RATIO,2411-0035,2021,22,22,67 - 89,"ISABEL CRISTINA RIVERA LOZADA, ORIANA RIVERA LOZADA, CESAR ANTONIO BONILLA ASALDE"
00000000015873,True,Revista de divulgación,Concepto Contemporáneo del Derecho a la Tutela Judicial Efectiva,Colombia,Garantismo Procesal Ii,2248-7883,2014,7,1,154 - 171,JULIAN ANDRES ROMERO ANTE
00000000004257,True,Revista de divulgación,"Microfotografía: generalidades en la matriz extracelular, colágeno y piel",Colombia,Morfolia,2011-9860,2018,10,3,26 - 46,"LUISA FERNANDA ZUNIGA CERON, JHAN SEBASTIAN SAAVEDRA TORRES"
00000000004257,True,Revista de divulgación,Demencia de Alzheimer: un problema creciente en las ciencias médicas,Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,446,,1 - 15,"PAOLA ANDREA YASNO NAVIA, LUISA FERNANDA ZUNIGA CERON, WILMER JAIR DIAZ CORDOBA, JHAN SEBASTIAN SAAVEDRA TORRES, TOMAS OMAR ZAMORA BASTIDAS"
00000000015873,True,Revista de divulgación,El plebiscito que no fue: refrendación popular de la paz en perspectiva comparada,Colombia,Razon Publica,1657-1002,2016,,,1 - 5,"SERGIO ANGEL BAQUERO, NICOLAS ALEJANDRO LIENDO"
00000000015873,True,Revista de divulgación,¿Cómo será la cultura ciudadana en la era Peñalosa?,Colombia,Razon Publica,1657-1002,2016,,,1 - 5,"SERGIO ANGEL BAQUERO, SCARLETTE NASTASSJA ROJAS SILVA"
00000000004257,True,Revista de divulgación,Enfoque diagnóstico de la enfermedad arterial periférica de extremidad inferior,Colombia,Morfolia,2011-9860,2016,8,1,60 - 76,JHAN SEBASTIAN SAAVEDRA TORRES
00000000004257,True,Revista de divulgación,Probióticos: microorganismos que previenen enfermedades en niños,Colombia,Morfolia,2011-9860,2016,8,2,44 - 51,"CAROLINA SALGUERO BERMUDEZ, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON"
00000000004257,True,Revista de divulgación,La abrumadora evidencia en la patología cardiovascular,Colombia,Morfolia,2011-9860,2016,8,2,25 - 36,JHAN SEBASTIAN SAAVEDRA TORRES
00000000015873,True,Revista de divulgación,Vivencias discriminatorias según colombianas y paraguayas radicadas en Ecuador y Brasil,Brasil,Travessia Revista Do Migrante,0103-5576,2016,29,1,79 - 100,"ELIZABETH RUANO IBARRA, PATRICIA MARTUSCHELLI NABUCO"
00000000015873,True,Revista de divulgación,¿Qué hacer con los habitantes de calle en Bogotá?,Colombia,Razon Publica,1657-1002,2016,,,1 - 5,"SERGIO ANGEL BAQUERO, NICOLAS PENA ARIZA"
00000000004257,True,Revista de divulgación,Los probióticos: microorganismos vivos que previenen enfermedades en adultos y niños,Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2016,38,3,247 - 263,JHAN SEBASTIAN SAAVEDRA TORRES
00000000004257,True,Revista de divulgación,GENERALIDADES DELA ENFERMEDAD DE ALZHEIMER: EJEMPLOS DE HISTOPATOLOGÍA.,Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,460,,1 - 17,"PAOLA ANDREA YASNO NAVIA, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON, WILMER JAIR DIAZ CORDOBA, TOMAS OMAR ZAMORA BASTIDAS"
00000000004257,True,Revista de divulgación,UNA BREVE LECTURA DE LA ENFERMEDAD DE ALZHEIMER,Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,459,,1 - 10,"PAOLA ANDREA YASNO NAVIA, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON, WILMER JAIR DIAZ CORDOBA, TOMAS OMAR ZAMORA BASTIDAS"
00000000004257,True,Revista de divulgación,Cáncer y mitocondria: un aspecto central para el desarrollo y crecimiento tumoral,Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,39,1,17 - 35,JHAN SEBASTIAN SAAVEDRA TORRES
00000000004257,True,Revista de divulgación,¿Ser o no ser? La aterosclerosis un proceso infeccioso,Colombia,Morfolia,2011-9860,2017,9,3,69 - 74,"JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON"
00000000004257,True,Revista de divulgación,Enfermedad De Alzheimer: Una Enfermedad Que Necesita Urgentemente Buscar Fármacos Más Efectivos,Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,458,,1 - 7,"PAOLA ANDREA YASNO NAVIA, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON, WILMER JAIR DIAZ CORDOBA, TOMAS OMAR ZAMORA BASTIDAS"
00000000004257,True,Revista de divulgación,LOS AGENTES INFECCIOSOS RELACIONADOS CON LA ATEROSCLEROSIS.,Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,486,,,"PAOLA ANDREA YASNO NAVIA, LUISA FERNANDA ZUNIGA CERON, JHAN SEBASTIAN SAAVEDRA TORRES, WILMER JAIR DIAZ CORDOBA, NELSON ADOLFO LOPEZ GARZON, MARIA VIRGINIA PINZON FERNANDEZ, CAROLINA SALGUERO BERMUDEZ"
00000000004257,True,Revista de divulgación,MODIFICACIONES EN EL CURSO CLÍNICO DE LA FIBRILACIÓN AURICULAR Y LAS VARIACIONES EN EL ÍNDICE DE MASA CORPORAL.,Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,478,,1 - 9,"PAOLA ANDREA YASNO NAVIA, JHAN SEBASTIAN SAAVEDRA TORRES, WILMER JAIR DIAZ CORDOBA, LUISA FERNANDA ZUNIGA CERON, NELSON ADOLFO LOPEZ GARZON, MARIA VIRGINIA PINZON FERNANDEZ"
00000000004257,True,Revista de divulgación,"EL MICROBIOMA HUMANO, UNA BIOLOGÍA ÚNICA QUE CONTRIBUYE EN NUESTRO DESARROLLO FISIOLÓGICO, ORGÁNICO Y METABÓLICO.",Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,476,,1 - 13,"PAOLA ANDREA YASNO NAVIA, LUISA FERNANDA ZUNIGA CERON, JHAN SEBASTIAN SAAVEDRA TORRES, WILMER JAIR DIAZ CORDOBA, MARIA VIRGINIA PINZON FERNANDEZ"
00000000004257,True,Revista de divulgación,MICROORGANISMOS VIVOS QUE PREVIENEN ENFERMEDADES,Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,491,,,"PAOLA ANDREA YASNO NAVIA, LUISA FERNANDA ZUNIGA CERON, JHAN SEBASTIAN SAAVEDRA TORRES, WILMER JAIR DIAZ CORDOBA, NELSON ADOLFO LOPEZ GARZON, MARIA VIRGINIA PINZON FERNANDEZ, CAROLINA SALGUERO BERMUDEZ"
00000000015873,True,Revista de divulgación,"Construyendo territorios, construyendo geografías. Una mirada a la construcción de territorio en el corregimiento de Pance, Cali ¿ Colombia",Colombia,Entorno Geogràfico,2382-3518,2015,11,,46 - 67,"WILSON NOE GARCES AGUILAR, LINA JULIANA ROBAYO CORAL"
00000000015873,True,Revista de divulgación,Participação e representação na 1ª Conferência sobre Migrações e Refúgio no Distrito Federal,Brasil,Travessia Revista Do Migrante,0103-5576,2014,2,,125 - 132,"ELIZABETH RUANO IBARRA, TUILA BOTEGA"
00000000004257,True,Revista de divulgación,"EL ROL DEL ESTRÉS EN PACIENTES VIH, REPORTE DE UN CASO",Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,579,,,"PAOLA ANDREA YASNO NAVIA, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON, MARIA VIRGINIA PINZON FERNANDEZ, NELSON ADOLFO LOPEZ GARZON, CAROLINA SALGUERO BERMUDEZ"
00000000004257,True,Revista de divulgación,"SERIE DE CASOS: ESCLERODERMIA SISTÉMICA DISEMINADA, EVIDENCIA ACTUAL DE LA FISIOPATOLOGÍA QUE SE REESCRIBE",Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,580,,,"PAOLA ANDREA YASNO NAVIA, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON, MARIA VIRGINIA PINZON FERNANDEZ, NELSON ADOLFO LOPEZ GARZON, CAROLINA SALGUERO BERMUDEZ"
00000000004257,True,Revista de divulgación,AGENTES INFECCIOSOS RELACIONADOS CON LA ATEROSCLEROSIS: SOMBRAS QUE DEBEN SER ACLARADAS,Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,581,,1 - 1,"PAOLA ANDREA YASNO NAVIA, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON, MARIA VIRGINIA PINZON FERNANDEZ, NELSON ADOLFO LOPEZ GARZON, CAROLINA SALGUERO BERMUDEZ"
00000000004257,True,Revista de divulgación,BIOLOGÍA DE SISTEMAS EN LOS MECANISMOS ANTI-INFLAMATORIOS EN LA SEPSIS,Colombia,Revista Medica / Academia Nacional De Medicina,0121-7380,2017,576,,,"PAOLA ANDREA YASNO NAVIA, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON, CAROLINA SALGUERO BERMUDEZ, MARIA VIRGINIA PINZON FERNANDEZ, NELSON ADOLFO LOPEZ GARZON"
00000000015758,True,Revista de divulgación,"Caracterización económica del sector cafetero en el departamento del Cauca, Colombia, 2009 - 2014",Colombia,Perspectivas,2011-7345,2014,6,1,79 - 92,JHONATAN ALEXANDER MORENO DELACRUZ
00000000015758,True,Revista de divulgación,Del comercio justo al comercio adecuado: deconstrucción de la lógica económica,Colombia,Perspectivas,2011-7345,2016,8,1,25 - 32,"JHONATAN ALEXANDER MORENO DELACRUZ, EZEQUIEL CADAVID HERNANDEZ"
