idgruplac,verificado,tipo,nombre,lugar,fecha,isbn,volumen,paginas,editorial,autores
00000000002184,False,Otro libro publicado,"El Proceso En Red, Una Opción Para Construir Tejido Social",Colombia,2009,978-958-732-031-2,100,205,SELLO EDITORIAL UNIVERSIDAD DEL CAUCA,STELLA PINO SALAMANCA
00000000002184,False,Otro libro publicado,La formación Humana en la Educación Superior. Reflexiones para recrear las estructuras curriculares y repensar las prácticas pedagógicas,Colombia,2006,958972162,1,132,Editorial Buenaventuriana USB - Cali,"ROBERT ALFREDO EUSCATEGUI PACHON, STELLA PINO SALAMANCA, AIDA JOSEFINA ROJAS"
00000000008159,False,Otro libro publicado,"Blick Aus Dem Weltraum - Düsseldorf Im Satellitenbild, Aus: Düsseldorf Atlas",Alemania,2004,1397838973,,224,Emons Verlag,"VOLKER HECK, CLEMENS VON LOOZ CORWAREM, BIRGIT MOTAG, HELMUT SCHNEIDER, DOROTHEA WIKTORIN, LINDER W, GUNTHER GLEBE"
00000000008159,False,Libro pedagógico y/o de divulgación,Libro de resumenes III congreso colombiano de botánica,Colombia,2004,,1,405,Universidad del Cauca,"DIEGO JESUS MACIAS PINTO, BERNARDO RAMIRO RAMIREZ PADILLA, GIOVANNI VARONA BALCAZAR"
00000000008160,False,Otro libro publicado,Aplicaciones en Unix,Colombia,2000,,,300,Editorial De La Universidad Del Cauca,JOSE LUIS ARCINIEGAS HERRERA
00000000007827,False,Otro libro publicado,Simulacion De Sistemas De Telecomunicaciones,Colombia,2007,978-958-44-2583-6,300,150,"Padilla Bejarano, Ferney",EVELIO ASTAIZA HOYOS
00000000003853,False,Otro libro publicado,Catalogo De Hormigas Presentes En El Museo De Historia Natural Universidad Del Cauca,Colombia,2007,9584405012,1,60,Universidad del Cauca,"GISELLE ZAMBRANO GONZALEZ, VIVIAN ELIANA SANDOVAL"
00000000002146,False,Otro libro publicado,Manual de Biología Molecular - Procedimientos Básicos,Colombia,2017,978-958-8958-31-6,,,Universitaria,IVAN DARIO OTERO RAMIREZ
00000000002146,False,Otro libro publicado,Introducción A La Fermentación De Sustrato Sólido,Colombia,2010,9789587320572,200,103,Taller Editorial Universidad Del Cauca,"SILVIO ANDRES MOSQUERA SANCHEZ, JOSE LUIS HOYOS CONCHA, JESUS EDUARDO BRAVO GOMEZ"
00000000002146,False,Otro libro publicado,Fundamentos De Sanidad Vegetal Y Cultivos In Vitro,Colombia,2007,9589451454,1,94,Universidad del Cauca,"CLARA LUZ FORERO GOMEZ, DEYA AMPARO PEREZ ZUNIGA"
00000000002146,False,Otro libro publicado,La termodinámica en la Agroindustria,Colombia,2005,,,1,Universidad del Cauca,"SILVIO ANDRES MOSQUERA SANCHEZ, JOSE FERNANDO GRASS, DEYANIRA MUNOZ"
00000000002146,False,Libro pedagógico y/o de divulgación," Fermentación de Sustrato Sólido. Aspectos Generales, Microbiológicos y Bioquímicos",Colombia,2005,978-958-9475-88-1,,1,No Aplica,JOSE LUIS HOYOS CONCHA
00000000002191,False,Otro libro publicado,Agroquímica: Estudio de los nutrientes esenciales en la producción agrícola. En Proceso,Colombia,2002,,1,330,No Aplica,EFREN GIRALDO RINCON
00000000004407,False,Otro libro publicado,"Políticas públicas, sostenibilidad y gobernanza del agua en la cuenca alta del Río Cauca",Colombia,2018,02A-2018-04,,,Editorial Universidad Del Cauca,RAUL HERNANDO CORTES LANDAZURY
00000000000625,False,Otro libro publicado,Evaluaciòn Financiera De Proyectos,Colombia,2007,978-958-44-1575-2,100,1,Taller Editorial Universidad Del Cauca,"CARLOS ALBERTO GONZALEZ CALLEJAS, JUAN MIGUEL VILLA, MARTHA LUCIA SANCLEMENTE"
00000000000625,False,Otro libro publicado,Estadìstica Con Spss,Colombia,2007,978-958-44-1123-5,100,1,Taller Editorial Universidad Del Cauca,"CARLOS ALBERTO GONZALEZ CALLEJAS, JUAN MIGUEL VILLA, MARTHA LUCIA SANCLEMENTE"
00000000002140,False,Otro libro publicado,Manual De Laboratorio Biologia Celular Y Molecular,Colombia,2006,978-958-9451-39-7,1,52,No Aplica,CLAUDIA PATRICIA ACOSTA ASTAIZA
00000000008372,False,Otro libro publicado,Razón De Estado,Colombia,2007,978-958-44-0661-3,0,162,Diseño Gráfico e Impresiones,EDGAR DE JESUS VELASQUEZ RIVERA
00000000008372,False,Otro libro publicado,La Biografía,Colombia,2007,978-958-44-0510-4,0,287,Diseño Gráfico e Impresiones,EDGAR DE JESUS VELASQUEZ RIVERA
00000000008372,False,Otro libro publicado,Historias Del Sur,Colombia,2002,958-33-3459-6,0,213,Antropos,EDGAR DE JESUS VELASQUEZ RIVERA
00000000008372,False,Otro libro publicado,Historia Política De Colombia,Colombia,2000,958-33-1758-6,0,290,Antropos,EDGAR DE JESUS VELASQUEZ RIVERA
00000000008372,False,Otro libro publicado,Paz Y Democracia En Colombia Al Final Del Milenio,Colombia,1998,958-95762-2-2,0,225,Antropos,EDGAR DE JESUS VELASQUEZ RIVERA
00000000008372,False,Otro libro publicado,"Estado, Sociedad Y Periferias En Colombia. El Caso De La Amazonia Colombiana: Una Perspectiva Histórica",Colombia,1996,958-95762-1-4,0,133,Apolo,EDGAR DE JESUS VELASQUEZ RIVERA
00000000016547,False,Otro libro publicado,Música para la formación ciudadana. La escucha de la música como experiencia transversal,Colombia,2019,978-958-619-015-2,,,Programa Editorial Universidad Autónoma de Occidente,JUAN DIEGO CASTRILLON CORDOVEZ
00000000008153,False,Otro libro publicado,Memorias XI-Simposio Colombiano de Catálisis,Colombia,2020,2619-6042,,,No Aplica,"ALFONSO ENRIQUE RAMIREZ SANABRIA, CRISTIAN DAVID MIRANDA MUNOZ"
00000000008153,False,Libro pedagógico y/o de divulgación,Quimica inorgánica general,Colombia,2008,,,174,Editorial Universidad Del Cauca,LUIS ALFONSO VARGAS JIMENEZ
00000000008159,False,Otro libro publicado,"Botánica. Generalidades, Morfología y Anatomía de Plantas Superiores",Colombia,2005,978-958-9475-63-8,100,195,Editorial Universidad Del Cauca,"BERNARDO RAMIRO RAMIREZ PADILLA, ROSA INES GOYES ACOSTA"
00000000002726,False,Otro libro publicado,Casa de huesos,Venezuela,2002,980-291-175-5,,,Instituto Merideño de Cultura,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Vida De Nadie,Colombia,2004,9588173817,1,84,FONDO EDITORIAL UNIVERSIDAD EAFIT,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Diario sucio: un viaje por México,Colombia,2015,978-958-58497-4-7,,,Gamar Editores,FELIPE ANDRES GARCIA QUINTERO
