idgruplac,programa,fecha,acto,institucion
00000000000095,Rotación electiva estudiantes de Internado,2006-04-01,Resolución de Aprobación 002479/80,Universidad del Cauca
00000000003369,CURSOS DE EXTENSION EN ACTIVIDADES ACADEMICAS,,XXXX,GRUPO DE ETNOBOTANICOS LATINOAMERICANO
00000000003369,Doctorado Interinstitucional en Ciencias Ambientales,2008-08-29,5641,Universidad Tecnológica De Pereira - Utp
00000000003369,MAESTRIA EN CIENCIAS REC FITOGENET NEOTROPIC,2011-04-02,ACUERDO 023 SNIES 20489,Universidad Nacional De Colombia Sede Palmira
00000000003369,Doctorado en Etnobiología y Estudios Bioculturales,2019-10-16,001,Universidad del Cauca
00000000003369,DOCTORADO EN GESTION AMBIENTAL,2005-04-05,,UNIVERSIDAD DE TEGUCIGALPA HONDURAS
00000000003369,Doctorado en Etnobiología y Estudios Bioculturales,2015-12-16,RESOLUCION CONSEJO SUPERIOR 078 DE 2015,Universidad del Cauca
00000000003369,Doctorado Interinstitucional en Ciencias Ambientales,2013-09-12,RESOLUCION MEN Numero 094,Universidad del Valle
00000000004638,Doctorado en Ciencias Agrarias,2015-10-05,Resolucion 748,Universidad de Caldas
00000000004638,Doctorado en Ciencias Ambientales,2008-08-29,Resolución 5641,Universidad del Cauca
00000000004638,DOCTORADO EN CIENCIAS AGRARIAS Y AGROINDUSTRIALES,2013-04-23,Resolución 020,Universidad del Cauca
00000000008150,Doctorado en Ingeniería Telemática,2008-08-25,"Resolución 5370, Ministerio de Educación Nacional",Universidad Del Cauca - Unicauca
00000000008150,Doctorado en Ciencias Matemáticas,2016-08-12,Resolución No. 16586 (MEN),Universidad Del Cauca - Unicauca
00000000008150,Doctorado en Matemáticas,2010-07-02,Resolucion 5474 Ministerio de Educacion Nacional,Universidad De Antioquia - Udea
00000000008150,Doctorado en Ciencias Matemáticas,2012-12-27,"Resolucion No. 17163, MEN",Universidad Del Valle - Univalle
00000000004277,DOCTORADO EN CIENCIAS AGRARIAS Y AGROINDUSTRIALES,2014-05-14,RESOLUCIÓN 5533 del Ministerio de educación,Universidad del Cauca
00000000002178,Doctorado en Antropología,2008-08-29,Resolucion 5291 de 2005 Min Educacion Nacional,Universidad Del Cauca - Unicauca
00000000002178,Doctorado en Ciencias Ambientales,2008-08-29,Resolución No. 5641,Universidad Del Cauca - Unicauca
00000000002178,Doctorado en Etnobiología y Estudios Bioculturales,2016-06-01,Resolución 10696 del 1 de junio de 2016.Cód.105656,Universidad del Cauca
00000000002178,Doctorado en Ciencias de la Educación,2011-02-28,Resolución 1566 SNIES 7170,Universidad del Cauca
00000000001014,Doctorado en Educación,2011-02-28,resolución 1566,Rudecolombia
00000000008151,Doctorado en Telecomunicaciones Opticas,,,Escuela nacional superior de telecomunicaciones
00000000008151,DOCTORADO EN CIENCIAS - FISICA,,,Universidad Del Valle - Univalle
00000000002127,Doctorado en Ciencias - Química,2016-06-01,10727,Universidad del Cauca
00000000003212,Doctorado en Antropología,2005-11-16,5291 de noviembre 16 de 2005,Universidad Del Cauca - Unicauca
00000000003212,DOCTORADO EN LINGÜÍSTICA,2009-10-26,7838,Universidad De Antioquia - Udea
00000000004639,Doctorado en Ciencias de la Educación,1997-07-08,0401997,Universidad del Cauca
00000000003965,Doctorado en Ciencias Agrarias,2014-04-14,Resol. del Ministerio Nacional de Educación No5533,Universidad del Cauca
00000000002153,Doctorado en Ciencias de la Electrónica,2008-10-24,Resolucion 7224 del Ministerio de Educacion,Universidad Del Cauca - Unicauca
00000000002153,Doctorado en Ciencias de la Electrónica (R),2015-07-14,Resolución 10402 del Ministerio de Educación Nal.,Universidad del Cauca
00000000018223,Doctorado en Educación,2018-06-18,106976,UNIVERSIDAD SANTIAGO DE CALI
00000000015675,Doctorado en Ciencias Ambientales,2015-09-03,13806 del 3 de septiembre de 2015.,Universidad del Cauca
00000000015675,Doctorado en Telemática,2015-05-14,06905 del 14 de mayo de 2015.,Universidad del Cauca
00000000002141,INGENIERIA,,,Universidad Del Valle - Univalle
00000000002141,DOCTORADO EN CIENCIAS BIOMEDICAS,,,Universidad Del Valle - Univalle
00000000002141,Doctorado en Bioingeniería,2016-07-26,037,Universidad del Cauca
00000000014080,Doctorado en Ciencias de la Computación,2020-08-06,014594,Universidad del Cauca
00000000000694,Doctorado en Ciencias de la Electrónica,2008-10-28,Resolución 7224 Ministerio de Educación Nacional,Universidad Del Cauca - Unicauca
00000000000668,Doctorado en Antropología,2004-02-24,Acuerdo del Consejo Superior,Universidad Del Cauca - Unicauca
00000000000668,Doctorado en Ciencias Humanas,2016-03-20,10179,Universidad del Cauca
00000000002726,Doctorado en Ciencias de la Educación,2018-04-09,06107,Universidad del Cauca
00000000002726,Doctorado en Ciencias Humanas,2016-05-20,Resolución N° 10179,Universidad del Cauca
00000000008159,Doctorado en Ciencias Ambientales,2008-11-23,Creacion postgrado DOCTORADO EN CIENCIAS AMBIENTAL,Universidad Del Cauca - Unicauca
00000000008160,Doctorado en Ingeniería Telemática,2008-08-25,Resolución 5370 del MEN,Universidad Del Cauca - Unicauca
00000000008160,Doctorado en Ciencias Ambientales,2008-08-29,Resolución 5641 del MEN,Universidad Del Cauca - Unicauca
00000000002191,Doctorado en Ciencias Ambientales,2008-11-23,Creación Posgrado Doctorado en Ciencias Ambientals,Universidad del Cauca
00000000002191,Doctorado en ciencias Química,2016-06-01,Resolucion 10727,Universidad del Cauca
00000000000625,DOCTORADO EN CIENCIAS AGRARIAS Y AGROINDUSTRIALES,2013-04-23,Acuerdo superior No. 020 de 2013,Universidad del Cauca
00000000001162,Doctorado en Administración,2009-06-05,54686,Universidad del Valle
00000000001162,Doctorado en Etnobiología y Estudios Bioculturales,2016-06-01,Resolución 10696 del 1 de junio de 2016.,Universidad del Cauca
00000000001162,Doctorado en Educación,2017-06-06,Resolución No. 11348 del 06 de Junio de 2017,Universidad Santo Tomás
00000000001162,Doctorado en Educación,2013-04-19,RESOLUC No. 4302 DEL 19 DE ABRIL DE 2013,Universidad de San Buenaventura sede Cali
00000000001162,Doctorado en Antropología,2005-11-16,Resolución 5291 de 16 noviembre de 2005,"Universidad del Cauca, Colombia"
00000000001162,DOCTORADO EN CIENCIAS SOCIALES. NIÑEZ Y JUVENTUD,2008-02-29,Registro Calificado 1163 de febrero 29 de 2008.,Cinde / Universidad De Manizales - Umanizales
00000000016547,Doctorado en Educación,2018-06-18,9765,UNIVERSIDAD SANTIAGO DE CALI
00000000008153,Doctorado en Ciencias Químicas,2016-06-01,Resolución Número 10727,Universidad del Cauca
00000000002192,Doctorado en Etnobiología y Estudios Bioculturales,2015-12-16,Acuerdo Superior No. 078,Universidad del Cauca
00000000002192,Doctorado en Ciencias de la Educación,2011-02-28,1566,Universidad del Quindio
00000000015901,Doctorado en Ingeniería Telemática,2007-11-23,084,Universidad del Cauca
00000000012288,Doctorado en Ciencias de la Educación,2015-06-16,8.5.4-75.1/139,Universidad del Cauca / RUDECOLOMBIA
00000000012288,Doctorado en Ciencias Humanas,2013-04-17,10179 20 de mayo de 2016,Universidad del Cauca
00000000012834,Maestría en Ciencias Matemáticas,2009-11-18,Acuerdo081,Universidad del Cauca
00000000012834,Doctorado en Ciencias Matemáticas,2015-12-16,Acuerdo 079,Universidad del Cauca
00000000002159,Doctorado en Ciencias Ambientales,2008-08-29,Resolución 5641. Ministerion de Educación,Universidad Del Cauca - Unicauca
00000000004672,Doctorado en Etnobiología y Estudios Bioculturales,2016-06-01,10696,Universidad Del Cauca - Unicauca
00000000003792,Doctorado en Ciencias de la Electrónica,2008-10-28,Resolucion 7224,Universidad Del Cauca - Unicauca
00000000003792,Doctorado en Ingeniería,2016-04-06,06295,Universidad Autónoma de Bucaramanga
00000000003792,Doctorado en Ciencias de la Electrónica (R),2015-07-14,Resolución 10402,Universidad del Cauca
00000000003792,Doctorado en Educación,2014-06-06,,Universidad de San Buenaventura - Sede Cali
00000000003792,Doctorado en Ingeniería Informática,2014-07-02,111,Pontificia Universidad Católica de Valparaiso -Chile
00000000002157,Doctorado en Ciencias de la Computación,2020-08-06,14594,Universidad del Cauca
00000000002157,Doctorado en Ciencias de la Electrónica,2008-10-28,7224,Universidad Del Cauca - Unicauca
00000000007099,Doctorado en Ciencias Matemáticas,2016-08-12,Resolución 16586,Universidad del Cauca
00000000012079,Doctorado en Ciencias Ambientales,2008-08-29,Resolución 5641,Universidad Del Cauca - Unicauca
00000000012079,DOCTORADO EN CIENCIAS AGRARIAS Y AGROINDUSTRIA,2014-04-14,RESOLUCIÓN 5533,Universidad del Cauca
00000000007276,Doctorad en ciencias agrarias y agroindustriales,2022-02-21,,Universidad del Cauca
00000000002142,Doctorado en Ciencias Ambientales,2015-09-03,Resolución N° 13806 del 3 de septiembre de 2015,Universidad del Cauca
00000000002142,Doctororado en Etnobiología y Estudios Bioculturales,2015-12-16,Resolución 10696 del 1 de junio de 2016,Universidad del Cauca
00000000000316,Doctorado en Ciencias de la Educación,1997-07-08,0401997,Universidad Del Cauca - Unicauca
00000000000316,CIENCIAS SOCIALES. NIÑEZ Y JUVENTUD,,,Universidad De Manizales - Umanizales
00000000007952,Doctorado en Ciencias Matemáticas,2016-08-12,Resolución No. 16586 (MEN),Universidad Del Cauca - Unicauca
00000000007952,Doctorado en Telemática,2008-08-25,"Resolucion 5370, Ministerio de Educacion Nacional",Universidad Del Cauca - Unicauca
00000000007952,Doctorado en Ciencias Matemáticas,2012-12-27,Resolución No. 17163 MEN,Universidad Del Valle - Univalle
00000000016909,Doctorado en Educación,2008-03-28,078,Universidad Benito Juárez G
00000000011727,Doctorado en Estudios Territoriales,2021-06-18,006169,CIIDER-Universidad de Tlaxcala
00000000011727,Doctorado en Ciencias Sociales y Políticas,2019-08-14,AP242557,Universidad Iberoamericana Ciudad de México
00000000022270,DOCTORADO EN ADMINISTRACIÓN DE NEGOCIOS,2017-11-17,2020-10928,UNIVERSIDAD DE SAN BUENAVENTURA CALI
00000000002175,Doctorado en Antropología,2007-02-05,Resolución 5291 de 2005 del Ministerio de Educació,Universidad del Cauca
00000000002175,Doctor en Etnobiología y Estudios Bioculturales,2016-06-01,Resolución 10696,Universidad Del Cauca - Unicauca
00000000002175,Doctorado en Ciencias Ambientales,2015-09-03,Resolución N° 13806,Universidad Del Cauca - Unicauca
00000000000592,DOCTORADO EN CIENCIAS AGRARIAS Y AGROINDUSTRIALES,2014-04-14,RESOLUCION 5533 DEL MINISTERIO DE EDUCACION,Universidad del Cauca
00000000002135,Ciencias Biomédicas,2010-06-25,Resolución 5252 del Ministerio de Educación,Universidad del Valle
00000000002135,Doctorado en Ciencias Ambientales,2015-09-03,Resolución 13806 del Ministerio de Educación,Universidad del Cauca
00000000002135,Ciencias Biomédicas,2015-10-06,Resolución 14343 de Ministerio de Educación,Universidad Tecnológica de Pereira
00000000004650,Doctorado en Bioingeniería,2015-05-19,Acuerdo superior de Mayo de 2015,Universidad Del Cauca - Unicauca
00000000008152,Doctorado en Ciencias Químicas,2016-06-01,SNIES 105661 Res 10727 del 1 de junio de 2016,Universidad Del Cauca - Unicauca
