idgruplac,verificado,tipo,nombre,lugar,fecha,disponibilidad,nombre_comercial,institucion,autores
00000000005833,True,Planta piloto,Sistema de medición del color del café tostado,Colombia,2018,Restringido,PICAFÉ,CORPORACIÓN UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,DIEGO ANDRES CAMPO CEBALLOS
00000000021496,True,Planta piloto,Planta piloto en el marco del proyecto ¿Modelo de innovación social en el aprovechamiento de residuos sólidos en las veredas la Yunga y Río Hondo en la ciudad de Popayán,Colombia,2020,Restringido,Planta piloto para el aprovechamiento de residuos orgánicos,UNIVERSIDAD DEL CAUCA,"GEHOVELL JULIANA VIDAL PINILLA, CLARA MILENA CONCHA LOZADA, DAYSE DELGADO ERASO"
00000000015901,True,Planta piloto,EcoSecador,Colombia,2019,Restringido,EcoSecador,UNIVERSIDAD DEL CAUCA,"JULIO ANDRES MOSQUERA BOLANOS, JULIAN ANDRES CAICEDO MUNOZ"
00000000015901,True,Planta piloto,"RECICLA, CICLA TRITURADORA DE PLÁSTICO",Colombia,2018,Restringido,"RECICLA, CICLA TRITURADORA DE PLÁSTICO",Institución Educativa Rural Santa Rosa de Lima,"JUAN PABLO DIAGO RODRIGUEZ, YANLIKA AURORA VIDAL PINILLA"
00000000015873,True,Planta piloto,Producción de abonos orgánicos en esquema comunitario en las Veredas la Yunga y Río Hondo en Popayán,Colombia,2019,No restringido,Abono orgánico en esquema comunitario,UNIVERSIDAD DEL CAUCA,"DAYSE DELGADO ERASO, CLARA MILENA CONCHA LOZADA, GEHOVELL JULIANA VIDAL PINILLA"
00000000000592,True,Planta piloto,Planta agroindustrial para el procesamiento de café Universidad del Cauca,Colombia,2014,Restringido,Café Universidad del Cauca - Luz para la Posteridad,UNIVERSIDAD DEL CAUCA,JOSE FERNANDO GRASS RAMIREZ
00000000003965,False,Planta piloto,Planta Piloto de Concentrado Animal en Silvia,Colombia,2014,Restringido,Diseño y distribucion de Planta Piloto,UNIVERSIDAD DEL CAUCA,RICARDO CAMACHO MUNOZ
00000000018223,False,Planta piloto,BIOHOGAR R&amp;D,Colombia,2022,Restringido,MATERIALES DE BIOCONSTRUCCION,FUNDACION UNIVERSITARIA DE POPAYAN,RICHARD MARCELO IMBACHI CHAVEZ
00000000006693,False,Planta piloto,Diseño de la plataforma virtual para el desarrollo del diplomado Virtual en Vacunación,Colombia,2016,Restringido,diplomado Virtual en Vacunación,Secretaria de Salud Departamental de Cauca,ADRIANA LUCIA VALDEZ FERNANDEZ
00000000008516,False,Planta piloto,"Objeto de Aprendizaje-OA, para gestionar reglas del negocio a nivel de la base de datos, utilizando procedimientos almacenados en PostgreSQL",Colombia,2011,Restringido,,No Aplica,FREDY ALONSO VIDAL ALEGRIA
00000000015901,False,Planta piloto,Planta Piloto para la producción de abonos orgánicos en esquema comunitario,Colombia,2020,No restringido,planta piloto,UNIVERSIDAD DEL CAUCA,"CLARA MILENA CONCHA LOZADA, DAYSE DELGADO ERASO, GEHOVELL JULIANA VIDAL PINILLA, BEATRIZ EUGENIA OSPITIA THOLA"
00000000015901,False,Planta piloto,EcoSecador de café,Colombia,2019,Restringido,EcoSecador de café,UNIVERSIDAD DEL CAUCA,"JULIO ANDRES MOSQUERA BOLANOS, JULIAN ANDRES CAICEDO MUNOZ, DIEGO MANUEL DUSSAN MUNOZ"
00000000002129,False,Planta piloto,Planta piloto,Colombia,2004,Restricta,,"Ministerio de Ciencia, Tecnología e Innovación.","RODRIGO ANDRES SARRIA VILLA, GALLO CORREDOR JOSE ANTONIO, ZUNIGA RENE, JHON PALTA"
