idgruplac,programa,fecha,acto,institucion
00000000002156,Maestría en Ingeniería Ambiental,2019-05-22,Acuerdo Superior Nro. 023 de 2019,Universidad del Cauca
00000000002184,MAESTRÍA EDUCACIÓN POPULAR SANTANDER,2014-07-16,11276,Universidad del Cauca
00000000002184,MAESTRÍA EN EDUCACIÓN POPULAR POPAYAN,2015-07-14,11043,Universidad del Cauca
00000000000095,Maestria en Ciencias Biomedicas,2006-03-01,Programa de Maestria en Ciencias Biomedicas,Universidad del Cauca
00000000000095,Especialización en Pediatría,1998-04-06,Acuerdo 035 del 24 de junio de 1992,Universidad del Cauca
00000000000095,Rotación electiva estudiantes de internado,2006-04-01,resolución de aprobación 002479/80,Universidad del Cauca
00000000003369,Maestría en Biología,2015-06-09,08328,Universidad Del Cauca - Unicauca
00000000003369,MAESTRIA EN RECURSOS FITOGENETICOS,,,UNIVERSIDAD NACIONAL SEDE PALMIRA
00000000003369,DOCTORADO EN CIENCIAS AMBIENTALES,,,Universidad del Cauca
00000000004638,CIENCIAS AGROPECUARIAS - AREA AGRARIA,,,Universidad Nacional De Colombia
00000000004638,Maestría en Ciencias Agroindustriales,2014-12-03,Acuerdo 063,Universidad del Cauca
00000000004638,Maestria en Ciencias: Quimica,2010-11-22,Resolución 10202,Universidad del Cauca
00000000008150,Maestría en Matemáticas,1997-05-27,Acuerdo 0096,Universidad de Antioquia
00000000008150,Maestría en Ciencias Matemáticas,2007-11-09,Resolucion No. 6822 MEN,Universidad del Valle
00000000008150,Maestría en Ingeniería Telemática,,,Universidad del Cauca
00000000008150,Maestría en Ciencias Matemáticas,2010-06-24,Resolucion No. 5119 MInisterio Educacion Nacional,Universidad del Cauca
00000000004277,MAESTRIA EN CIENCIAS AGRARIAS,2015-07-06,09745 Registro calificado,Universidad del Cauca
00000000002178,Maestria en Antropologia Juridica,,,Universidad del Cauca
00000000010009,Maestría en Ingeniería Física,2005-11-08,Acuerdo 083 del 8 de noviembre de 2005,Universidad del Cauca
00000000017064,Maestría en Gobierno y Políticas Públicas,2016-01-14,Resolución No 00403,Universidad del Cauca
00000000008591,Maestría en Música,2015-05-14,Snies 104526,Universidad del Cauca
00000000006312,Maestría en Contabilidad y Finanzas,2015-02-03,01332,Universidad del Cauca
