idgruplac,verificado,tipo,nombre,lugar,fecha,disponibilidad,institucion,autores
00000000004650,True,Industrial,Propioceptometro DLJ,Colombia,2008,Irrestricta,UNIVERSIDAD DEL CAUCA,NANCY JANNETH MOLANO TOBAR
00000000000694,True,Industrial,Automatización de Procesos con Profibus y Wonderware Suite 2000,Colombia,2001,Restricta,UNIVERSIDAD DEL CAUCA,"OSCAR AMAURY ROJAS ALVARADO, JUAN BERNARDO GUZMAN"
00000000008160,True,Industrial,CTD: Concentrador Telefónico Digital. Prototipo Industrial,Colombia,1994,Restricta,"Ministerio de Ciencia, Tecnología e Innovación.","ADOLFO PLAZAS TENORIO, RAFAEL RENGIFO PRADO, RODRIGO ALBERTO CERON MARTINEZ, EDUARDO ROJAS PINEDA, CARLOS ARTURO LEON ROA"
00000000008160,True,Industrial,Concentrador Telefónico Digital. CTD,Colombia,1994,Restricta,"Ministerio de Ciencia, Tecnología e Innovación.","FERNANDO ANTONIO ARISTIZABAL OSSA, EDUARDO ROJAS PINEDA, ADOLFO PLAZAS TENORIO, RODRIGO ALBERTO CERON MARTINEZ, CARLOS ARTURO LEON R, MARIO ANDRES VERGARA E, GUSTAVO CASTELLANOS, EUGENIO TAMURA"
00000000015873,True,Industrial,"SERICINA EN CONTEXTO DE SERICULTURA EN EL DEPARTAMENTO DEL CAUCA, COLOMBIA",Colombia,2020,Restringido,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,DAYSE DELGADO ERASO
00000000022270,True,Industrial,Empaque compostable para snacks funcionales YELLOW FOODS,Colombia,2020,Restringido,YELLOW FOODS SAS,"LAURA VICTORIA LEON CASANOVA, HECTOR SAMUEL VILLADA CASTILLO, CARLOS ARTURO LEON ROA, CLAUDIA MARITZA GAMBOA FRANCO"
00000000008160,True,Industrial,Control Electrónico de Armarios para la Red Telef,Colombia,1996,Restricta,Empresas Públicas De Pereira,"FABIO ERNESTO TRUJILLO CERON, IVAN HERNANDEZ DELGADO, JOSE FERNAN MARTINEZ ORTEGA, EDUARDO ROJAS PINEDA, CARLOS ENRIQUE SERRANO CASTANO, RODRIGO ALBERTO CERON MARTINEZ"
00000000008160,True,Servicios,SMART-900 Plataforma para la Prestacion de Servicios de Red Inteligente,Colombia,2002,Restricta,Empresa de Telecomunicaciones de Armenia TELEARMENIA ESP,IVAN EDUARDO HERNANDEZ DELGADO
00000000008160,True,Servicios,GRID DTN y un CLUSTER ubicados en dos capas diferentes para la distribución de servicios educativos utilizados en el entoro CPE (Computadores para Educar) - Unicauca,Colombia,2008,Restringido,Computadores para Educar,CRISTHIAN NICOLAS FIGUEROA MARTINEZ
00000000008160,True,Industrial,NFC Interactive Panel,España,2008,Restringido,UNIVERSIDAD CARLOS III DE MADRID,"MARIO MUNOZ ORGANERO, CARLOS DELGADO KLOOS, ANGELA CHANTRE ASTAIZA, GUSTAVO ADOLFO RAMIREZ GONZALEZ"
