idgruplac,verificado,tipo,nombre,lugar,fecha,disponibilidad,url,nombre_comercial,nombre_proyecto,institucion,autores
00000000008516,True,Computacional,TOPOLOGIAS DE RED,Colombia,2012,Restringido,Colegio Mayor Del Cauca - Institución Universitaria,,,Colegio Mayor Del Cauca - Institución Universitaria,"ALBERTO BRAVO BUCHELY, DAYNER ORDONEZ LOPEZ"
00000000003792,True,Computacional,SISTEMA DE INFORMACION GEOGRAFICA PARA LA VIGILANCIA EPIDEMIOLOGICA DE CARTAGENA (SIVIEP MAP 1.0),Colombia,2016,Restringido,CORPORACION UNIVERSITARIA RAFAEL NUÑEZ,SIVIEP,,CORPORACION UNIVERSITARIA RAFAEL NUÑEZ,"YULIANA VANESA PUERTA CRUZ, JUAN CONTRERAS MONTES, MARIA CLAUDIA BONFANTE RODRIGUEZ, JOAQUIN SEGUNDO SILVA ROMERO"
00000000008156,True,Computacional,BS-PCAA,Colombia,2017,Restringido,UNIVERSIDAD DEL CAUCA,"BS-PCAA, DISEÑO DE PAVIMENTOS RIGIDOS METODOS PCA Y AASHTO",,UNIVERSIDAD DEL CAUCA,"EFRAIN DE JESUS SOLANO FAJARDO, CARLOS ALBERTO BENAVIDES BASTIDAS"
00000000008156,True,Computacional,SEMAFORO,Colombia,2017,Restringido,UNIVERSIDAD DEL CAUCA,SEMAFORO. CALCULO DE TIEMPOS DE SEMAFORO,,UNIVERSIDAD DEL CAUCA,"EFRAIN DE JESUS SOLANO FAJARDO, CARLOS ALBERTO ARBOLEDA VELEZ, NELSON RIVAS MUNOZ"
00000000008156,True,Computacional,CLIMA,Colombia,2017,Restringido,UNIVERSIDAD DEL CAUCA,CLIMA. ANALISIS SERIE HISTORICA DE LAS ESTACIONES CLIMATICAS DEL IDEAM,,UNIVERSIDAD DEL CAUCA,EFRAIN DE JESUS SOLANO FAJARDO
00000000005361,True,Computacional,EDUNEWTON Aplicación Móvil para el aprendizaje de las Leyes de Newton,Colombia,2019,Restringido,CORPORACIÓN UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,EDUNEWTON,,CORPORACIÓN UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,"VICTOR RENE OLAVE PORTILLA, SANDRA JULIANA VIVAS IDROBO, ARY FABIAN VOLVERAS ESPINOSA"
00000000006505,True,Computacional,CROWN THE VIRUS,Colombia,2020,No restringido,Colegio Mayor Del Cauca - Institución Universitaria,CROWN THE VIRUS,,Colegio Mayor Del Cauca - Institución Universitaria,"KATERINE MARCELES VILLALBA, ANDRES GUTIERREZ, SEBASTIAN MONDRAGON, DANIEL POSADA"
00000000015675,True,Computacional,Modulo de minería de datos geográficos,Colombia,2016,Restringido,Departamento Administrativo De Planeación Nacional,MMDG,,Departamento Administrativo De Planeación Nacional,JOSE ARMANDO ORDONEZ CORDOBA
00000000015675,True,Computacional,KITEKIWE,Colombia,2016,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,KITEKIWE,,FUNDACION UNIVERSITARIA DE POPAYAN,"JOSE ARMANDO ORDONEZ CORDOBA, JENNYFER CECILIA LOPEZ LLANTEN, KELLY GIOVANNA MUNOZ BALCAZAR"
00000000005361,True,Computacional,ENGLISH LEVEL 2: RESOURCE,Colombia,2020,Restringido,No Aplica,ENGLISH LEVEL 2: RESOURCE,,No Aplica,SANDRA JULIANA VIVAS IDROBO
00000000005361,True,Computacional,Eduintegra,Colombia,2020,Restringido,CORPORACIÓN UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,EDUINTEGRA,,CORPORACIÓN UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,"SANDRA JULIANA VIVAS IDROBO, VICTOR RENE OLAVE PORTILLA, ARY FABIAN VOLVERAS ESPINOSA"
00000000015675,True,Computacional,Lawyer - Plataforma de minería de texto para la busqueda de sentencias jurisprudenciales,Colombia,2018,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,Lawyer,,FUNDACION UNIVERSITARIA DE POPAYAN,"JOSE ARMANDO ORDONEZ CORDOBA, CRISTIAN CAMILO ORDONEZ QUINTERO"
00000000010553,True,Computacional,HERRAMIENTA ACADÉMICA ALFA DE CRONBACH V1.0,Colombia,2018,Restringido,Colegio Mayor Del Cauca - Institución Universitaria,HERRAMIENTA ACADÉMICA ALFA DE CRONBACH V1.0,,Colegio Mayor Del Cauca - Institución Universitaria,"MARIA FERNANDA SEMANATE SOLIS, GABRIEL ELIAS CHANCHI GOLONDRINO"
00000000008156,True,Computacional,MTA,Colombia,2017,Restringido,UNIVERSIDAD DEL CAUCA,MTA. CALCULO DE ESFUERZOS Y DEFORMACION EN MUROS DE TIERRA REFORZADA CON GEOSINTETICOS,,UNIVERSIDAD DEL CAUCA,EFRAIN DE JESUS SOLANO FAJARDO
00000000016879,True,Computacional,Aplicación Móvil FACECA DIGITAL,Colombia,2020,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,FACECA DIGITAL,,FUNDACION UNIVERSITARIA DE POPAYAN,ELIANA FERNANDEZ RENGIFO
00000000002153,True,Computacional,MAFUS - Aplicación de Gestión para Estaciones de Usuario,Colombia,2005,Restringido,UNIVERSIDAD DEL CAUCA,MAFUS,13-14-346,UNIVERSIDAD DEL CAUCA,"GUEFRY LEIDER AGREDO MENDEZ, NATALICA CAROLINA MAYA, EVA JULIANA MAYA"
00000000005833,True,Computacional,PICAFÉ 1.0,Colombia,2017,Restringido,UNIVERSIDAD DEL CAUCA,PICAFÉ 1.0,,UNIVERSIDAD DEL CAUCA,"DIEGO ANDRES CAMPO CEBALLOS, CARLOS ALBERTO GAVIRIA LOPEZ, DAVID ARMANDO REVELO LUNA"
00000000005833,True,Computacional,THERMAL_INDEX,Colombia,2018,Restringido,No Aplica,THERMAL_INDEX V1.0,,No Aplica,"DIEGO ANDRES CAMPO CEBALLOS, DAVID ARMANDO REVELO LUNA, MIGUEL RICARDO PENA VARON"
