nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento,idgruplac,nombre_grupo,idcvlac
César A. Collazos,Collazos C.,8568805300,9-s2.0-8568805300,0000-0002-7099-8131,330,2005-11-29,1528,1881,21,355,update,"Mathematics (all);Modeling and Simulation;Decision Sciences (all);Electrical and Electronic Engineering;Analytical Chemistry;Psychology (all);Biochemistry;Materials Science (all);Process Chemistry and Technology;Artificial Intelligence;Media Technology;Management of Technology and Innovation;Engineering (all);Control and Systems Engineering;Computer Science (all);Social Sciences (all);Environmental Science (miscellaneous);Computer Science Applications;Management, Monitoring, Policy and Law;Biochemistry, Genetics and Molecular Biology (all);Instrumentation;Applied Mathematics;Strategy and Management;Engineering (miscellaneous);Computational Theory and Mathematics;Health Informatics;Environmental Engineering;Computer Science (miscellaneous);Biotechnology;Signal Processing;Human-Computer Interaction;Computer Graphics and Computer-Aided Design;Software;Information Systems;Computer Networks and Communications;Theoretical Computer Science;Renewable Energy, Sustainability and the Environment;Sociology and Political Science;Atomic and Molecular Physics, and Optics;Geography, Planning and Development;Computational Mathematics;Fluid Flow and Transfer Processes;Communication;Hardware and Architecture;Education;Computer Vision and Pattern Recognition;Chemical Engineering (all);Energy Engineering and Power Technology;Information Systems and Management;Law;Arts and Humanities (miscellaneous);Architecture",2000-2023,Universidad del Cauca,60051434,No Aplica,00000000003792;00000000002157,IDIS (Investigación y Desarrollo en Ingenieria del Software);Grupo I+D en Tecnologías de la Información,0000232122
Juan Carlos Corrales,Corrales J.,15135119500,9-s2.0-15135119500,0000-0002-5608-9097,116,2006-12-22,647,829,16,132,update,"Statistics, Probability and Uncertainty;Computer Science Applications;Management Information Systems;Biochemistry, Genetics and Molecular Biology (all);Agronomy and Crop Science;Modeling and Simulation;Analytical Chemistry;Renewable Energy, Sustainability and the Environment;Industrial and Manufacturing Engineering;Biochemistry;Atmospheric Science;Process Chemistry and Technology;Immunology and Microbiology (all);Aerospace Engineering;Mechanics of Materials;Earth-Surface Processes;Environmental Engineering;Management of Technology and Innovation;Information Systems;Materials Science (all);Building and Construction;Computer Vision and Pattern Recognition;Theoretical Computer Science;Electrical and Electronic Engineering;Strategy and Management;Water Science and Technology;Aquatic Science;Computers in Earth Sciences;Fluid Flow and Transfer Processes;Instrumentation;Statistics and Probability;Hardware and Architecture;Computer Science (all);Biomaterials;Forestry;Mathematics (all);Earth and Planetary Sciences (all);Computer Science (miscellaneous);Medicine (all);Control and Systems Engineering;Engineering (all);Signal Processing;Physics and Astronomy (miscellaneous);Management, Monitoring, Policy and Law;Management Science and Operations Research;Environmental Science (miscellaneous);Environmental Science (all);Energy Engineering and Power Technology;Artificial Intelligence;Pharmacology, Toxicology and Pharmaceutics (all);Human-Computer Interaction;Library and Information Sciences;Business, Management and Accounting (all);Software;Horticulture;Computer Networks and Communications;Control and Optimization;Business and International Management;Chemistry (miscellaneous);Geography, Planning and Development;Information Systems and Management;Atomic and Molecular Physics, and Optics;Safety, Risk, Reliability and Quality",2006-2023,Universidad del Cauca,60051434,No Aplica,00000000008160,Grupo de Ingeniería Telemática,0000013021
Diego M. Lopez,Lopez D.,22941628100,9-s2.0-22941628100,0000-0001-9425-4375,96,2007-11-05,577,649,12,139,update,"Food Science;Psychiatry and Mental Health;Media Technology;Software;Mathematics (all);Biophysics;Bioengineering;Health Informatics;Advanced and Specialized Nursing;Nutrition and Dietetics;Applied Microbiology and Biotechnology;Computer Science (all);Artificial Intelligence;Cognitive Neuroscience;Condensed Matter Physics;Pollution;Instrumentation;Medicine (miscellaneous);Aquatic Science;Fluid Flow and Transfer Processes;Health, Toxicology and Mutagenesis;Information Systems;Electrical and Electronic Engineering;Theoretical Computer Science;Atomic and Molecular Physics, and Optics;Applied Mathematics;Multidisciplinary;Water Science and Technology;Geography, Planning and Development;Computer Science Applications;Materials Science (all);Cardiology and Cardiovascular Medicine;Analytical Chemistry;Process Chemistry and Technology;Biotechnology;Public Health, Environmental and Occupational Health;Electronic, Optical and Magnetic Materials;Engineering (all);Endocrinology, Diabetes and Metabolism;Medicine (all);Health Information Management;Biochemistry;Biomedical Engineering;Neurology;Nursing (all);Psychology (all)",2005-2022,Universidad del Cauca,104717554,Telematics Department,00000000008160,Grupo de Ingeniería Telemática,0000013064
J. E. Rodríguez-Páez,Rodríguez-Páez J.,6507572648,9-s2.0-6507572648,0000-0002-7694-6746,95,2005-12-03,1158,1288,18,151,update,"Energy (all);Organic Chemistry;Molecular Medicine;Earth and Planetary Sciences (all);Drug Discovery;Engineering (all);Metals and Alloys;Mechanical Engineering;Chemical Engineering (miscellaneous);Biochemistry;Analytical Chemistry;Waste Management and Disposal;Mathematics (all);Applied Microbiology and Biotechnology;Process Chemistry and Technology;Biotechnology;Chemical Engineering (all);Surfaces and Interfaces;Inorganic Chemistry;Multidisciplinary;Atomic and Molecular Physics, and Optics;Chemistry (miscellaneous);Physics and Astronomy (all);Materials Chemistry;Fluid Flow and Transfer Processes;Pharmaceutical Science;Industrial and Manufacturing Engineering;History and Philosophy of Science;Pollution;Surfaces, Coatings and Films;Materials Science (miscellaneous);Condensed Matter Physics;Catalysis;Electronic, Optical and Magnetic Materials;Materials Science (all);Chemistry (all);Agricultural and Biological Sciences (all);Agronomy and Crop Science;Colloid and Surface Chemistry;Cell Biology;Biochemistry, Genetics and Molecular Biology (all);Building and Construction;Ceramics and Composites;Mechanics of Materials;Physical and Theoretical Chemistry;Electrical and Electronic Engineering;Polymers and Plastics;Food Science;Bioengineering",2001-2023,Universidad del Cauca,60051434,No Aplica,00000000008155,CIENCIA Y TECNOLOGÍA DE MATERIALES CERAMICOS (CYTEMAC),0000192635
Gustavo Adolfo Ramírez-González,Ramírez-González G.,36603157500,9-s2.0-36603157500,0000-0002-1338-8820,76,2010-11-07,1976,2177,21,166,update,"Pharmacology, Toxicology and Pharmaceutics (all);Experimental and Cognitive Psychology;Energy Engineering and Power Technology;Library and Information Sciences;Condensed Matter Physics;Computer Science (miscellaneous);Biotechnology;Renewable Energy, Sustainability and the Environment;Signal Processing;Immunology and Microbiology (all);Physics and Astronomy (miscellaneous);Industrial and Manufacturing Engineering;Radiation;Structural Biology;Computer Science (all);Plant Science;Surgery;Biochemistry, Genetics and Molecular Biology (all);Instrumentation;Computational Theory and Mathematics;Materials Science (all);Geometry and Topology;Civil and Structural Engineering;Modeling and Simulation;Transportation;Building and Construction;Social Sciences (all);Computer Vision and Pattern Recognition;Electrical and Electronic Engineering;Information Systems;Theoretical Computer Science;Strategy and Management;Food Science;Applied Mathematics;Management Science and Operations Research;Mechanics of Materials;Artificial Intelligence;Health Informatics;Human-Computer Interaction;Software;Cognitive Neuroscience;Biomedical Engineering;Computer Science Applications;Mathematics (all);Analytical Chemistry;Process Chemistry and Technology;Environmental Science (miscellaneous);Biochemistry;Management, Monitoring, Policy and Law;Engineering (all);Control and Systems Engineering;Education;Communication;Molecular Biology;Medicine (all);Hardware and Architecture;Information Systems and Management;Biomaterials;Soil Science;Computer Networks and Communications;Urban Studies;Automotive Engineering;Atomic and Molecular Physics, and Optics;Geography, Planning and Development;Chemistry (miscellaneous);Environmental Science (all);Fluid Flow and Transfer Processes",2006-2023,Universidad del Cauca,60051434,No Aplica,00000000008160,Grupo de Ingeniería Telemática,0000013056
Carlos Cobos,Cobos C.,6701647223,9-s2.0-6701647223,0000-0002-6263-1911,76,2005-12-03,516,602,12,105,update,"Materials Science (all);Computer Science Applications;Building and Construction;Control and Optimization;Modeling and Simulation;Social Sciences (miscellaneous);Hardware and Architecture;Management Information Systems;Biochemistry, Genetics and Molecular Biology (all);Computer Science (all);Artificial Intelligence;Theoretical Computer Science;Library and Information Sciences;Arts and Humanities (miscellaneous);Management Science and Operations Research;Control and Systems Engineering;Agricultural and Biological Sciences (all);Engineering (all);Information Systems;Multidisciplinary;Computational Mathematics;Media Technology;Psychology (miscellaneous);Business and International Management;Mathematics (all);Computer Vision and Pattern Recognition;Human-Computer Interaction;Software;Computational Theory and Mathematics;Developmental and Educational Psychology;Statistics, Probability and Uncertainty;Information Systems and Management;Electrical and Electronic Engineering;Computer Networks and Communications;Applied Mathematics",2007-2022,Universidad del Cauca,112027538,Department of Computer Science,00000000008160;00000000002157,Grupo de Ingeniería Telemática;Grupo I+D en Tecnologías de la Información,0000012386
Jose Andres Calvache,Calvache J.,57101084800,9-s2.0-57101084800,,75,2016-02-16,526,560,11,22670,update,"Microbiology (medical);Surgery;Pharmacology (medical);Radiology, Nuclear Medicine and Imaging;Health Policy;Anesthesiology and Pain Medicine;Internal Medicine;Multidisciplinary;Information Systems;Statistics, Probability and Uncertainty;Library and Information Sciences;Public Health, Environmental and Occupational Health;Obstetrics and Gynecology;Statistics and Probability;Orthopedics and Sports Medicine;Critical Care and Intensive Care Medicine;Cardiology and Cardiovascular Medicine;Computer Science Applications;Oncology;Health (social science);Pulmonary and Respiratory Medicine;Education;Clinical Biochemistry;Epidemiology;Infectious Diseases;Biochemistry;Pediatrics, Perinatology and Child Health;Leadership and Management;Medicine (all);Medicine (miscellaneous);Emergency Medicine",2006-2023,Universidad del Cauca;Erasmus MC,109510232;112286604,Department of Anesthesiology;Department of Anesthesiology,00000000000095;00000000010563,Lactancia materna y alimentación complementaria;Investigacion en Anestesiologia GRIAN,0000301876
Francisco J. Pino,Pino F.,57195195220,9-s2.0-57195195220,0000-0003-0668-4485,72,2017-07-31,693,1076,19,65,update,"Computer Networks and Communications;Computational Theory and Mathematics;Information Systems;Law;Computer Vision and Pattern Recognition;Mathematics (all);Media Technology;Human-Computer Interaction;Engineering (all);Computer Graphics and Computer-Aided Design;Theoretical Computer Science;Education;Engineering (miscellaneous);Applied Mathematics;Business, Management and Accounting (all);Artificial Intelligence;Computer Science (all);Computer Science Applications;Signal Processing;Software;Business and International Management;Hardware and Architecture;Information Systems and Management;Safety, Risk, Reliability and Quality;Electrical and Electronic Engineering;Strategy and Management",2006-2022,Universidad del Cauca,60051434,No Aplica,00000000015254;00000000003792;00000000002157,Grupo de Investigación SINERGIA;IDIS (Investigación y Desarrollo en Ingenieria del Software);Grupo I+D en Tecnologías de la Información,0000014010
José L. Arciniegas H.,Arciniegas H. J.,22333375600,9-s2.0-22333375600,0000-0002-1310-9123,68,2007-10-27,167,194,7,90,update,"Materials Science (all);Agricultural and Biological Sciences (all);Electrical and Electronic Engineering;Safety, Risk, Reliability and Quality;Education;Computer Science Applications;Civil and Structural Engineering;Hardware and Architecture;Social Sciences (miscellaneous);Building and Construction;Geotechnical Engineering and Engineering Geology;Business, Management and Accounting (all);Condensed Matter Physics;Software;Chemistry (all);Engineering (all);Control and Systems Engineering;Computer Science (all);Human-Computer Interaction;Strategy and Management;Media Technology;Multidisciplinary;Information Systems;Artificial Intelligence;Food Science;Industrial and Manufacturing Engineering;Computer Vision and Pattern Recognition;Computer Networks and Communications;Ceramics and Composites;Computational Theory and Mathematics;Theoretical Computer Science;Applied Mathematics;Biochemistry, Genetics and Molecular Biology (all);Mathematics (all);Information Systems and Management;Chemical Engineering (all);Energy (all)",2003-2022,Universidad del Cauca,104717552,Departamento de Telemática,00000000004638;00000000008160;00000000003792,"Biotecnología, Calidad Medioambiental y Seguridad Agroalimentaria (BICAMSA);Grupo de Ingeniería Telemática;IDIS (Investigación y Desarrollo en Ingenieria del Software)",0000012998
O. Caicedo,Caicedo O.,57214098924,9-s2.0-57214098924,0000-0003-2223-947X,64,2020-01-30,875,1005,11,101,update,"Communication;Instrumentation;Control and Systems Engineering;Information Systems and Management;Computer Science Applications;Immunology and Microbiology (all);Strategy and Management;Atomic and Molecular Physics, and Optics;Engineering (all);Fluid Flow and Transfer Processes;Control and Optimization;Materials Science (all);Information Systems;Computer Science (all);Horticulture;Software;Electrical and Electronic Engineering;Medicine (all);Artificial Intelligence;Pharmacology, Toxicology and Pharmaceutics (all);Computer Networks and Communications;Biochemistry;Safety, Risk, Reliability and Quality;Media Technology;Signal Processing;Process Chemistry and Technology;Forestry;Health Informatics;Hardware and Architecture;Analytical Chemistry;Mathematics (all);Agronomy and Crop Science;Biochemistry, Genetics and Molecular Biology (all)",2005-2023,Universidad del Cauca,60051434,No Aplica,00000000008160,Grupo de Ingeniería Telemática,0000352683
