id|idcvlac|categoria|nombre|nombre_citaciones|nacionalidad|sexo
1|344702|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Orlando Martínez Vesga|NaN|Colombiana|Masculino
2|926108||Jim Luis Fannkugen Salas|NaN|Colombiana|Masculino
3|68056||Carlos Fernando Quintero Valencia|NaN|Colombiana|Masculino
4|261750||Daniel Escobar Vásquez|NaN|Colombiana|Masculino
5|869848||Guillermo Marin Rico|NaN|Colombiana|Masculino
6|667862||Luis Eduardo Cruz Mondragón|NaN|Colombiana|Masculino
7|963356||Paola Andrea Zambrano Velasco|NaN|Colombiana|Femenino
8|975524||Ricardo Amaya Gaitán|NaN|Colombiana|Masculino
9|11290|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Beatriz Eugenia Bastidas Sánchez|NaN|Colombiana|Femenino
10|1820038||ADALBERTO DAVID PANTOJA MOLLINA|NaN|Colombiana|Masculino
11|16910||ANDRY YASMID MERA MAMIAN|NaN|Colombiana|Femenino
12|163959||ANGELA SOFIA MORAN MORENO|NaN|Colombiana|Femenino
13|1667779||BEATRIZ EUGENIA SOLANO OTERO|NaN|Colombiana|Femenino
14|1634377||CAROL VIVIANA PAREDES MONDRAGON|NaN|Colombiana|Femenino
15|94115|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|CESAR AUGUSTO RENDON BECERRA|NaN|Colombiana|Masculino
16|1665866||Cristal Ximena Gallego Betancourth|NaN|Colombiana|Femenino
17|1730997||Daniela Maria Perilla Orozco|NaN|Colombiana|Femenino
18|1663621||Diana Marcela García Guzman|NaN|Colombiana|Femenino
19|158037||Diana Maria Martinez Ceron|NaN|Colombiana|Femenino
20|216437||Diego Alexander Rivera Gómez|NaN|Colombiana|Masculino
21|867365||Diego Illera Rivera|NaN|Colombiana|Masculino
22|893188||Edgar Castro Franco|NaN|Colombiana|Masculino
23|1493972||Fernanda Ximena Bravo Muñoz|NaN|Colombiana|Femenino
24|121379||Fernando Andres Caicedo Zuñiga|NaN|Colombiana|Masculino
25|993840||Hoover Molano Dorado|NaN|Colombiana|Masculino
26|1779475||Jesús Ramón Bermides Roa|NaN|Colombiana|Masculino
27|165382||JOHANNA KATHERINE VASQUEZ VARGAS|NaN|Colombiana|Femenino
28|1438930||Jorge Andrés Sánchez Duque|NaN|Colombiana|Masculino
29|11282||José Enrique Chaguendo García|NaN|Colombiana|Masculino
30|128962||JUAN MANUEL TOBAR PARRA|NaN|Colombiana|Masculino
31|138047||LINO SERJAIN CARVAJAL ORDOÑEZ|NaN|Colombiana|Masculino
32|1667815||MANUEL ENRIQUE ARDILA QUIÑONES|NaN|Colombiana|Masculino
33|348694||María Piedad Acosta Aragón|NaN|Colombiana|Femenino
34|1674567||Orlando javier Florez Victoria|NaN|Colombiana|Masculino
35|1449775||Oscar Ordoñez|NaN|Colombiana|Masculino
36|61280|Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|roberth alirio ortiz martinez|NaN|Colombiana|Masculino
37|11355||Sandra Felisa Muñoz Bravo|NaN|Colombiana|Femenino
38|11304||Sandra Yamile Martínez Gómez|NaN|Colombiana|Femenino
39|878391||Silvio Abraham Fernandez Tello|NaN|Colombiana|Masculino
40|1663619||Vanessa Barbery Cardona|NaN|Colombiana|Femenino
41|1565788||William Andrés Ordóñez Bastidas|NaN|Colombiana|Masculino
42|1722466||Yaneth Lorena Garcés Burbano|NaN|Colombiana|Femenino
43|11495|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Luis Germán Gómez Bernal|NaN|Colombiana|Masculino
44|11614||Giselle Zambrano González|NaN|Colombiana|Femenino
45|1496366||Ana María Maya Girón|NaN|Colombiana|Femenino
46|1306537||Andrés Hernández Guzmán|NaN|Colombiana|Masculino
47|240354|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Beatriz Eugenia Salgado Negret|NaN|Colombiana|Femenino
48|137327||Carlos David Gallego Pedraza|NaN|Colombiana|Masculino
49|1329065|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Carlos Prieto Martinez|NaN|Colombiana|Masculino
50|240362||Carolina Alcázar Caicedo|NaN|Colombiana|Femenino
51|1069942||Charles Sidney Muñoz Nates|NaN|Colombiana|Masculino
52|469700||Clara Luz Muñoz Dorado|NaN|Colombiana|Femenino
53|36102||David Fernando Angulo Ortíz|NaN|Colombiana|Masculino
54|1453629||Diana Catalina Fernández|NaN|Colombiana|Femenino
