idcvlac,autores,nombre,tipo,verificado,lugar,revista,issn,editorial,volumen,fasciculo,paginas,fecha,doi,palabras,sectores
0001239368,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, IACOPO VAGLIANO, OSCAR RODRIGUEZ ROCHA, MAURIZIO MORISIO",A Systematic Review of Linked Data-based Recommender Systems,Producción bibliográfica - Artículo - Publicado en revista especializada,True,Colombia,Concurrency And Computation-Practice '&' Experience,1532-0634,"John Wiley & Sons, Inc",2015,,1 - 26,2015,10.1002/cpe.3449,"Linked Data, Recommender Systems, Systematic Review, Web of Data",
0001239368,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, OSCAR RODRIGUEZ ROCHA, IACOPO VAGLIANO, FEDERICO CAIRO, GIUSEPPE FUTIA, CARLO ALBERTO LICCIARDI, MARCO MARENGO, FEDERICO MORANDO",Semantic Annotation and Classification in Practice,Producción bibliográfica - Artículo - Publicado en revista especializada,True,Estados Unidos,IT Professional,1520-9202,IEEE Computer Society Press,17,12,33 - 39,2015,http://dx.doi.org/10.1109/MITP.2015.29,,
0001239368,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, HUGO ORDONEZ ERASO, JOSE ARMANDO ORDONEZ, JUAN CARLOS CORRALES, CARLOS ALBERTO COBOS LOZADA",Dynamic Reconfiguration of Composite Convergent Services Supported by Multimodal Search,Producción bibliográfica - Artículo - Publicado en revista especializada,True,Polonia,Lecture Notes in Business Information Processing,1865-1348,Springer-Verlag London Ltd,208,,127 - 139,2015,10.1007/978-3-319-19027-3_11,"Convergent services, Dynamic reconfiguration, Multimodal search",
0001239368,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, BORIS MOLTCHANOV, OSCAR RODRIGUEZ ROCHA, IACOPO VAGLIANO",Linked Data-Driven Smart Space,Producción bibliográfica - Artículo - Publicado en revista especializada,True,Alemania,Lecture Notes in Computer Science,0302-9743,Springer-Verlag London Ltd,8638,,3 - 15,2014,0.1007/978-3-319-10353-2_1,,
0001239368,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, JUAN CARLOS CORRALES, DAVID CAMILO CORRALES MUNOZ",A Multilevel Approach for Business Process Retrieval,Producción bibliográfica - Artículo - Publicado en revista especializada,True,Colombia,Revista Ingenierías Universidad De Medellín,1692-3324,UNIVERSIDAD DE MEDELLIN,26,Enero - Ab,1 - 25,2014,,"Business Process, Behavioral Semantics, Subgraph isomorphism, Control-flow patterns, Relevance Analysis",
0001239368,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, BORIS MOLTCHANOV, OSCAR RODRIGUEZ ROCHA",A Subgraph Isomorphism Based Approach to Enable Discovery and Composition of Smart Space Elements,Producción bibliográfica - Artículo - Publicado en revista especializada,True,Alemania,Lecture Notes in Computer Science,0302-9743,Springer-Verlag London Ltd,8121,N/A,84 - 93,2013,10.1007/978-3-642-40316-3_8,,
0001239368,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, JUAN CARLOS CORRALES, LAURA SANDINO",Plataforma para Evaluar Sistemas de Recuperación de Procesos de Negocio,Producción bibliográfica - Artículo - Publicado en revista especializada,True,Colombia,Revista De Investigaciones,0121-067X,Universidad Catolica De Manizales,11,17,64 - 76,2011,,"Proceso de negocio, Servicios Web, Recuperación de Información, Modelado Semántico",Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software)
0001239368,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, JUAN CARLOS CORRALES",Business Process Retrieval based on Behavioral Semantics,Producción bibliográfica - Artículo - Publicado en revista especializada,True,Colombia,Revista Eia,1794-1237,ESCUELA DE INGENIERÍA DE ANTIOQUIA,17,julio 2012,105 - 120,2012,,,Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software)
0001239368,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, JUAN CARLOS CORRALES, OSCAR RODRIGUEZ ROCHA, MAURIZIO MORISIO, IACOPO VAGLIANO, MARCO TORCHIANO, CATHERINE FARON ZUCKER",Allied: A Framework for Executing Linked Data-based Recommendation Algorithms,Producción bibliográfica - Artículo - Publicado en revista especializada,True,Estados Unidos,International Journal on Semantic Web and Information Systems,1552-6283,Idea Group Publishing (IGP),13,2017,1 - 20,2017,10.4018/IJSWIS.2017100107,"Control-flow patterns, Linked Data, Recommender Systems, Relevance Analysis, Semantic Categorization, Semántica, Web of Data",
0001239368,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, DANIEL FELIPE RIVAS, DAVID CORCHUELO, ROSALBA GIUGNO",Business Process Model Retrieval Based on Graph Indexing Method,Producción bibliográfica - Artículo - Publicado en revista especializada,True,Alemania,Lecture Notes in Business Information Processing,1865-1348,Springer-Verlag London Ltd,66,XVI,238 - 250,2010,,,
