idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,doi,autores
00000000008160,False,Publicado en revista especializada,Design of a Public Vehicle Tracking Service Using Long-Range (LoRa) and Intelligent Transportation System Architecture,,Journal of Information Technology Research,1938-7865,2021,14,1,147 - 166,10.4018/JITR.2021010109,"RICARDO SALAZAR CABRERA, ALVARO PACHON DE LA CRUZ, JUAN MANUEL MADRID MOLINA"
00000000008160,True,Publicado en revista especializada,Recalibration of deep learning models for abnormality detection in smartphone-captured chest radiograph,Reino Unido,npj Digital Medicine,2398-6352,2021,4,1,1 - 10,10.1038/s41746-021-00393-9,"DIEGO MAURICIO LOPEZ GUTIERREZ, PO CHIH KUO, CHENG CHE TSA, ALEXANDROS KARARGYRIS, LEO CELI"
00000000008160,False,Publicado en revista especializada,Selection of Online Network Traffic Discriminators for on-the-Fly Traffic Classification,Colombia,Revista Ingenierías Universidad de Medellín,2248-4094,2021,20,38,65 - 85,10.22395/rium.v20n38a4,"ANGELA MARIA VARGAS ARCILA, JUAN CARLOS CORRALES MUNOZ, ALVARO RENDON GALLON, ARACELI SANCHIS DE MIGU"
00000000008160,False,Publicado en revista especializada,Peripheral Diagnosis for Propagated Network Faults,Suiza,Journal of Network and Systems Management,1573-7705,2021,29,2,14 -,10.1007/s10922-020-09579-0,"ANGELA MARIA VARGAS ARCILA, JUAN CARLOS CORRALES MUNOZ, ARACELI SANCHIS DE MIGU, ALVARO RENDON GALLON"
00000000008160,True,Publicado en revista especializada,Seguridad y privacidad para Registros Clínicos Electrónicos Portables apoyado en tecnología Blockchain: análisis bibliométrico,Portugal,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,1646-9895,2021,41,N/A,570 - 584,,"JUAN PABLO MARTINEZ PULIDO, DIEGO MAURICIO LOPEZ GUTIERREZ, HELDER YESID CASTRILLON COBO"
00000000008160,True,Publicado en revista especializada,An Approach Based on Fog Computing for Providing Reliability in IoT Data Collection: A Case Study in a Colombian Coffee Smart Farm,Suiza,Applied Sciences (Switzerland),2076-3417,2020,10,24,1 - 16,10.3390/app10248904,"ANA ISABEL MONTOYA MUNOZ, OSCAR MAURICIO CAICEDO RENDON"
00000000008160,True,Publicado en revista especializada,Epileptic spikes detector in pediatric EEG based on matched flters and neural networks,Alemania,Brain Informatics,2198-4026,2020,7,4,1 - 10,10.1186/s40708-020-00106-0,"MARITZA FERNANDA MERA GAONA, DIEGO MAURICIO LOPEZ GUTIERREZ, RUBIEL VARGAS CANAS, MARIA EUGENIA MINO ARANGO"
00000000008160,True,Publicado en revista especializada,"Sustainable transit vehicle tracking service, using intelligent transportation system services and emerging communication technologies: A review",,Journal of Traffic and Transportation Engineering (English Edition),2095-7564,2020,7,6,729 - 747,10.1016/j.jtte.2020.07.003,"RICARDO SALAZAR CABRERA, ALVARO PACHON DE LA CRUZ, JUAN MANUEL MADRID MOLINA"
00000000008160,True,Publicado en revista especializada,Tourist Recommender Systems Based on Emotion Recognition A Scientometric Review,Suiza,Future Internet,1999-5903,2020,13,1,1 - 37,10.3390/fi13010002,"GUSTAVO ADOLFO RAMIREZ GONZALEZ, LUZ HERMENCIA SANTAMARIA GRANADOS, JUAN FRANCISCO MENDOZA MORENO"
00000000008160,True,Publicado en revista especializada,Experimental Evaluation of LoRa in Transit Vehicle Tracking Service Based on Intelligent Transportation Systems and IoT,,Electronics,2079-9292,2020,9,11,1 - 22,10.3390/electronics9111950,"RICARDO SALAZAR CABRERA, ALVARO PACHON DE LA CRUZ, JUAN MANUEL MADRID MOLINA"
