Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Vujic M., Dedic L., Furjan M.T., Pihir I.",56084958700;57207925197;57219438241;36508920200,The Benefits of Open Data in Urban Traffic Network,2022,EAI/Springer Innovations in Communication and Computing,,,,267,282,,0,10.1007/978-3-030-67241-6_22,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85113475733&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85113475733
"Origlia A., Rossi S., Martino S.D., Cutugno F., Chiacchio M.L.",24605794100;55619320887;57285799800;13104207600;57190963837,Multiple-source data collection and processing into a graph database supporting cultural heritage applications,2021,Journal on Computing and Cultural Heritage,14,4,55,,,,0,10.1145/3465741,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85116404995&origin=inward,Article,S300,,Scopus,2-s2.0-85116404995
"Paquette G., Marino O., Bejaoui R.",16230931100;35090319500;54419413100,A new competency ontology for learning environments personalization,2021,Smart Learning Environments,8,1,16,,,,0,10.1186/s40561-021-00160-z,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114010374&origin=inward,Article,S300,Open Access,Scopus,2-s2.0-85114010374
"Kamdar M.R., Musen M.A.",55735120100;7005635736,An empirical meta-analysis of the life sciences linked open data on the web,2021,Scientific Data,8,1,24,,,,0,10.1038/s41597-021-00797-y,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099982612&origin=inward,Article,S300,Open Access,Scopus,2-s2.0-85099982612
"Chansanam W., Kwiecien K., Buranarach M., Tuamsuk K.",56623107000;55902359900;25031190000;46861598200,A digital thesaurus of ethnic groups in the mekong river basin,2021,Informatics,8,3,50,,,,0,10.3390/informatics8030050,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112786070&origin=inward,Article,S300,Open Access,Scopus,2-s2.0-85112786070
"Booshehri M., Emele L., Flügel S., Förster H., Frey J., Frey U., Glauer M., Hastings J., Hofmann C., Hoyer-Klick C., Hülk L., Kleinau A., Knosala K., Kotzur L., Kuckertz P., Mossakowski T., Muschner C., Neuhaus F., Pehl M., Robinius M., Sehn V., Stappel M.",57126223900;57214682162;57224535891;57198224821;57201725937;55256682800;56902622100;23477243500;57214681349;7003634431;57195965002;57224535880;57221635918;57196417374;24477869300;6701444795;57224538855;55266046600;57189996027;56527348500;56741425200;57214666491,Introducing the Open Energy Ontology: Enhancing data interpretation and interfacing in energy systems analysis,2021,Energy and AI,5,,100074,,,,0,10.1016/j.egyai.2021.100074,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107898709&origin=inward,Article,S300,Open Access,Scopus,2-s2.0-85107898709
"Kim J., Kong J., Sohn M., Park G.",56763022700;57195225365;8983941300;57221029268,Layered ontology-based multi-sourced information integration for situation awareness,2021,Journal of Supercomputing,77,9,,9780,9809,,0,10.1007/s11227-021-03629-3,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101175672&origin=inward,Article,S300,,Scopus,2-s2.0-85101175672
"dos Santos A.F., Leal J.P.",57274758500;56238063100,Derzis: A path aware linked data crawler,2021,OpenAccess Series in Informatics,94,,2,,,,0,10.4230/OASIcs.SLATE.2021.2,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115826813&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85115826813
"Chiarcos C., Ionov M.",22333764800;57194612761,Linking discourse marker inventories,2021,OpenAccess Series in Informatics,93,,40,,,,0,10.4230/OASIcs.LDK.2021.40,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115090315&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85115090315
"Armaselu F., Apostol E.S., Khan A.F., Liebeskind C., McGillivray B., Truică C.O., Oleškevičiene G.V.",57191504666;55365937600;57205198244;55761687500;14325441100;56331462000;57194015310,"HISTORIAE, history of socio-cultural transformation as linguistic data science. A humanities use case",2021,OpenAccess Series in Informatics,93,,34,,,,0,10.4230/OASIcs.LDK.2021.34,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115084095&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85115084095
"Sinikallio L., Drobac S., Tamper M., Leal R., Koho M., Tuominen J., Mela M.L., Hyvönen E.",57262332400;35213331300;57190293971;57262469200;26655779700;24386059900;57261897300;8435405300,Plenary debates of the parliament of Finland as linked open data and in parla-CLARIN markup,2021,OpenAccess Series in Informatics,93,,8,,,,0,10.4230/OASIcs.LDK.2021.8,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115082321&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85115082321
"Kirillovich A., Shaekhov M., Galieva A., Nevzorova O., Ilvovsky D., Loukachevitch N.",55994716700;57218311256;56500587700;6506234633;55967196200;6504197092,TatWordNet: A linguistic linked open data-integrated WordNet resource for tatar,2021,OpenAccess Series in Informatics,93,,16,,,,0,10.4230/OASIcs.LDK.2021.16,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115081049&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85115081049
Chiarcos C.,22333764800,Get! Mimetypes! Right!,2021,OpenAccess Series in Informatics,93,,5,,,,0,10.4230/OASIcs.LDK.2021.5,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115075174&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85115075174
,,"3rd Conference on Language, Data and Knowledge, LDK 2021",2021,OpenAccess Series in Informatics,93,,,,,,0,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115071116&origin=inward,Conference Review,S300,,Scopus,2-s2.0-85115071116
Ionov M.,57194612761,APiCS-ligt: Towards semantic enrichment of interlinear glossed text,2021,OpenAccess Series in Informatics,93,,27,,,,0,10.4230/OASIcs.LDK.2021.27,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115061858&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85115061858
"Buyle R., Van de Vyvere B., Rojas Meléndez J., Van Lancker D., Vlassenroot E., Van Compernolle M., Lefever S., Colpaert P., Mechant P., Mannens E.",56352153500;57209221275;57195994218;57226310006;57210265508;56395396700;57211147462;56208754400;24577247500;24464045700,A sustainable method for publishing interoperable open data on the web,2021,Data,6,8,93,,,,0,10.3390/data6080093,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114034832&origin=inward,Article,S300,Open Access,Scopus,2-s2.0-85114034832
"Bauer J., Gombocz E., Schulz H., Hauslage J., Grimm D.",7402815077;6602295893;35316177400;6507791304;7007040634,Interaction network provides clues on the role of bcar1 in cellular response to changes in gravity,2021,Computation,9,8,81,,,,0,10.3390/computation9080081,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111781393&origin=inward,Article,S300,Open Access,Scopus,2-s2.0-85111781393
"Hyvönen E., Rantala H., Ikkala E., Koho M., Tuominen J., Anafi B., Thomas S., Wessman A., Oksanen E., Rohiola V., Kuitunen J., Ryyppö M.",8435405300;57225437198;56496643500;26655779700;24386059900;57225926050;55682681300;36136109500;56544253600;57208885044;57208886063;57225967811,Citizen science archaeological finds on the Semantic Web: The FindSampo framework,2021,Antiquity,95,382,e24,,,,0,10.15184/aqy.2021.87,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109836772&origin=inward,Article,S300,Open Access,Scopus,2-s2.0-85109836772
"Wang T., Guo J., Wu Z., Xu T.",57199032006;57220551187;35110223200;36174551200,IFTA: Iterative filtering by using TF-AICL algorithm for Chinese encyclopedia knowledge refinement,2021,Applied Intelligence,51,8,,6265,6293,,0,10.1007/s10489-021-02220-w,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101689949&origin=inward,Article,S300,,Scopus,2-s2.0-85101689949
"To N.D., Reformat M.Z., Yager R.R.",57195642538;6603618138;35618760400,Question-Answering System with Linguistic Summarization,2021,IEEE International Conference on Fuzzy Systems,2021-July,,,,,,0,10.1109/FUZZ45933.2021.9494389,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114690111&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85114690111
"Ruiz-Calleja A., Vega-Gorgojo G., Bote-Lorenzo M.L., Asensio-Pérez J.I., Dimitriadis Y., Gómez-Sánchez E.",36603180900;55663517700;6507192872;9270541300;6603770066;7005662078,Supporting contextualized learning with linked open data,2021,Journal of Web Semantics,70,,100657,,,,0,10.1016/j.websem.2021.100657,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109827156&origin=inward,Article,S300,,Scopus,2-s2.0-85109827156
"Sansonetti G., Gasparetti F., Micarelli A.",22735492400;6506843445;52564169500,Using Social Media for Personalizing the Cultural Heritage Experience,2021,"UMAP 2021 - Adjunct Publication of the 29th ACM Conference on User Modeling, Adaptation and Personalization",,,,189,193,,1,10.1145/3450614.3463387,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109210784&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85109210784
"Beluzo J.R., Dias B., Craveiro G.S., Araújo R.",57188804396;57226077479;6506946427;57226061925,Re-public: Workflow to publish and reuse linked open government data,2021,ACM International Conference Proceeding Series,,,3466943,,,,0,10.1145/3466933.3466943,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85110259103&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85110259103
"Nawi R.M., Noah S.A.M., Zakaria L.Q.",57226166526;35087633200;8248079500,Issues and Challenges in the Extraction and Mapping of Linked Open Data Resources with Recommender Systems Datasets,2021,Journal of Information Science Theory and Practice,9,2,,66,82,,0,10.1633/JISTaP.2021.9.2.5,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85110739395&origin=inward,Article,S300,,Scopus,2-s2.0-85110739395
"Ponciano J.J., Prudhomme C., Boochs F.",57189220493;57189220436;6603372854,From acquisition to presentation—the potential of semantics to support the safeguard of cultural heritage,2021,Remote Sensing,13,11,2226,,,,0,10.3390/rs13112226,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108459089&origin=inward,Article,S300,Open Access,Scopus,2-s2.0-85108459089
Horne R.,57215905461,Digital tools and ancient empires: Using network analysis and geographic information systems to study imperial networks in hellenistic anatolia*,2021,Journal of World History,32,2,,321,343,,0,10.1353/jwh.2021.0027,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108264803&origin=inward,Article,S300,,Scopus,2-s2.0-85108264803
"Diamantini C., Potena D., Storti E.",55953550800;15520189100;35090524500,Analytics for citizens: A linked open data model for statistical data exploration,2021,Concurrency and Computation: Practice and Experience,33,8,e4186,,,,1,10.1002/cpe.4186,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019724254&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85019724254
"Papadakis G., Mandilaras G., Mamoulis N., Koubarakis M.",56646081900;57210830094;6701782749;55872674100,"Progressive, holistic geospatial interlinking",2021,"The Web Conference 2021 - Proceedings of the World Wide Web Conference, WWW 2021",,,,833,844,,1,10.1145/3442381.3449850,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107962609&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85107962609
"Frey J., Hellmann S.",57201725937;35199882400,FAIR Linked Data-Towards a Linked Data Backbone for Users and Machines,2021,"The Web Conference 2021 - Companion of the World Wide Web Conference, WWW 2021",,,,431,435,,0,10.1145/3442442.3451364,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107655991&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85107655991
"Yang H.C., Lee C.H., Liao W.S.",19640885900;35269100500;57220156561,Measuring semantic distances using linked open data and its application on music recommender systems,2021,Data Technologies and Applications,55,2,,293,309,,0,10.1108/DTA-12-2019-0225,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097072917&origin=inward,Article,S300,,Scopus,2-s2.0-85097072917
"Kawamura I., Shiramatsu S.",57224465403;24605680200,Developing Local Food Map for Digital Archiving of Japanese Local Foods and Considering Its Redesign,2021,"Proceedings - 2021 IEEE 37th International Conference on Data Engineering Workshops, ICDEW 2021",,,9438782,9,12,,0,10.1109/ICDEW53142.2021.00009,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107695419&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85107695419
"Bouziane A., Bouchiha D., Rebhi R., Lorenzini G., Doumi N., Menni Y., Ahmad H.",57188738097;6504442016;56613269600;7006370499;55308795600;57200118891;57220768187,ARALD: Arabic annotation using linked data,2021,Ingenierie des Systemes d'Information,26,2,,143,149,,0,10.18280/isi.260201,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85106356770&origin=inward,Article,S300,Open Access,Scopus,2-s2.0-85106356770
"Aljamel A., Osman T., Thakker D.",57170904500;7005250246;15062035000,A semantic knowledge-based framework for information extraction and exploration,2021,International Journal of Decision Support System Technology,13,2,,85,109,,0,10.4018/IJDSST.2021040105,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104534739&origin=inward,Article,S300,,Scopus,2-s2.0-85104534739
"Kitanović O., Stanković R., Tomašević A., Škorić M., Babić I., Kolonja L.",57073927100;56443795400;57201578923;57220089897;57222727137;57201583396,A data driven approach for raw material terminology,2021,Applied Sciences (Switzerland),11,7,2892,,,,0,10.3390/app11072892,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103820701&origin=inward,Article,S300,Open Access,Scopus,2-s2.0-85103820701
Carbonaro A.,57211468869,Linked data and semantic web technologies to model context information for policy-making,2021,Journal of Ambient Intelligence and Humanized Computing,12,4,,4395,4406,,1,10.1007/s12652-019-01341-y,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067408437&origin=inward,Article,S300,,Scopus,2-s2.0-85067408437
Pérez P.J.B.,57223098675,Linked open data for better legal information: Current status of the European Legislation Identifier in Spain,2021,Revista Espanola de la Transparencia,,12,,87,123,,0,10.51915/RET.121,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104764826&origin=inward,Article,S300,Open Access,Scopus,2-s2.0-85104764826
"Vsesviatska O., Tietz T., Hoppe F., Sprau M., Meyer N., Dessì D., Sack H.",57218515367;56723775600;57219900264;51564776200;57211181626;57192682012;7102918498,ArDO: An ontology to describe the dynamics of multimedia archival records,2021,Proceedings of the ACM Symposium on Applied Computing,,,,1855,1863,,1,10.1145/3412841.3442057,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103298841&origin=inward,Conference Paper,S300,,Scopus,2-s2.0-85103298841
Stokes P.A.,56846903200,Holistically Modelling the Medieval Book: Towards a Digital Contribution,2021,Anglia,139,1,,6,31,,0,10.1515/ang-2021-0002,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104341916&origin=inward,Article,S300,,Scopus,2-s2.0-85104341916
